country,contents
괌,"아이 동반 가족에게 최적의 조건 괌 PIC 골드카드~:코시국으로 가족이 다함께 가는 여행은 3년만인가봐요~
초등학생 아이 2명과 함께가는 여행이라서, 복잡한 관광과 이동 등은 여러모로 불편해서
호텔 안에서 모든 것이 해결되는 괌 PIC로 선택했습니다.
코로나검사 등 복잡한 절차도 많이 간소화 되어서 부모가 백신 3차 까지 맞은 경우에는 
별도의 검사 없이 출국 가능했고,
괌에서도 PCR 검사는 관광청 지원으로 무료에, PIC 1층에 출장소가 차려져 있어서 멀리 가지않아도 편하게 검사받을 수 있었습니다.
  괌 바다는 굳이 말로 표현할 필요 없이 아름답죠?
호텔 안에서 하루종일 아침먹고 물놀이하고 점심먹고 바다나가 놀고 저녁먹고 푹 쉴수 있는 최적의 일정이었습니다.
  하루 관공도 포함되어 있어서 주요 관광 포인트들도 방문 가능했고~
한국인들이 많이 간다는 K-MART도 호텔이랑 매우 가까워서 (걸어서 10분 내외)
굳이 쇼핑몰로 멀리 가지 않아도 필요한 건 다 살 수 있었어요~
  코로나가 다시 유행하기 전! 꼭 추천합니다~"
괌,"베스트 행복한 꿈, 완벽했던 사이판에서의 시간:친정어머니 생신으로 온가족이 준비했던 여행이었습니다.
시끄러운 시국에도 오랜만의 해외여행이 부담이 있었던 것은 사실이었나, 여행은 역시나 준비부터 설레더군요.
복잡한 서류에 덜컥 걱정이 앞서고 두통이 밀려왔지만 노랑풍선의 빠른 상담과 반복되는 체크로 안심하며 차근히 준비 할 수 있었죠
짧은 3박4일 여정이었지만, 완벽하게 달콤했던 4일의 시간을 후기로 남깁니다.
 비행시간 4시간30분 
환갑이신 어머니와 8살 12살 아이들까지 오랜만의 여행이었으나 큰 지루함없이 이동했어요. 비행시간도 여행지 선택에 큰 이유였기에 역시나 괜찮은 선택이었다 싶었어요^^ 덧, 아시아나항공의 기내식은 왜이리 맛이 좋은걸까요? 우리식구들 한그릇 더를 외치고 싶었다는 ㅋㅋㅋ 음료서비스또한 여러번이라 지루할 틈이 없었다는!!
드디어! 사이판공항 도착했는데... 기쁨도 잠시 공항도착 후 공항을 벗어나기까지 대기시간이 무지무지무진장 길었답니다 ㅠㅠ only코리안이 방문해서 인지 한국사람들이 가득한 공항에서 2시간30분정도의 입국절차를 했죠. 아마 이시간이 이번여행에서 가장 고되었던 것 같아요ㅠㅠ 갤갤갤... 힘든 대기시간이었지만 ,,,,노랑풍선 가이드님을 만나 사이판의 꿈같은 여행이 시작되는 힘듦이 쏴~~~악 씻겨내려가더라구요?ㅎㅎㅎ
  슬픈역사가 있는 시내관광
오민희가이드님과의 첫만남 후 시내관광을 다녀왔어요. 역시는 역시 센스있는 가이드님덕에 스쳐찍어도 예술이되는 핫스팟만 쏙쏙 방문하여 배경이 다한 멋진사진을 찍었죠. 더 좋았던 것은 오민희가이드님께서 사이판의 역사에 대해 하나라도 더 알려주고 싶어하시는 섬세함에 우리 초딩들이 얼마나 즐겁게 관광을 했는지 모릅답니다.  그중 아직도 가슴에 새겨지는 글귀가 있네요. '남의 것을 탐하지 않은 우리민족!'ㅠㅠ 괜시리 코끝이 찡해지고 가슴아픈 역사에 절로 고개가 떨구어지더라구요. 가슴아파도 우리 아이들은 제대로된 역사를 접하고 배워가길..  가이드님의 이야기에 몰입했어요.
역사도 역사나름이지.. 사실 다른 여행에서 대체로 시내관광이 재밌진않잖아요? 하지만 우리집 아이들 사이판에서 가장 재미있는 활동 빅3안에 시내관광이 있었어요. 아름다운 곳에서 더할 나위없이 투명한 공기를 마시며 역사공부까지 더불어 이 얼마나 귀한 시간입니까!!!
  역시는 역시! 켄싱턴호텔
지인 추천으로 선택했던 켄싱턴호텔! 역시 .. 왜 좋은지 도착하자마자 알게되었죠. 바다뷰끝내주고, 친절끝내주고, 청결끝내주고. 밥은 더 끝내주고, 시설도 멋져버리는 이보다 더 좋은 호텔이 또 있을까 싶었어요. 까탈스러운 우리집여사님도 ""하.. 좋긴좋다""하셨드랬죠 ㅋㅋㅋ
오후가 되서야 체크인해서 아름다운 뷰를 사진에 담고 석식이 있는 바비큐장으로 달려갔어요!
달려가는 길에 한컷 !ㅋㅋ
  호텔의 수영장시설, 바다에서 무료로 즐길 수 있는 것들이 다양하게 많았어요! 열심히 부지런히 뽕을 뽑자 했어요 ㅋㅋ
    호핑투어, 패러세일, 마나가하섬 투어, 쇼핑센터
우리 가족은 3박4일의 짧은여행동안이었지만 쉬지 않고 러~~쉬하는 타입이라 하루하루가 바빴어요. 하루는 이미 호텔에서 모든 시설을 정복한 상태여서 그 다음날 하루는 옵션의 날로 정했어요. 상의끝에 하루로 몰아서 호핑투어, 패러세일, 마나가하섬투어, 쇼핑센터 방문을 선택했어요. 낚시를 좋아하시는 여사님 덕에 선택했던 호핑투어였는데 너나 아이 할 수 없이 모두가 너무 즐겁게 즐겼어요. 물고기도 듬뿍잡고 선상에서 바로 떠서 주시는 회맛은 ...음... 이것이 행복인가? 느낌 ? 세상을 조금은 얻은 느낌? ㅋㅋ 하여간 너무나 맛있었어요. 덧, 호핑투어담당 가이드님이 마음이 바다같으셔서 오뎅탕, 삼겹살, 망고까지 싸비스 팍팍 주셨다는건 안비밀!ㅋㅋ
  마나가하섬은 말그대로 정말 자연이 주신 최고의 바다였어요. 수족관에서나 볼 수 있던 열대어들이 다리를 지나키고 확트인 바다는 여행경비로 빵꾸난 통장을 잠시나마 잊게 만들었어요. 마나가하섬에서 자유롭게 했던 스노클링도 시간가는 줄 모르고 즐기고는 무섭다고 절대 절대 절대 타기 싫다던 패러세일도 타봤어요. 다들 타기싫다고 튕기더니 한번 타고 내려와서는 왕따봉을 외쳤다는 .. ㅋㅋㅋㅋ 잠시 바다가 내것이 된것 같은 착각을 불러일으킨 시원함의 최고봉이라 할 수 있었죠. 패러세일은 한번 타보셔야 합니다! 강하게 추천합니다. 
    바쁘디 바쁘게 하루를 보냈으나,,, 빠질 수 없는 쇼핑.. !
켄싱턴에서는 월, 수, 금에만 쇼핑센터 셔틀을 운영해요. 그래도 택시비를 아낀다고 생각하니 힘이 불끈 솟아서 졸려서 잔다는 여사님을 억지로 억지로 일으켜세워 이동했어요. 쇼핑센터는 코시국영향으로 아직은 텅텅 휑함이 느껴지긴 했어요. 그래도 우리집 남의편과 아이들은 지인선물을 고르느냐고 한참이 지나도 나오지 못하고 즐거운 쇼핑을 했답니다. 덧, 명품샵은 열지 않았어요. 땡깡이라도 부려서 하나 득템했어야 했는데 많이 아쉬웠네요....
   돌아가는 날ㅠㅠ
지발~ 지발 하루만 더를 외쳤것만... 돌아가는 날이 와버렸네요.ㅠㅠ 아쉽기만 하지만 이번여행은 모든것이 완벽?햇던 것 같은 여행이었습니다. 언제나 여행후에는 불만이 한두가지는 생기곤 했는데.. 이번여행은 좋은점만 가슴에 남았습니다. 오랜만의 여행이기 때문이었을까요? 어떤 것이던 온가족이 함께한 사이판에서의 모든시간은 달콤한 꿈같았어요. 너무 너무 행복하고 고이고이 간직하고 싶은 그런 꿈말입니다. 또다시 그곳에 가고싶은 오늘 이 후기를 작성하며 또다시 그리원지네요 ,, 
감사했습니다. 노랑풍선담당자님! 그리고 완벽한 여행의 일등공신 오민희가이드님 
또다시 인연이 되길 바래봅니다. 항상 건강하세요.
   "
괌,"오라오라 병에 걸려 쓰게 된 사이판 후기:지난 10월말 여행이어서  사이판에서 행복한 7박8일을 보낸후 귀국한지 벌써 한달이 다 되가지만
사이판이 넘 좋아서  여행전후 5번의 PCR테스트도 아픈줄 모를 정도로 (전엔 굉장히 꺼려했을 테스트임에도 불구하고)
사이판 바라기가  되어 결국 12월에 노랑풍선에  사이판 패키지를   다시 예약할 정도로 행복했던 사이판에서의 순간순간을
추억하며  지난 사이판여행  후기를  몇자 올려봅니다.
  제 일정은    노랑풍선 여행사의  사이판 트래블 버블 7박8일 상품으로 일정이  켄싱턴 호텔 5박격리.월드리조트 2박자유일정이었는데  5박일정의 켄싱턴격리는 한마디로  행복한?격리였어요.
특히 디저트맛집이라  인정 안할수없게 티라미슈나 무화과 치즈케잌이  자주 뷔페에서 볼수  있어  입이 즐거웠고 룸에서  보이는  끝없이 별쳐지는 오션뷰로 눈이 즐거웧고 수영장과 호텔전용 비치에서   요트타고 스노클링하느라 몸도 즐거운  5박 켄싱턴일정을  보냈어요.
글리고  나머지 일정을 보낸 월드 리조트는  사이판 최고 워터파크가 있어  자유일정이 이틀인것이 아쉬웠고  가이드님이 안내해주신  식당의 생참치와 라임소주는 안 먹어본 사람은 모르는 별미였어요 
그 중 하일라이트는 별이 쏟아지는 별빛투어와  티니안 타가비치의 절경이어서 추천드립니다
아직 안 다녀오신분들은 노랑풍선 사이판 패키지 추천드리고 저는 12월에 다시 사이판 패키지 예정입니다
 하파다이~사이판~
       "
괌,"맑고 깨끗한 사이판.. 행복한 시간이였습니다. (1):개인적으로는 휴양보다는 관광을 선호하지만 
이번엔 초등학교 아이들에게 또 다른 바다를 보여주고 싶어서 선택한 사이판. 
한국에서는 코로나19 대유행이라 걱정했는데 사이판 여행 3박 5일간은 잊고 지낼 수 있어서 너무 좋았습니다. 
  우선 밤 늦은 시간에 공항에서 PIC까지 데려다 주시고 
또 밤 늦은 시간에 PIC에서 공항까지 데려다 주신 이윤준 가이드님께 정말 감사 드립니다. 
하나하나 세심한 배려와 꼼꼼한 일정 설명이 없었다면 아마 해매고 있었을텐데요. ^^*
자유시간을 어찌 보낼지 큰 그림 그려 주셔서 더더욱 저의 여행은 알찼던 것 같습니다. 
  3박 5일간 너무 즐거워서 다시 찾아가고 싶은 사이판입니다. 
어린이들의 천국입니다.
  PIC 리조트는 오래된 느낌이라 큰 기대하지 마시고 그 안의 부대시설 강추입니다. 
음악과 흥과 여유가 녹아져 있는 리조트.. 다시 가고 싶네요. 
동남아 휴양지와는 조금 다른 느낌입니다. 진짜 모두 여유롭고 편안해 보이더라구요.
  마나가하섬에서 스노쿨링, 씨워킹 후 뭍까지 데려다 주는 보트도 즐거웠고
정글투어 하면서 사이판의 또 다른 모습과 아픈 과거를 보게 되고 짠한 느낌이였습니다. 
  너무 빨리 돌아온 것 같네요. 한동안 잊혀지지 않을 것 같습니다. "
괌,"좋은 추억 멋진 경관 아이러브 사이판! (1):5년만의 가족여행을 사이판 다녀왔습니다. 괌보단 못하다는 편견이 있었는데 막상다녀와보니 경치며 경관이 매우 환상이었습니다.
애들도 모처럼 수영 및 스노쿨링을 원하게 하였고 무엇보다다 가이드분이 매우 친절하셨습니다. 사이판 털보아저씨 감사드려요...
   "
괌,"아이와 함께한 사이판 추천합니다 (1):어린 아이와 함께한 사이판 여행..
최고의 선택이 되었던거 같습니다.
어린 가족이 있는 분들은 사이판 추천드립니다"
괌,"12월의 사이판 여행기~~(이런 가이드 또 없습니다~~):10월에 일찍 예약했던 가족여행이었어요 둘째가 27개월이라 많이 어려서 비행시간, 숙소, 놀이거리등 검색하다 사이판으로 결정..
가족들끼리는 첫 해외여행이었던지라 걱정이 없었다면 거짓말이었는데 공항에서 내리는 순간부터 오민희 가이드님 덕분에 든든하게 
여행 마칠수 있었습니다 새벽에 도착한터라 저희 기다리느라 많이 피곤하셨을텐데 어찌나 활짝 웃으며 맞아주시던지요^^
숙소 체크인까지 세심하게 마무리해주시고 아침 일정시작도 아이컨디션 맞춰 시간조정해가며 해주셨어요.
사이판에 오래 계셨다고 하시던데 옮기는 장소마다 줄줄줄 역사에 대해 얘기도해주시고 9살인 큰애는 덕분에 사이판에 대해서 많이 알았다고 
얘기하더라구요.. 
대부분 오전은 관광하는 일정, 오후는 숙소에서 쉴수 있도록 계획을 짜주셨는데 물놀이도 실컷했구요..
둘째날 마나가하섬 들어가는데 필요한 돗자리며 음료수 ,아이가 가지고 놀 수 있게 모래놀이 세트까지 챙겨주셔서 또 감동 받았어요~~
페러세일링은 남편도 대박 추천 겁나하던 첫째도 가장 기억에 남는다고 했구요..운좋게 거북이도 봤대요 ㅎㅎ
별빛투어는 엄마가 가장 감동받은 일정이었답니다. 세상 가장 멋지고 많은 별들을 보고 별똥별도 보고 잊지못할 가족사진도 찍고 왔어요.
정글투어도 재미있었고 전체적으로 너무 만족한 여행이었어요. 둘째때문에 예약하면서도 망설였던 여행이었는데 좋은 가이드님 만나서
많은 경험도 해보고 편하게 다녀오고 나니까 당장 두번째도 가고싶다는 생각만 가득 들더라구요.
좋은 기억이 많아서 언젠가 또 사이판을 꼭 가게 될 것 같아요. 그때도 오민희 가이드님 만날수 있으면 좋겠어요
모두가 행복한 여행 만들어주셔서 감사했습니다!^^
     "
괌,"사이판 가족 여행, 이주현 가이드님 덕분에 최고의 여행을 경험하였습니다.:이 여행에서는 이주현 가이드님의 친절과 배려가 모든 일정을 다 만족시켜주었다고 할 수 있을 만큼, 이주현 가이드님께서 사이판을 정말 잘 가이드해주셨습니다. 
저는 여행지의 공항에서 첫 만나는 가이드님이 여행의 전체 이미지를 좌우한다고 생각합니다.
그리고 이번 여행에서 만났던 가이드님은 제가 만나본 가이드님들중 단연코 최고였습니다. 
공항에서 새벽에 처음 가이드님을 만났을 때부터 여행 전 일정 동안, 그리고 마지막 사이판에서 출국할 때까지 내내 이주현 가이드님의 친절과 배려는 계속 이어졌고(이 친절과 배려가 인위적인게 아니라 여행객을 진심으로 위한다는 마음이었습니다!!),
사이판 섬관광을 하면서 자칫하면 지루할 수 있었던 사이판의 역사 이야기를 차분하고 재미있고 귀에 쏙쏙 들어오게 잘 설명해주셔서, 사이판이 대한민국 국민에게 어떤 의미가 있는 곳인지를 정말 잘 알게 되었습니다.
또한 사이판을 더 즐겁게 즐길 수 있는 방법도 친절하게 잘 알려주셨고(물론 그 과정에서 옵션에 대한 부담도 전혀 없었습니다), 그 결과 선택한 정글투어 역시 정말 멋지고 즐거웠습니다.
이주현 가이드님 덕분에 사이판 여행 동안 온 가족이 모두 즐거운 추억들만 쌓았고,
그 결과 돌아와서도 가이드님 칭찬을 아끼지 않고 있습니다.
정말 최고의 가이드님과 함께한 제 손에 꼽는 최고의 여행 중 하나였습니다.
다시 방문하고 싶은 여행지 중 하나가 된 여행이었습니다."
괌,"[사이판] 오민희 가이드님과의 만남이 있어 즐거운 가족 여행길!!!:여행을 하기 앞서 가이드분에 역활이 상당히 중요하기에
비행기를 타고 이동하는 동안 조금은 걱정이 되었으나,
현지에서 가이드님 만남을 갖고 그런 고민은 싹~~~악 사라졌습니다.~^^
친절은 기본이시고 현지에 대한 상세한 설명과 먹거리 즐길거리 등등 
4박 5일 동안에 즐겁고 알찬 여행길이 였습니다.
오민희 가이드님을 뵙고 느낀 점을 말씀드리자면
현지 만남 후 끝이 아닌 시작이라는 단어가 생각날 정도로 매우 잘해주신 점 정말 감사드립니다.
좋은 상품과 마인드가 확실한 가이드님을 만나 뵐 수 있도록 해주신 노랑풍선 여행사에 정말 감사에 말씀드립니다. "
괌,"너무너무 행복했던 두번째 괌 여행 (1):처음 괌 여행을 갔을때 하얏트 호텔에 반해서 두번째 여행도 하얏트 호텔로 결정했습니다.
오랜만에 만나는 하얏트가 반갑기도 하고 변하지않은 모습에 옛날 생각도 많이 나서 좋았습니다.
사진으로 전부를 담을 수 없어서 너무 아쉽지만 괌에서 먹은 음식도 정말 다~~ 맛있었고 길거리 풍경 모든 것들이 너무 아름다웠습니다. 
  가이드 분도 너무 친절했고 즐거운 여행이 되도록 많은 도움을 주셨습니다.
멋진 풍경을 눈에 많이 담아와서 한동안 또 그리울 것 같습니다.
세번째 갈때도 잘 부탁드립니다.
         "
