country,contents
라오스,"라오스 여행 2 번째 (1):2020년1월20일 19시10 분 이륙 한 제주 항공 비행기는 정시보다 20분 일직 라오스 비엔티안에 도착 하여 현지 가이드를
만나 호텔로 이동 하여 하루를 지냈습니다
  라오스 여행 2일차
아침을 호텔 에서 먹은 후 비엔티안시내의 불교 초기 크메르왕궁과 불상이 6840개 있는 왓 씨씨켓사원을 관광 한 후
코키리 트레킹 과 짚라인을 한 후 방비엥으로 향하여 습니다
방비엥에 도착하여 숙소로 들어가 기 전에 삼겹살로 저녁을 하였습니다 물론 무한 리필로 얼마든지 먹을 수 있습니다
저녁을 먹고 나서 내일 행사에 준비를 못 하신 분들은 근처 야 시장에서 슬리퍼 구매 할 수 있습니다
책크인 한 후 오늘 하루를 마감 하였습니다
라오스 여행 3일 차
숙소에서 나와 이제 본격 적으로 방비엥 관광이 시작 되었습니다
처음에는 숙소 근처에서 롱테일 보트를 타고 숑강 을 상류에서 하류로 즐긴 다음 간곳은 이곳에서 요즘 한참 개발중인
곳으로 에메랄드 빛 천연풀장인 불루라군으로 향하는데 가는길이 비포장도로 로 우의와 마스크를 착용하고 가야만 했다
일부 승객들은 버킹카를 타고 같이 같다
새로운 불루라군에서 수영과 다이빙을 즐기고 처음 시작한 불루라군으로 이동 하여 다이빙과 수영을 즐긴다음 탐짱
동굴을 튜브 를 타고 줄을 따라 끝까지 간 후 다시 줄을 따라 출구로 나와 점심 으로 비빕밥 을 먹고 카약을 타고
숙소 까지 온 후 싸워를 하고 맛사지를 받으러 갔다
맛사지를 받은 후 저녁으로 오리 고기로 한 후 어제 잠시 구경을 한 야시장을 다시 아이쇼핑을 한다음 숙소로 온 후
오늘 일정을 마치었다
라오스 여행 4일차
호텔에서 아침을 먹고 8시 20분 버스에 올라 비엔티안으로 향 하였습니다
도중 배에 승선을 하고 풍류를 즐기며 점심을 먹었습니다
이어서 물품 구입을 위해 각각 판매점에 들러
구입을 원하는 분들은 구입을 하고 나서 저녁을 먹기위해 평양냉면식당으로 가서 이북 여 종업원과 무대에서
쑈를 즐기며 저녁을 먹고
대한민국 으로 가기 위해 공항으로 가서 출국 수속을 마치고 잠시 시간을 내서 면세점 이라기 보다는 좀 작은
판매점에 들려 구매 하지 못한분 들은 저렴한 가격으로 구매를 하고 제주 항공을 타고 돌아왔습니다
탐짱 동굴에 참여는 않했는데 언제 20$를 환불 받나요"
라오스,"아름다은 자연환경 그리고.. 다양한 액티비티 라오스 여행:라오스의 역사,종교,생활문화 등등 많은 것을 보고, 다양하 액티비티로 스트레스도 날리고  친절하고 꼼곰한 가이드님 덕에 더욱 즐거운 라오스 여행이었습니다. 꼭 추천하고 싶은 여행입니다..."
라오스,"아름다운 루앙프라방, 엑티비티로 가득한 추억을 만든 방비엥... 무엇보다 순박한 사람들... 다시오자고 약속하며 떠난 라오스~~:방학을 맞아 사랑하는 사춘기 세 딸들과 함께 타잔 놀이할 수 있다는 꼬심을 하여 떠난 라오스.... 기대 이상으로 즐거웠다는 리뷰를 들으며 다시 꼭 오자고 고 약속을 하였다. 자연뿐 아니라 그 곳 사람들의 순박함에 더 기쁨을 누렸던 시간들... 치안도 좋았고 호객행위도 없었고... 맛있는 커피와 아름다운 경치들이 아직도 내 마음 가득하다. 한국사람이지만 라오스 사람처럼 순수하신 그리고 세밀히 살펴주시는 가이드님... 최광수가이드님께 넘 감사한 마음. 처음으로 리뷰를 쓸 마음을 가지게 해 주신 분이시다. 쇼핑센터 질도 좋고 강매하지 않고 옵션 상태도 좋고....두번째 노랑풍선 패키지. 앞으로도 쭉 노랑풍선을 애용할 결심을 했다~~~ 노랑풍선 최고!!! 
   "
라오스,라오스 신동원가이드님 감사드려요^^ (1):친절한 신동원가이드님의 여행하는 동한 여행자들 옆에서 하나하나 설명해주셔서 라오스의 역사와 라오스의 현실을 알게 되었답니다. 짚라인외 여러가지 체험활동은 안전수칙설명으로 모두 안전한 체험활동이 되었습니다. 많은 추억을 가지고 돌아왔습니다.
라오스,"멋진 최고의 가이드 신동원과 함께 즐거운 라오스 3박5일:12월 15일부터 3박5일동안 라오스 비엔티안, 방비엥을 멋지고 신나게 잘 다녀왔습니다.
신동원 가이드님을 처음 뵈었을때 큰눈과 큰키 약간 검은 피부로 이국인 인상을 주었는데 토박이 서울분이셨습니다.
전체적인 일정과 숙소, 음식 등 아주 만족스러운 여헹이 되지 않았나 생각됩니다.
가이드님의 상세한 설명과 안내, 그리고 조금 일찍 출발해서 밀리지 않고 편안하게  관람하고, 특히 방비엥에서
멋진 풍경과 시원스레 강을  달리는 롱테일보트, 황토 먼지를 맞으며 울퉁불퉁길을 신나게 편도 약 1시간정도 달리는 버기카,
일행중에서 제일 연장자인 제가 8개소의 짚라인을 선두에서 멋지고 신나게 하늘을 날으고,
처음 해보아서 그런지 다리를 쭉펴고 노를 젓다보니 힘이 좀 들었지만  재미있게 옆팀과 물장난 하면서 즐거운 카약킹등을 타고,
멋진 평양식당 아가씨들의 연주와 노래, 맛있는 음식, 가이드님이 호텔에 들어 가기전에 호텔 상태가 좋지 않다고 했는데 들어가 보니
기대 이상 이었습니다.  이모든 일정을 멋지고 즐겁고 친절하게 잘 안내해주신 멋진 신동원 가이드님 즐거운 여행이되도록 배가 시켜주셨습니다.
그리고 11명의 가족같은 동반자들도 협조 잘하고 배려들 해주셔서 감사합니다.
최고의 신동원 가이드님과 동행자 여러분 행복한 성탄과 좋은 연말연시들이 되시고 새해 보갆이 받고 건강하세요."
라오스,"라오스를 느낄 수 있었던 루앙프랑방 방비엥 비엔티엔 여행:작년에 캄보디아 앙코르와트와 베트남 하노이 하롱베이를 연결한 패키지를 잘 다녀왔어서 올해는 바로 옆의 라오스를 가게되었습니다. 얼마전 다녀온 인도패키지 여행때 힌두교와 인도문화에 대해서 여러가지 잘 배울 수 있었어서 기대를 크게 하고 갔고, 이번에도 여러모로 소기의 목적(?)을 달성한 여행이었습니다.
르앙프라방에도 들리라는 조언을 이전 여행에서 뵈었던 분이 해주셨어서 그 코스도 포함해서 넣어서 갔는데, 국보1호 불상 등 여러 불교문화들과 왕궁박물관등을 구경할 수 있었어서 나름 좀더 의미있었던 거 같습니다. 단 그날 햇볕이 굉장히 따가왔는데, 개인적으로는 사이판이나 하와이에서의 햇볕보다 더 뜨겁고 따가왔어서(?) 힘들었던거 같습니다. 다행히 둘째날 방비앵에서 해양액티비티 하는 날에는 소나기도 한번 오고 구름도 끼어서 훨씬 시원했습니다만, 여하튼 라오스 햇볕은 대비를 하고 가셔야 할 거 같습니다. 르앙프라방에 왕궁 박물관에는 들어가기 전에 지갑까지 다 가이드 선생님한테 맡기고 가야 하는데, 갔다 온 다음에 현금이 없어지는 불상사가 있었습니다. 여행 마지막날 아침에 노랑풍선 동남아 팀에 전화드려서 상의를 드렸는데, 현지 여행사에 말씀을 하셨는지 잃어버린 금액만큼 쇼핑센터에서 토종꿀 등으로 변상을 해 주셔서 다행이었고, 가이드 선생님도 더 신경써주셨어서 잘 마무리 된거 같습니다. 만약 지갑까지 맡길 시에는 현금 얼마를 받았다는거를 가이드선생님들과 서로 확인하고 다시 받을때도 확인하고 해서 서로 불편한 일이 없도록 미리 대비를 해야 할 거 같습니다. 여행지 어디를 갔어도 지갑까지 가지고 들어가지 못하게 하는 곳은 보지를 못했었는데, 그 점에서는 이 곳 박물관이 좀 의아했습니다. 코끼리 트래킹은 코끼리들 잔인하게 사육한다고 하지 말아야 한다는 동물보호단체 글도 보았으나, 라오스에서는 다행히 코끼리를 그다지 심하게 다루는 거는 아닌거 같았고요. 코끼리 트래킹과 짚라인 등은 새롭고 재미있는 경험이었습니다. 마지막날 묵었던 Thavisouk Island Hotel 경치도 너무 좋고 마음에 든 호텔이었습니다. 현지에서 들렀던 한국 음식점들도 음식 괜찮고 맛있었어서 라오스 패키지 여행 하며 배탈났다는 후기 보고 긴장했었는데 그런거 없이 Beer lao 마시며 같이 간 일행분들과 즐거운 시간 보냈습니다. 단 이번 팀은 저를 포함 5명 밖에 되지 않았어서 Van을 타고 다녀서 좀 아쉬웠지만, 모든 것을 다 만족할 수는 없는 것이 패키지 여행인거 같습니다. 가격대비해서는 자유여행보다 훨씬 저렴하게 여행 잘하는 거고, 현지 사정 잘 아는 가이드와 함께 다니니 안전한것도 있고 해서 쇼핑센터 들리는 등의 좀 부담스러운 점도 있지만 패키지 여행을 추천하는 이유중의 하나가 되는 거 같습니다. 야시장에서 좋은 기념품들도 잘 득템하고(공항에 가도 가격만 비싸지 똑같은 물건이라는 가이드 선생님 조언이 도움이 되었네요) 탓루앙 사원 등 여러곳에서 인생샷도 건졌네요. 노랑풍선으로 9번째 다녀오는 패키지 여행인데 이번에도 즐거운 시간 보내고 견문을 넓힐 수 있었어서 감사드립니다. 
 "
라오스,"아름답고 순박한 나라 라오스에 친구를 두고오다.:큰 기대없이 출발한 라오스 여행
가이드 길기현님 때문에 정말 좋은 추억과 멋진 기억을 한아름 안고 돌아왔다.
라오스 사랑이 가득한 애정어린 설명과 포함된 일정과 옵션 사항을 적절히 배분하여 여유로우면서도 부족하지 않은 진행 덕분에
여행내내 즐거웠다.
얼마나 좋았냐면.......응
라오스에서 돌아온지 3일째 다시 라오스 여행을 계획하고 있다.
마음 한켠 라오스에 남겨 놓고 돌아가고 다음에 와서 찾아가라던 기현씨.
난 마음 한켠도 두고오지 않았다 그렇지만 꼭 다시한번 가야할 것 같다.
  라오스에 친구를 두고 왔기에~~
기현씨 ^^
고맙고 감사했어요. 덕분에 참 좋았내요.
항상 건강하고 건승하길 바래요 ^^
             "
라오스,라오스 비엔디안 방비엥 문차장(moon by )가이드님 감사 드립니다:친절하고 상세하게 설명해 주셔서 경청 할수 있었읍니다 여행객을 가족 처럼 생각 하시고 안내해 주어 깊은 감사 드립니다 다음에 또 만나요 
라오스,"라오스 가족여행:3박5일 라오스 여행~
 그동안 열심히 산 가족과 자신을 위해  힘들고 지친 심신을 여행을 통해 쉬고 싶었다.
라오스패키지 상품에 계약만 했지 준비 없이 여행가방만 달랑 들고 떠난 여행길이었다.
여행을 많이 다녀보았지만 가장 기억에 오래 남는 여행인것 같다.
시작부터 돌아오는 마지막까지 150% 만족으로 다시 찾고 싶은 라오스가 되었다.
곽기봉 가이드님 덕분에 여행의 만족도가 가장 높았던것 같다.
짚라인부터 폭포수 그리고 블루라군에서 다이빙은 자신의 본래 모습을 찾을 수 있는 기회가 되었다.
삶을 더 열정적으로 마지막 남은 인생을 재구성하는 좋은 기회가 되었으며 3박5일이  1달이상 여행한 느낌이었다.
패키지 여행을 하면서 항상 느끼는 것은 짧다였지만 이번여행에서 느낀것은 기간이 중요한 것이 아니라 전체적인 여행의 스캐줄과 가이드님에 역량이 비중을 차지하고 중요하다는 것을 새삼 느꼈다.
끝까지 희생과 봉사로서 함께 한 곽기봉 가이드님께 감사드리고 싶고 기회가 된다면 내년 6월에도 다시 찾고 싶은 라오스 여행이었다.
가이드님 항상 건강하시고 행복하시라고 기도할께요.      라오스를 다녀와서 정혜윤
 "
라오스,"액티비티한 라오스~~ 이지은 가이드님과 함께여서 더 좋았어요.:친구와 함께 여름휴가를 급하게 잡느라고 패키지를 선택했는데 넘넘 좋았어요.
저도 패키지를 많이 다녀봐서 좋은 가이드님을 만나는건 팔자려니 하고 생각하는데 이번에
이지은 가이드님을 만나고 지금까지 만난 가이드님들 중에서는 최고 였어요.ㅎㅎ
항상 솔선수범으로 챙겨주시고 설명도 맛깔나고 잼나게 해주시고,,,잊지 못 할거에요,,,
라오스는 나무가 많아 공기도 좋고 사람들도 친절하고 물가도 엄청 싸서 한달살기 이런거 괜찮을거 같아요,,
저 같은 직장인에겐 꿈 같은 얘기겠지만요,,
다음엔 공부 많이해서 자유여행을 도전해 봐야 할거 같아요,,
우리 패키지팀분들도 항상 건강하시고 행복하시길,,
이지은차장님, 정일평과장님, 현지가이드 너히님 너무너무 고생하셨구요,, 항상 건강하고 행복하세요,,"
