country,contents
미서부,"미서부 10일 여행후기입니다~:신혼여행으로 미서부를 선택했는데요. 정말 잘 선택했습니다.
너무나 아름다운 캘리포니아 자연환경이랑 샌프란시스코 도시, 날씨도 너무 선선하고 좋았구요.
오랫만에 눈과 마음에 휴식과 두근대고 설레는 느낌을 주는 여행이었습니다.
푸른투어 양기영 가이드님 감사합니다. 앞으로도 아름답고 품격있는 여행 부탁드립니다."
미서부,"미서부 여행 후기(김학선 가이드와 함께~~~) (1):큰딸 대입 수능 마치고 계획한 가족여행.
여행지는 이미 미서부로 정해 놓은 터라 일정이 맞는 상품을 골라야 했는데 여기저기 검색 끝에 노랑풍선의 미서부 일정이 좋아 보여 선택했다.
이 투어 일정은 패키지에다가 개인의 선택에 따라 약간(?)의 자유일정이 포함되어 있고 주요 3대 도시 및 4대 캐년을 모두 경험할 수 있다는 점이 장점인 듯하다.(우린 거의 옵션을 선택했기 때문에 자유일정은 크게 없었으나 오히려 선택관광을 즐긴 것이 더욱 좋았음)
도심에 숙소가 있는 라스베가스에서는 이틀 동안 저녁에 개인적인 일정을 즐길 수 있었고 자유식인 날은 식사도 나름 찾아가며 했는데 피자헛 피자와 파파이스 치킨이 한국보다 맛있어서 우린 행복한 한끼를 즐길 수 있었다.(물론 김학선 가이드의 상세한 안내가 한몫 했음~~^^)
자유일정 중 들린 프리미엄 아울렛에서의 쇼핑시간은 세 딸(왕딸?, 큰딸, 작은딸)에겐 나름 하나씩 건진 또 하나의 작은 즐거움이 되었다.
자연이 빚은 예술작품 4대 캐년을 둘러보며......역시 미국은 커~~~ 캐년에 대한 이런저런 감상을 글로 한다는 건 어림 없는 일이니...직접 가서 눈으로 보고 몸으로 느껴야 할 듯~~
여행 도중 버스 창을 통해 일출과 일몰을 모두 볼 수 있었는데...일출과 일몰을 산도 아니고 바다도 아니고 지평선에서 볼 줄이야...>_<
시골 마을 같던 캐납의 저녁 식당에서 노래하던 미국 아르바이트 소녀의 노래는 나름 정겨움 그 자체였고 캘리코 은광촌에서의 활극(정부군의 은광 토벌 작전?)은 예정에 없었던 즐거운 공짜 쇼였다. 요세미티 국립공원에서의 점심 도시락은 별미였는데(왜 난 바위나 폭포보다 도시락이 먼저 생각나는 걸까...) 단연코 한국의 본도시락보다 3배는 맛있었다...^^
시원한 유람선 관광 후 30여분 직접 걷는 금문교 도보 일정은 다른 패키지와 차별되는 현장체험 코스라 나름 기억에 남는다.
헐리우드 2019에 걸린 봉준호 감독의 '기생충'은 타국에서 대한민국의 자긍심을 느끼게 했고 마지막 코스인 유니버셜에서의 이런저런 놀이에 8일 일정의 피로는 눈처럼 풀렸다.(아~ 특히 워터월드~~~대박!!! 반드시 보시라!!!)
  이번 여행의 즐거움은 패키지의 일정 자체도 한몫 했으나 무엇보다도 김학선 가이드의 인솔과 안내가 결정적이었다.
나와는 10년 남짓 차이의 연배라 막내 동생 또는 큰 조카 정도로 느껴지는 친구이다.
일정 내내 여행 관련 유의사항이야 당연하고...날씨, 옷차림, 식사, 숙소 등등에 대한 상세한 설명을 듣다 보면 이전 패키지 여행에서 겪었던 여느 가이드들의 기본적인 안내와는 차별되는 무언가가 느껴진다. 그게 무얼까...했더니 마음을 담아 알려주고 걱정하고 챙겨주는 태도가...아...가족에게 해 주는 것 같은 정이 있었다. 나 뿐만 아니라 많은 일행들도 함께 느꼈을 것이다.
보통 미서부 패키지에 함께 하는 일행들을 보면 가족여행이거나 나이가 적지 않은데 김학선 가이드는 동생처럼, 때로는 조카처럼 일행 한팀 한팀에 관심을 기울이고 있다. 사진 찍어주는 거야 기본이고 어르신들에게는 호텔에서 와이파이 연결을 직접 해 드리고 공항에서 체크인까지 하나하나 해드리는 모습을 보니 가이드라기 보다는 가족 같은 느낌이었다.
일정 중간중간 해당지역 관련한 역사 및 에피소드 등의 들을 거리와 영화, 영상 등 볼거리를 제공하여 현지를 더욱 깊게 느낄 수 있도록 노력해 준 덕분에 더욱 유익한 여행이 될 수 있었다.
경험상 사실 패키지 여행은 가이드에 따라 여행의 즐거움이 배가 될 수도 반감이 될 수도 있을 정도로 그 중요함이 매우 크다. 그런 면에서 우리 일행은 행운이 따른 셈이다. 김학선이라는 가이드를 만났으니 말이다.
더불어...패키지 여행의 또 다른 변수가 함께 하는 일행인데 우린 서로에게 행운이 아니었을까...모난 분 한 분 없이 일정 내내 모두 서로를 배려하고 챙겨주는 모습은 우리 여행의 행복을 배가시키는 아름다운 그림이 되었다.
이번 여행에 함께 한 모든 분들 모두 건강하시고 행복하시길 마음 모아 소망해본다."
미서부,"즐겁게 미서부여행 다녀온 후기입니다(with 김학선 가이드님)~!:   지난 1월 29일부터 2월 5일까지, 현지 7박 8일(비행 포함 7박 10일)의 일정으로 미서부 여행을 다녀왔습니다~^^
진작 여행 후기를 올리고 싶었는데, 현실에 복귀(?)하느라 2주만에 여행 후기를 작성하게 되었네요.
한동안 짙은 그리움(?)에 시달리다가 이제 완벽히 현실로 돌아온 듯합니다. 결과적으로 너무 마음에 들었던 여행이었고, 즐겁게 다녀왔습니다.
  1. 패키지 선택
평소 여행을 자유여행으로 다니는 편인데, 이번 여행은 어머니를 모시고 가는 여행이어서 편하게 패키지를 이용하기로 마음먹었고, 결과적으로 아주 잘한 선택이었던 것 같습니다. 기본적으로 대도시를 제외한 나머지는 달려도 달려도 끝이 없는 지형이 끝도 없이 펼쳐져 있었고, 만약 차를 렌트해서 이동해야 했다면 풍경을 제대로 즐기지도 못한 채 운전하다가 지쳤을 것 같아요^^;
그리고 비교적 짧은 기간 고루 돌아보고 여행하고 즐기기 위해서, 여느 여행지보다도 '미서부'는 특히 패키지로 여행하는 것이 더 효율적인 것 같습니다.
   + 다만, 이번 여행에서 한가지 불만족스러웠던 점은, 여행 확정 과정에서 여행 출발일이 임박한 직전까지도 '최종 확정'이 나지 않아, 계속 전화를 드려야만 했던 점이에요. 비행기 좌석 관련해서 나름 사정이 있으신 설명을 들었고, 노랑풍선 담당자분께서 친절하게 응대해주시기는 했지만, 여행자 입장에서 여행 직전까지 과연 여행을 갈 수 있을지 계속 불안에 떨어야 했기에 여행 출발 직전의 설렘을 느낄 여유가 없었다는 점.............!
  2. 패키지 구성
또 그간 다녀본 패키지 여행 등의 경험에 비추어봤을때, 특히 이번에 다녀온 패키지 상품의 구성이 아주 알차고 좋았다고 생각되는데요.^^
패키지 상품 고르는 단계에서부터, 이정도 저렴한 비용에 이보다 더 알차게 미서부를 돌아보기 어려울 것이라는 확신으로 해당 상품을 선택했고, 결과적으로 너무 잘 선택한 것 같습니다.
큼직한 전체 일정은 다음과 같았습니다.
1day) 로스앤젤레스 공항 도착(오전 도착)-라스베가스[쇼 관람, 야경투어]
2day) 라스베가스 - 불의 계곡 및 NORTH 프리미엄 아울렛
3day) 자이언캐년, 브라이스캐년, 캐납
4day) 엔텔로프캐년, 그랜드캐년[경비행기], 라플린
5day) 캘리코 은광촌, 바스토우 아울렛
6day) 요세미티 국립공원
7day) 샌프란시스코[케이블카, 유람선, 금문교 도보투어]
8day) 로스앤젤레스, 유니버셜 스튜디오
투어 일정의 가장 큰 장점은 선택에 따라 자유여행과 패키지여행의 장점을 모두 누릴 수 있었다는 점이었던 것 같아요.
선택에 따라 일부 선택관광을 하지 않고 개인적인 여유를 즐기거나(저희는 모든 일정에 참여했고 미서부를 빼곡히 즐길 수 있었던 것 같아 만족했습니다), 일정이 일찍 마무리된 후에는 자유일정을 즐길 수도 있었고, 자유식인 날도 있어서 일반적인 패키지보다 조금 더 자율성이 있었던 것 같습니다.
또 전체 일정 중 라스베거스에서 이틀을 숙박한 덕분에 라스베거스에서 해볼 만한 일들(근방의 불의 계곡, 아울렛 방문, 라스베거스 시티투어, 카지노, 번화가 쇼핑, 자유식 등)을 넉넉하게 즐겨볼 수 있었다는 점,
심지어 첫날 오전에 로스앤젤레스 공항에 도착한 덕분에 시간적 여유가 많았고(생각보다 현지 도착, 출발 시간이 중요하니까요),
3,4일차 캐년을 아주 알차게! 둘러본 이후에 5일차에는 이동하면서 잠시 휴식할 수 있는 텀이 존재하는 일정이었다는 점,
전체적으로 중국인 관광객들이 적어서인지 큰 기다림 없이 요세미티 국립공원까지 아주 여유있게 둘러보고 느껴볼 수 있었고, 특히 유니버셜 스튜디오에서는 기다림 없이 어트랙션도 많이 타고 충분히 즐길 수 있었고,
라스베거스, 샌프란시스코, 로스앤젤레스 3대 도시를 아주 구석구석까지는 아니더라도 모두 맛볼수 있었다는 점!^^,
번화한 도시들과 광활한 자연인 캐년들이 하루 사이에 대조되어 더 극적으로 느껴졌던 것 같고,
특히 샌프란시스코에서 도보로 금문교를 걸어 건넜던 경험은 아주 유니크한 경험이고, 소중한 추억이 될 것 같아요^^
  보통 패키지 여행시 여행사에서 제시한 패키지 일정에 조금 불만족스러운 부분이 있더라도 아쉬운대로 따라가게 되기 마련인데, 이번 여행의 일정은 마음에 들지 않는 부분이 거의 없었습니다.^^ 칭찬할 만한 구성이었다고 생각해요~~
다 너무 좋아서, 사진을 하도 찍어댄 덕분에 사진 정리에 시간이 꽤 오래 걸렸네요^^;;
  3. 친절한 가이드님 및 여행 구성원들
미서부에서 일정을 담당해주신 김학선 ROY 가이드님, 그리고 운전기사 OLIVER(이름이 맞는지 모르겠어요ㅠㅠ)님 덕분에 여행이 더욱 알차고, 즐거웠습니다.
비교적 버스 이동 시간이 길지만, 가이드님께서 그 시간조차 재미있는 농담과 이야기들로 가득 채워주셔서, 눈꺼플이 내려앉는데도 쉽게 잠을 잘수가 없었던 기억이에요.^^ 중간중간 미서부 해당 지역과 관련된 재미있는 영상을 틀어주셔서 현지를 즐길 수 있는 감성이 배가 되었던 것 같구요.  
또 대부분의 모든 요구사항과 필요를 채워주시기 위해 노력하는 모습, 조금이라도 더 경험하고 갈 수 있도록 해주시려고, 또 조금이라도 즐거운 여행이 될 수 있도록 백방 노력해주신 부분 정말 감사드립니다.^^
패키지 여행은 가이드 분이 누구인가에 따라 좌우되는 몫이 절반 이상인 거 같은데, 덕분에 더욱 즐겁고 기억에 남는 여행을 할 수 있었던 것 같습니다.  
또 길다면 길고 짧다면 짧은 시간 함께 여행한 여행 구성원분들께 정도 많이 들었는데, 마지막날 공항에서 제대로 인사도 드리지 못하고 탑승수속을 밟고 떠나와서(하필 비행기도 달라서ㅠ) 많이 아쉬웠습니다. 사진 한장이라도 함께 남겼었으면, 하는 아쉬움이 있네요. ㅠㅠ
비교적 젊은 친구들이 많이 온 여행이어서, 함께 어울려서 더 친해질 수 있었는데, 하는 아쉬움도 많이 남고요.^^
좋은 여행자 분들 덕분에, 좋은 분위기 속에서 여행할 수 있었습니다.^^
    넘 즐겁고 만족스러운 여행이었습니다~ 좋은 추억을 안고, 또다시 찾아올 다음 일탈을 꿈꾸면서 현실을 열심히 살아가야 하겠지요?^^ 그런 의미에서 여행은 또다른 의미를 낳는 것이고요.
여행을 함께한 모든 분들께, 언제나 행운과 행복이 가득하시길 바라겠습니다
   "
미서부,"Professioal 임한봉 가이드님과 함께 미서부 여행 후기:노랑풍선!! 안녕하세요 ~^^

개인적으로 노랑색을 좋아해서 그런지 노랑풍선에 대한 이미지는 늘 좋았습니다.
아마도 예전에 TV에서 본 어떤 예능프로 때문에 제 머리 속 어딘가 좋은 이미지로 남게 된 거 같기도 해요~~^^

사실 저는 어렸을 때 부터 항공사업계에 종사하고있었던 터라 자유여행만을 고집하게 되었고, 소위 말하는 패키지여행을 단 한 번도 해 본 경험이 없었습니다.
하지만 이번 여행을 통해 패키지여행이 얼마나 편하고 효율적이고 무료로 역사강의도 들을 수 있고 모르는 사람들과 친해질 수 있는 ~~ 패키지만의 장점을 알려드리고 싶어 이렇게 후기를 남깁니다. (그러고보니 여행후기도 제 인생 처음이네요~^^)

몇 해 전 부터 사춘기를 대비해 조금이라도 아들과 소통하고자 단 둘만의 여행을 1년에 한 번은 꼭 가겠다는 다짐을 하였고, 올 해가 벌써 3번째 여행이었습니다. 이번 여행은 좀 더 먼 나라 유럽 또는 미국 중 한 곳을 가기로 계획하였는데 너무 멀기도 하고 넓은 곳이라 신랑없이 아들과 단 둘이 여행하는 것이 조금은 겁이 났습니다. 제일 걱정된 것이 안전이었죠 ㅠㅠ (아직 아들은 11살의 child 랍니다~^^ 보기와다르게~^^ )

그러던 중 인터넷 서칭하다 우연찮게 노랑풍선에서 매우 저렴한 가격의 미서부 패키지를 발견하였는데, 자유여행으로 짜본 저의 예산보다 훨씬 더 저렴하더라고요 (참고로 저는 항공권이 저렴한 편인데도 말이죠~~^^ 직원티켓을 사용하면~)
뭐 가격도 매우 맘에 들고 운전도 안해도 되고 일정도 제가 직접 안짜도 되고~^^ 여러모로 기대가 되었답니다.

사실 패키지 여행을 꺼려하는 이유가 ""자유시간이 적고 새벽일찍 일어나서 피곤하다"" 이죠~~

하지만!!!

경험하고보니~~~
부지런을 떨었기에 많은 곳을 보고 즐길 수 있었고 호텔 옮길 때마다 큰 짐을 들고 왔다갔다 이동하지 않아서 좋았습니다.
왜 여행하다보면 그 놈의 짐이 원수같을 때가 많잖아요.
특히 미국.유럽은 렌터카를 이용하게 되는데 외국에서 운전하고 주차하는게 보통 어려운 일이 아닌데 말이죠. 하지만 패키지는 큰 차라서 승차감 좋고 베테랑 드라이버가 계시니 너무 감사했답니다.
또 가이드님의 이야기를 빼놓을 수 없는데...
미국의 역사와 재밌는 에피소드 그리고 본인의 이야기도 해주셨는데~~
참으로 감동적였던 거 같습니다.
돌아오는 비행기에서 가이드님의 감동적인 말씀이 계속 뇌리에 스쳐서 후기를 안 쓸 수가 없었네요~^^
마지막 LAX 공항으로 되돌아가는 차 안에서 해주신 이야기에 감동받아 저 혼자 울컥했답니다.
임한봉 가이드님이 틀어주신 음악.영화.감동적인 말씀이 이번 여행의 하이라이트가 아닌가 싶네요.
훌륭한 가이드를 위해 얼마나 많이 공부하고 연구를 하셨는지 말 안해도 알 수 있겠더라고요
제가 제일 좋아하는 단어 professionalism 을 그대로 장착하신 임한봉 가이드님께 깊은 감사의 말씀을 전해드리고 싶네요!!
이럴 줄 알았으면 우리 ☆☆잘생긴 임한봉 가이드☆☆ 님과 사진이라도 한 장 찍어둘 껄 그랬어요 ㅠㅠ 지금에서야 후회가 되네요 ~~^^
아!! 그리고 가이드님의 말솜씨(?) 때문인지 진짜 저희 팀원 모두 시간 약속과 배려만큼은 최고였던 거 같습니다. 팀원 때문에 눈쌀 찌푸리는 일이 단 한 번도 없었으니깐 말이죠. 이 역시 행운~~^^
역시 가이드님이 진심 베테랑이신가봐요~~ 최고!!

이번 미서부 여행을 통해 아들과 더 많은 소통을 할 수 있기를 기대하고, 넓은 세상 다양한 경험. 인종을 보고 더 큰~~ 마음과 안목이 생겼으면 하는 바램입니다.

저렴한 가격 & 알찬 일정의 패키지를 기획한 노랑풍선의 멋진 이미지는 제 기억속에 오래오래 남을 거 같습니다.
다음에 기회가 된다면 더 넓은 세상 ~^^ 노랑풍선과 함께하고 싶네요.

아!! 그 중 최고는 임한봉 가이드 이십니다~~~^^
가이드님 덕분에 편안하고 안전하고 즐겁게 여행했습니다.
행복하시고 건강하세요!!

그리고 제가 다녀온 여행지 함께 올립니다.
1st Day : 샌프란시스코 시청 > Pier 39 > GoldengateBridge 금문교
  2nd Day : IN-N-OUT Burger > 요세미티공원
3rd Day : Calico Ghost Town 칼리코 타운 > 7 Magic Mountains > Lasvegas
4th Day : 라스베가스 베네시안호텔 >Zion Canyon > Bryce Canyon
5th Day : 그랜드캐년 경비행기 > Antelope Canyon 엔텔로프 > Grand Canyon 그랜드캐년 
6th Day:
 "
미서부,"재밌었던 미서부 여행:미서부로 처음 떠나는 엄마와의 여행이었는데
한국에서 볼 수 없는 캐년의 웅장함과 라스베이거스의 화려함이 기억에 남습니다.
특히 투어 가이드님(김승범 가이드님)이 중간중간 설명도 잘 해주시고 친절하셔서 너무 좋았습니다!!
같이 갔던 패키지 팀원들도 시간약속 철저하게 지켜주시고 너무 좋았습니다!!
추천해용~"
미서부,"재밌었던 미서부 여행 (1):미서부로 처음 떠나는 엄마와의 여행이었는데
한국에서 볼 수 없는 캐년의 웅장함과 라스베이거스의 화려함이 기억에 남습니다.
특히 투어 가이드님(김승범 가이드님)이 중간중간 설명도 잘 해주시고 친절하셔서 너무 좋았습니다!!
같이 갔던 패키지 팀원들도 시간약속 철저하게 지켜주시고 너무 좋았습니다!!
추천해용~"
미서부,"이 글을 가이드 폴킴(Paul Kim)님이 보시길 바랍니다!!정말 감사합니다!!덕분에 즐거운 첫 미서부 여행 무사히 마치고 한국 돌아올수 있었습니다!!:첫 미서부 여행이었는데 미국은 입국심사도 있다고 해서 정말 설렘반 걱정 반으로 갔던것 같아요.
즐거운 여행중 여권을 잃어버리게 되었는데 눈앞이 깜깜했습니다. 자칫하면 비행기가 미뤄질수도 있는 상황이었고 정말 저는 당황하고
전화통화로도 해결이 되지 않았습니다. 하지만 마법처럼 가이드 김덕규님께서 정말정말 많은 노력해주시고 신경써주셔서 임시여권을 만들고 저는 여행을 차질없이 끝낼수 있었습니다. 정말 죄송하고 감사합니다. 저 한국에 무사히 돌아왔습니다!다시 한번 감사드립니다.
공항에 나와주신 스티븐 한님과 성함을 여쭤보지 못해 죄송합니다.ㅠ la에서 임시여권 발급 데려다주신 인솔자님도 감사합니다.
믿음직한 가이드님 김덕규(paul kim)님과 함께라면 즐겁고 안전한 미서부 여행 하실수 있을겁니다.
미국을 방문하고 싶지만 낯설고 불안하신 분들은 당장 노랑풍선과 함께 떠나세요!! 다시한번 강조하지만 가이드 김덕규님과 함께하면 좋은 추억만드실꺼에요!!
패키지 여행할때는 가이드분의 역할이 매우 크게 작용하잖아요 정말 저는 별 5개 추가해서 6개 드립니다.
게다가 이번 패키지 구성이 정말 좋습니다. 호텔도 전부 깔끔하고 만족스럽습니다. 조식 특식 한국식도 만족스럽구요
특히 엔탈로프캐년이 추가되어 더욱 감동적이고 인생샷도 많이 건질수 있는 여행이 되실겁니다. 남는건 사진이잖아요~!
긴말 필요없이 사진 올려 설명드릴께요
요새미티 공원은 정말 요즘같이 미세먼지가 많은곳에 있다가 가면 속이 뻥뚫리는 느낌이에요 산림욕도 할수 있어서 기분이 정말 좋았어요
호텔상태도 정말 조용하고 깨끗하고 넓고 좋습니다. 특히 가이드분께서 4인가족이상은 되도록이면 다 방을 옆으로 붙여주시도록 노력해주셔서 감사했습니다 ㅎㅎ 라스베가스에서의 호텔외관도 기대하시면 좋을 것 같애요
저희 가족이 전부 만족했던 캘리코입니다. 한국으로 치면 미국서부'카우보이'들이 총을 쏘던 민속촌 쯤으로 보시면 되요 ㅎㅎ 예쁘고 이국적인 기념품들도 많으니깐 시간있을때 얼른 겟!하고 인증샷도 겟!하기. 그리고 여기서 나오는 특식이 옛날 카우보이 들이 뜯던 립이 정말 특이하고 만족스러웠습니다
  드디어 가장 화려한 라스베가스 입니다. 정말 재미있는 이벤트들고 많이 보고 즐거웠습니다. 카톡 프로필 배경도 여기서 거의 건진것 같아요 ㅎㅎ
사람도 많아 정신없었는데 가이드님께서 한명한명 잘 챙겨주셨어요

3대 캐년을 정말 감동5배로 즐길수 있었어요 차에서 자이언트캐년을 둘러보며 음악을 틀어주시는데 정말 감동이었어요 그리고 경비행기를 타며 그랜드캐년을 보는건 말로 다 표현 못하는것 같애요 최고였어요!!!
엔탈로프 꼭 가세요!! 가장비싼사진작품 탑3에 들어가는 작품의 배경이 여기입니다. 정말정말 인생샷 건질수 있어요~~꼭 가세요
유니버셜 스튜디오.. 날씨도 최고고 정말 볼거리도 많고 특히 줄을 많이 서야 탈수있는 재밌는 놀이기구들을 시간절약해서 탈수있어서 좋았습니다.
  그리고 사진은 제가 따로 보관하고 있어서 올리지 못하지만 상상 그이상이에요
 정말정말정말 제생의 최고였던 하와이 여행까지.......하와이 여행은 1년에 1번 가고 싶을정도로 너무 좋았습니다.
  글을 끝내면서 정말 이번여행은 일정도 최고였지만 가이드님의 배려와 도움이 컷던 감사한 여행이었습니다.
기억에 남을 추억만들어준 노랑풍선 패키지 여행 정말 좋았어요 ㅎㅎ
미서부 여행과 하와이 패키지여행을 생각하거나 고민중이신분들은 꼭 가보시길 바래요!!!
   "
미서부,"미서부 임한봉가이드님 좋은설명과 음악 너무 좋았습니다.:첫 이미지는 딱딱해 보이셨는데
시간이 지날수록 재미있으시고 차량 이동 할때마다 설명을 너무 디테일하게 잘해주시고
대자연이 나올때 음악을 틀어주시는데 너무 기분좋게 보다가 왔습니다.
설명이 너무 좋아서 최대한 들을려고 했는데 시차 때문에 2번정도 잠들어 버려서 못들어서 아쉬 운것 말고는
가이드님 참 좋았습니다.
아~~ 유니버셜 갔을때 기프트샵에서 구매한것 할인 할수 있도록 따로 도와주시고 감사 했습니다.
도착해서 하루 자고 생각 해보니 꿈에서 깨어난듯한 여행 이였습니다.
가이드님도 잠못 주무시고 힘드 셨을껀데 30명이나 통솔 하신다고 수고 하셨습니다."
미서부,미서부 여행:여행
미서부,"미서부 여행. 김학선 가이드님 덕분에 더욱더 즐거운 여행이 되었답니다.:우린 몇개월전 유럽여행을 다녀왔답니다.
샤워실 하수구에 관련된 정보없이 입실을 하였는데 세상에 ~~
한국식 샤워만 생각을 했었기에 당연히 하수구가 있으리라 생각 ....
시차간 차이에도 적응이 안되었는데 카페트까지 스며든 물 난리에
그 다음날 아침 기진맥진..체력적으로나 정신적으로 오는 극도의 피로감..
암튼 이러한 일들이 있었기에
이번 김학선 가이드님의 자세하고 섬세한 설명에 완전 ""감동 이였습니다.
더군다나 버스에서 있는 긴 시간이 지루했을 법도 헀는데
중간중간 말도 안되는 재치와  유머로 차내에는 항상 웃음소리가 끊이질 않았답니다.
광활한 대지를 바라보던중  인디언들의 아픈 과거사를 설명해주심에 느껴저오던 잔잔한 .. 울림을.. 뒤로한후..
  와~우.... 
드디어 그렇게도 가 보고 싶었던 미서부 4대 캐넌에 도착..
  순수하고 우와하면서도 여성스러운 아름다운 미를  살포시 품고 있는 듯한 자이언 캐넌.
웅장하고 장엄하면서도  남성의 매력이 넘치던  브라이스 캐넌
오묘하면서도 신비스러운 엔탤로프캐넌.
살면서 한번도 경험해 보지 못한 대 자연이 내어준 미지의 선물 그랜드.캐넌
마음속 깊이 요동치며 뿜어져 나오던 황홀한 감동에 도취되어 시간이 어떻게 흘렀는지...
두번다시  또 올수 있을까? 싶어 두 눈속에 오렛동안 저장하였다 꺼내보기  위해 보고  또 보고를 여러번..
눈이 시리도록 바라보았답니다. 
  생각해 보니 놀이 공원을 여러번 아이들과 함께 다녀왔어도 고소공포증이 있어서
한번도 놀이기구를 타 보지 못하였다가 가상 체험을 하면서 얼떨결에 같은 팀원들과 어울려 즐거운 비명소리도 질러 보고
좀비를 피하려다가 직원 얼굴에다가 소리를 질러 엄청 민망하기도 하면서,,ㅎ ㅎ.
목이 아파 말은 나오지 않았지만 너무도 즐거운 시간이였기에  동심속에서 만양.. 호호 하하..
  유니버셜 스튜디오..!!. 
인기영화를 소재로 만든 전 세계 최고의 테마파크로 선택이 아닌 필수로 꼭 한번 들려보는 것을 ""강력 추천합니다.
    미 서부 여행을 하면서 김학선 가이드님의 유머와 열정과 성실함에 총알같이 지나간 시간들..
하루 하루가 어떻게 그리도 빨리 지나갔을까요?
인연이 또 다시 이어진다면 김학선 가이드님과  미 동부 여행도 함께 하고 싶어지네요.
김학선 가이드님 덕분에 울 가족들 여행 정말 즐거웠습니다.
여운이 길게 남는 참 좋은 여행이였어요.
김학선 가이드님 완전 ""짱 입니다.
행복하고 즐거운 여행을 선물해 주셔서 감사했습니다.
행복하세요.
               "
