country,contents
장가계,"산수화같은 장가계 (1):결혼기념일을 맞아 여행을 계획하던중 장가계를 추천받아 선택하게 되어 다녀왔습니다. 
날씨도 좋았구 함께한 다른팀도 좋은사람들이라 좋았구 최원빈 가이드님과 친절한 기사님도 좋았습니다.
음식도 나름 괜찮았습니다. 준비해간 김과 고추장이 남았어요~
노랑풍선 덕분에 좋은 추억이 생겼습니다. 감사합니다.
 "
장가계,"즐겁고 행복했던 장가계여행 (박영묵가이드님 감사합니다^^):3대가 덕을 쌓아야 만날 수 있다는 화창한 날씨와 좋으신 가이드님 덕분에 모임여행 정말 행복했습니다.
3박5일 빡빡한 일정에 하나라도 놓칠세라 관광지며 식사며 각종 편의를 세세히 챙겨주신 박영묵가이드님 감사했습니다^^
 "
장가계,"다시 한번 가고 싶은 장가계 여행 ~~~ (1):10. 25 ~ 10. 29 동안 우리 부부는 장가계 여행을 잘 다녀 왔다.
여행에 대한 기대와 설레임으로 현지에 도착하였을 때 낯설고 얼떨떨하였으나
오춘호 가이드님의 친절한 안내로 빨리 적응했다.
충칭시 공항에서 장가계까지 버스로 이동하는데 10시간이라는 장시간 이동
할 때도 지루하지 않도록 가끔씩 유머와 재미있는 입담으로 우리를 즐겁게
해주었다.
다른 여행지로 이동할 때에는 버스 안에서 가끔씩 그 지역의 특산물 간식도 주어
허기를 채우며 맛있게 먹었다.
중국 여행하기 전에 가장 걱정이 되었던 향신료가 들어간 중국 음식을 어떻게
먹을 수 있을까 하고 염려를 했는데 호텔에서 주로 뷔페로 나와 맛있게 먹었다.
  여행하면서 중간에 들른 식당에서도 가이드님의 배려로 향신료가 거의 없는
음식으로 식사를 할 수 있었다.
오춘호 가이드님의 특유한 유머와 친절하게 맞이해 주어 쉽게 팀원들간에 친해
질 수도 있었다. 또한 여행지로 이동할 때 마다 순간 순간 가이드님 재치로
기다리는 시간을 줄일 수도 있었으며,
공연할 때도 우리팀이 앞 자리에 앉아 가까이에서 구경할 수 있도록 가이드님이
많이 배려 해주어 편하고 재미있었다.
장가계 경치 만큼이나 가이드님의 센스와 톡톡 튀는 아이디어로 여행기간 내내
재미있었다.
장가계의 자연경관 등 많은 볼거리로 눈이 쉬지지를 못했다.
동행한 우리팀을 세심하게 배려해 주고 잘 챙겨 주셔서 여행을 무사히 잘 다녀
왔으며 다음에 장가계를 다시 한번 가고 싶다~~~
 "
장가계,"장가계 최고의 박해룡 가이드 님과 함께 멋진 시간을 보내다:멋진 여행을 경험하게 날씨에 맞취 일정을 잘 조율해주신 박해룡 가이드님 감사합니다.
다음에 또 만나뵙고 싶은 친구같은 멋진 분! 최고!"
장가계,장가계최고의가이드 조 향 단님 화이팅 (1):처가식구들과함께5년만에다시찾은강가계새로운것두생기고기존있는것업그레이도있었지만우리가족9명포함20명을환상의장가계여행을만들어준  조 향 단 가이드님작은것하나부터소소하게챙겨주신덕분에아무런사고없시즐거운여행을마칠수있어서정말감사했읍니다 ( 내가노랑풍선만고집하는이유가이런훌륭하고사명감있는가이드떔인것입니다) 항상건강하시고모든분들에게행복한DNA을맘껐심어주세요  조 향 단 가이드님넘버원
장가계,"황일천 가이드님과 함께 한 즐거운 장가계 여행 (1):갑작스럽게 장가계 가기로 결정을 하였고 노랑풍선에 마침 좋은 상품이 있어 바로 예약을 하였다.(여행기간 9월27일 21:10 인천공항 출발, 10월3일 05:40 인천공항 도착)
  그동안 장가계를 다녀왔던 지인들의 얘기를 들어보니 여행기간 내내 비만 맞고 안개만 잔뜩 보고왔다는 사람들이 대부분인지라 날씨정보를 알아보고 여행상품을 결정하였다. 그런데 여행기간에 중국 국경절을 피하라는 얘기가 있어 내심 중국사람들 구경만 하고 오는게 아닌가 하는 불안감은 있었다.
  첫날 밤비행기로 장사에 도착하니 황일천 가이드가 노랑 피켓을 들고 반갑게 맞이해주었고 리무진 버스로 근처에 있는 비엔나 호텔로 이동을 하였다. 호텔은 아내와 둘이 쓰기에는 넓고 깨끗하여 곧 편안한 잠을 자게 되었다.
  둘째날부터 장가계로 4시간동안 이동하여 본격적인 여행을 시작하게 되었고 이동하는 긴 시간동안 이번 여행에 대한 정보는 물론 만담 수준의 재미난 이야기로 같이 탑승했던 15명이 지루하지 않게 만들어주던 가이드님의 모습에 이번 여행에 대한 기대감이 높아졌다. 마지막날 장사공항으로 올 떄도 2시간 이상을 중국역사, 가정사, 황일천 생각 등으로 재미나고 즐거운 난 얘기로 시간가는 줄 몰랐다. 특히, 리무진이 공항 외곽 도로가 아닌 장사 시내 중심을 관통하도록 하여 장사시내의 야경을 보도록 배려도 해주었다.
  점심 시간에는 알코올도 적당하게 넣어주고 식사도 세심하게 보살펴 주어서 기대이상의 즐거운 식사가 되었다. 천문산 케이블카를 탈 때는 어떻게 시간을 잘맞혔는지 별로 기다리지 않고 올라갔고(보통 1시간 이상을 기다려야 하는데...) 보조 사진기사를 통해 곳곳의 명소마다 편안하게 사진 촬영을 하였다.(물론 이것도 나중에 사진앨범이나 동영상 USB로 소정의 댓가가 필요했지만 내 핸폰으로도 같이 찍어주니 좋은 전략인 것 같다는 생각이...)
  다른 패키지와 비교하여 일정이 넉넉한 관계로 천자산, 김구기념관, 원가계, 양가계, 공중정원, 홍석채, 천문호선쇼, 홍석림과 유람선, 부용진, 발마사지, 대협곡 유리다리와 유람선, 황룡동굴 등 장가계에서의 옵션 상품 거의 대부분을 하였고 우리 부부 뿐만 아니라 다른 사람들에게도 만족도 높았다고 생각한다.
  그런데 우리 팀중에서 일부는 추가 옵션을 원치 않는 경우가 발생하여 가이드가 난처한 입장에 있었던 경우가 있었는데(원점회귀가 아니라 도착지점이 틀린관계로 옵션 선택을 하지않은 사람들을 위하여 한 팀이 아닌 두 팀으로 운영을 해야 함) 두번에 걸친 별도의 보조 가이드를 섭외하여 원만하게 우리의 여행을 진행하게 할 수 있었던 점은 이번 기회를 통하여 가이드님에게 고맙다는 얘기를 전한다.
  작년 태항산에 이어 중국 명산들 위주로 부부여행을 하였는데 황일천 가이드님의 착하고 헌신적이며 열성적인 역할이 이번 여행을 더욱 빛나게 하였음을 부정할 수는 없다는 생각이다. 또한, 여행 내내 조금은 더웠지만 비 한방울도 없이 여행했던 것도 좋은 가이드를 만난 덕이 아닐까?? ㅎㅎㅎ
  특히, 장사공항에서 수화물 부칠 때도 우리가 별로 신경쓰지 않고 빠르게 처리해주었던 것은 우리가 유능한 가이드를 만났구나 하는 생각이 들었고 감사한 마음이다.
  장사공항에서 헤어지고 출국전에 가이드와의 통화해서 그동안 수고많았고 감사하다는 인사를 전하니 오히려 우리들 덕분에 본인이 감사하다는 얘기를 하는데... 가슴 속에 찡한 여운이 남은 채 비행기에 올랐다.
  땡큐! 황일천~~"
장가계,장가계 여행 (1):장가계 여행 끝내 주고요 장가계 여행 해결사 김승범 가이드님  적극적이고 친절한 안내 감사드려요
장가계,"활력 넘치는 오춘호가이드님과 함께한 멋진 장가계여행!!!:부부동반 모임중 남편들의 성원에 힘입어 아줌마 네명이 함께하는 두번째 해외여행지로 장가계를 다녀왔습니다.
9월4일~9일 4박6일일정으로 노랑풍선 3노옵션프리미엄상품으로 결정한건 탁월한 선택이었습니다.
3대가 덕을 쌓아야 만날수 있다는 화창한 장가계날씨!!!  우리의 여행운은 이번에도엄지척!
우리들 네명의 여행 팀웍도 짱!!!
서비스만점 센스쟁이 오춘호가이드님을 만난건 신의 한수!!!
 다리가 튼튼할때 다녀와야 한다는 장가계명성에 걸맞게 2째날은 2만8천보, 3째날은 3만2천보 강행군이었지만
목이 마를까 싶으면  시원한 생수, 망고아이스바도 사다주시고 동에 번쩍 서에 번쩍 뛰어다니면서 일정을 효율적으로 운영해주신 
오춘호가이드님 덕분에 줄서 기다리는것도 짧았고, 여유롭게 보고 ,사진도 적재적소에서 찍을수 있게 해주셨답니다.
능동적인 행사진행으로 인해 생긴 여유시간에 추천해주신 황석채!!!
다녀오지 못했다면 정말 후회막급이었을거에요. 가이드님께 감사인사 꾸벅!
 천문산,천자산,장가계,원가계,십리화랑 들도 풍광이 멋졌지만 황석채는 관광객수가 적어서 더 여유롭고 편안하게 즐길수 있어서 좋았습니다.
그리고 음식이 입에 안 맞아 고생했다는 얘긴 누가 해주신 걸까요?
현지식도 한식도 오춘호 가이드님이 선정한 식당들 모두 만족스러웠고 보이차에, 식사때 마다 맥주에, 중국전통주도 맛볼수 있게 해주셨고, 여행중간마다 과일에 월병에 취두부까지 사주셨다는~친척오빠인줄~ㅎㅎ
생각해보니 누군가 한번 이라도 입에 올린건 다 들어주신것 같네요.
마지막날 저녁식사 장소였던 서호루 얘길 빼놓으면 안될거 같아요. 호남성 제일 맛집이란 명성에 걸맛게 음식도 훌륭했지만 식당  규모와 자금성을 그대로 옮겨놓은듯한 식당 외관과 내부는 풍성한 볼거리를 자랑할만한 곳이었답니다~
공항에서도 기다리지 않게 적절한 시간에 도착하도록 한 시간 안배와 마무리까지 정성가득한 가이드를 해주신 오춘호 가이드님과의 인연에 감사하며 하시는 일마다 가시는 곳 마다 좋은일 행복한 인연 만들어가시길 응원합니다~*^^*"
장가계,"장가계 이 춘옥 가이드님 짱! 중 짱! (1):이제야 여행후기 올립니다. (9월 10~13일. 3박 4일 장가계여행)
저 나름대로 세계 여러곳을 여행했습니다.
중국도 여러번 다녀봤지만 이번처럼 좋은 가이드님을 만난건 동유럽 이후 처음인것 같습니다.
이춘옥 가이드님은  한마디로 '짱 중 짱'이더라구요
""대한민국"" 나라에 대한 애국심 짱! 미모 짱! 순간 순간 상황판단 짱! 고객들이 최상의 컨디션으로 여행을 할 수 있게 해 주었습니다.
여행객 한 사람 한 사람을 내 가족처럼 생각하며 돌봐 주었습니다
무더운 날씨에 고객의 안전과 건강을 최우선으로 생각하여 수시로 고객들에게 안전수칙을 인지시켜 모두 안전한 여행을 하도록 하였고요.
공항에서 출국시에도 끝까지 체크인 수속을 직접 챙겨 주고 출국하는 순간까지 함께 해 주셔서 너무 감사했습니다
이 춘옥 가이드님!   '짱 중 짱' 정말 수고 많으셨어요!
감사합니다!"
장가계,"볼거리 많은 풍성한 장가계 가족여행~ (1):가족여행으로 장가계 다녀왔습니다.~
정말 멋진풍경과 중국의 스케일에 다시한번 놀랬구요...
죽기전에 한번은 봐야한다는 말에 공감했습니다.~
패키지가 너무 저렴해서 걱정했지만 식사, 호텔, 등등 모두 만족하는편이였습니다.
저희 김영철 가이드님도 친절하게 설명도 잘해주시고 잘 이끌어주신거 같아요~ 감사해요~"
