country,contents
중국,"연말연시를 중국 샤먼에서.. 부부여행을 즐겁게 해준 이명호가이드님께 감사드립니다^^:2019년을 마무리하면서 한해동안 수고한 자신에게 보상차원에서 선물코자 부부여행으로 중국 하문(샤먼)을 3박4일 다녀왔습니다.
이왕이면 추위를 피하고 안가본 곳을 가보자는 생각으로 하문을 선택했고 빡빡하지 않은 일정이 무엇보다 맘에 들었습니다.
1일차 5시경 하문공항에 도착, 증조안거리에서 이명호가이드님께서 망고 한컵씩 사주시고 굴전과 문어다리도 맛보았습니다.
2일차는 고랑서 섬으로 이동하여 숙장화원, 일광암, 피아노 박물관, 호리산 포대, 남보타사, 중산로 등을 둘러보았습니다.
3일차는 자유일정인데 함께한 팀들이 각자 나름의 계획이 있어 옵션중 토루투어만 못하고 일월곡온천과 전신마사지, 민남가무쇼, 크루즈야경을 보았습니다.
호텔은 화릭스호텔에서 3박했는데 2인실임에도 불구하고 넓어 답답함이 없고 전망또한 좋았습니다.
중국은 서너번 가보았지만 매번 각종 공연 쇼는 웅장하고 볼만한 것 같습니다. 온천은 와이프가 더 만족해 했으며 전 야경도 좋았던 것 같습니다.
마지막날 가이드님께서 토루투어를 희망했는데 못보여주게 되어 죄송하다며 저녁식사 겸 술한잔 사주셨습니다.
이명호가이드님께서 따님 자랑도 하시고.. 이런 저런 얘기를 서로 나누며 여행의 편안함을 만끽할 수 있었습니다.
이번 여행은 안전하고 알찬 노랑풍선을 통해서 친절한 이명호가이드님을 만난것이 행운이었던 것 같습니다. 감사합니다.
다른 분들도 노랑풍선의 ""여행을 가볍게"" 처럼... Don't worry, Let's go anywhere !! (걱정하지 말고 어디든 떠나시길.. 여행은 계획이 아닌 실행입니다!)"
중국,"힐링하고 온 중국 계림여행의 동반자~ 김동욱가이드님 쵝오 ~~!!!:오우~케이~ 넘나 감사한 중국 계림여행 이었습니다~

가이드 김동욱님의 웃는 모습이 오늘도 선하게 보이는듯 합니다.
갑자기 훌쩍 떠나자 하고 시작된 여행이었죠,, 생각지 않은 저렴한 패키지로 가깝게 ...  훌쩍
생각과 기대 외로 넘나 즐거운 시간들 이었기에 여행기를 쓰지 않을 수가 없었다. ㅎㅎㅎ


1)여행사 : 가성비 최고이며 여행일정, 숙소, 음식까지 고객만족 상품을 제시한 노랑풍선
              저렴한 가격에 최고의 여행이라 할 수밖에요

2)가이드 : 친절함, 세심함, 유머러스함, 똑똑함, 책임감 그리고 상냥한 미소띤 얼굴에 쉬지않고 설명하는 모습등 ... 가이드로서 모든 자질을 갖춘 미남 김동욱
             마지막날 공항에서 선물도 주시고 끝까지 손흔들어 주시며 여행의 끝을 마무리 하고 ...........

3)여행자 : 열린 마음과 초긍정적인 마인드로 함께한 열여섯명의 어르신 들... ㅋㅋ

             쇼핑도 즐거웠고, 여행도 즐거웠고, 이렇게 모두가 꿍짝짝 세박자 덕분에 완벽하고 행복한 여행이 되었다.
  노랑풍선 또 뵐께요 ~~~~ ^^*   

- 중국계림여행2019년 12월 15일~20일 -"
중국,"중국 만리장성 만큼 안 좋은 추억 (1):2019.8.14.~8.17.
5대 특식 여행
처음으로 가족과 함께 해외여행이라 사소한 것은 참고 넘어갔지만
현지 가이드(최0남)의 불성실한 안내 및 음식 장소로 기분이 나쁨.
여행사 안내로는 추가옵션 포함하면 $150 정도 더 든다고 해서 가져 갔더니
현지 가이드의 강압(?)으로 $250 이 더 듬.
1. 인력거 안 타고 근처 맛 집 구경 할려고 했더니 타야 된다고 해서 마지 못해 탐.($20)
2. 금명왕조 앞 자석으로 해준다며 추가 옵션 강요.($50 + $20)
3. 만리장성 팔달령 케이블카 탄다고 해놓고는 갑자기 모노레일로 일정 변경하였으며,
   티켓 발권도 안하고 기다리게 했으며, 입구에서 티켓이 없어서 약 40여분 기다려야 했음.($40)
4. 일정상 있던 식사는 본인 기분에 따라 아예 다른 음식으로 대체하였음.
    - 북경식 오리구이는 다른 집으로 변경. 일인당 오리구이 2~3점 먹으면 될 정도였음. 오리가 맞는지 모르겠음.
    - 사천식 요리는 아예 구경도 못함.
    - 송이버섯탕은 어디 갔는지 모름.
암튼 기분 나쁜 여행이었음.
 "
중국,"중국 대륙의 중심으로 떠나라 ~~ (2):중국 고대국가의 발생지인 서안은 수도를 북경으로 천도한 후 역사속에서 살아 숨쉬다가 농부에 의해 병마용이 발견된 이후 그 역사적 가치가 중요한 지역으로 자리하기에 충분한 지역이다. 이번 여행의 컨셉을 고대 중국의 중심으로 떠나는 마음으로 예약하고 직장 동료들 4명이 3박4일 일정으로 올 초부터 계획하여 6월에 예약하여 8월에 다녀왔다. 중국의 여행도시로 북경, 상해, 장가계 등 많은 도시가 있겠지만 고대 중국의 진 명목을 충분히 느끼고 싶다면 이 여행상품을 추천하고 싶다. 서안 상품중 화산을 가지 않는 상품도 있지만 우리가 선택한 상품은 화산을 다녀 올 수 있는 상품으로 선택하였고, 추가 옵션을 선택하여 서봉을 다녀 왔는데 다녀 오지 많은 사람은 중국의 기개와 발전상을 말할 수 었을 것 같다. 진정한 중국의 과거 모습을 느껴보 고 싶다면 서안과 화산을 다녀 오면 좋을 것 같고, 건강상 큰 무리가 없다면 화산도 곤돌라를 이용하여 정상 부근까지 갔다 올 수 있으니 너무 걱정하지 않아도 좋을 듯 싶다. 우리를 안내해주 신 김* 가이드님은 조선족 출신으로 중국의 여러 도시에서 가이드를 하신 경험이 있으시고, 특유의 유머로 같이 동행한 분들을 편안하게 안내해 주셔서 이 자리를 빌러 다시 한번 감사의 말씀을 드립니다. 지인에게 줄 선물은 면세점도 좋지만 현지 농산물을 여러개 구입하여 마음을 표시하게 좋았다. 이번에 노랑풍선 여행상품을 알게 되어 좋은 지인들과 같이 여행하게 되어 좋았고 다음에 기회가 된다면 더 좋은 여행상품으로 만나길 기대하면서.... "
중국,"중국 북경여행은 최송길 가이드님과 함께 하세요. (1):별다른 기대없이 떠난 중국 북경여행..
백문이 불여일견이라는 말이 실감날 정도로 뉴스에서 접한 중국과 내 눈으로 직접 본 중국은 달랐다.
너무도 아름다운 자금성,견고함을 자랑하는 만리장성,수묵화 속 자연에 머무르다 온 것 같은 용경협과
어마어마한 물을 쏟아내며 쇼의 진가를 보여준 금면왕조.
모든 것이 대단한 대륙의 스케일을 그대로 보여줌에 놀라지 않을 수 없었다.
모든 일정에 함께한 최송길 가이드님은 문화재해설사 보다 더한 지식으로 열과 성을 다해 설명 해 주셔서
3박4일이 빠르게 지나가 버렸다.
모든 일정이 좋았고 최송길 가이드님 정말 짱이었다.중국 북경 정말 강추한다."
중국,중국-장가계 여행 (1):오랜만에 중국여행을 패키지로 선택했는데 안영욱가이드님 덕분에 40도 가까운 무더위가 무색하리라 만큼 즐겁고 행복한 여행이었습니다. 일년 중 300일이 비가 온다는 장가계에서 비 한번 맞지 않고 여행 내내 장관의 풍관을 구경할 수 있었던 건 함께 여행 했던 9분과 안영욱가이드님 덕분이었던 것 같습니다. 더운 날씨에 줄을 서서 기다리는 것이 힘들까봐 우리를 안전하게 기다리게 해 놓고 매표소로 땀을 흘려가면서 뛰는 모습은 보기에도 안스러웠습니다. 또한 팀원 중에 걷기 힘든 분의 안전과 건강을 챙겨주시는 세심한 덕분에 아무 탈 없이 잘 보고 잘 먹고 편한 여행이 되었습니다. 특히 우리들이 힘들어 할 때 적재적소에서 아이스크림을 제공하여 힘을 북돋워주기도 했습니다. 장가계에 대한 해박한 지식으로 여행자들의 궁금점도 늘 친절히 자세히 설명해주셔서 장가계에 대해 더 많이 알게 된 여행이었습니다. 다시 장가계를 여행하게 된다면 꼭 안영욱가이드와 함께 하고 싶습니다. 다시 한번 감사드립니다.
중국,"중국 장가계 김명남 가이드님께 감사를 드립니다. (1):이번 중국 장가계 여행에서 가장 인상깊었던 것은 풍경도 풍경이지만
겸손하게 잘 섬기고, 끝까지 최선을 다하는 김명남가이드님께 감사를 드리고 싶습니다.
더운 날씨에 여행팀을 잘 인솔하고 같이 땀을 흘리며 끝까지 모든 코스를 같이 완주하고
해박한 지식과 문화에 대한 설명과 부담주지 않고 섬기는 모습에
마음이 즐겁고 행복했습니다.
여행을 하다보면 부담과 불친절한 가이드때문에 여행의 기분을 상할때가 있는데
이번 김명남 가이드님은 모든 부분에서 별 다섯개를 주고 싶은 좋은 분이었습니다.
다시 한번 감사를 드립니다."
중국,"중국 청도 김화란 가이드님~ 즐거운 여행이었습니다.:가까운 청도로 여행을 다녀왔습니다.
패키지를 이용하면서 많은 가이드분을 만나지만
청도 김화란님 처럼
밝고 친절한분은 처음이었습니다.
  덕분에 즐겁고 행복한 여행을 보내고 무사히 일상으로 돌아왔습니다.
김화란 가이드님~~  행복하세요^^"
중국,"직원 후기 2019.05.24~05.28 중국 북경/내몽고 출장 후기:*지역: 중국(북경/내몽고)
*일정: 북경-적봉-치하얼목장-옥룡사호-북경 (4박5일)
*항공: 아시아나항공(OZ) 313-314편
  <1일차 5월 24일(금요일)>
  06시 김해공항미팅
08:30분 김해공항출발->09:55분 북경공항도착
    도착 후 짐찾고 공항나오니 12시 가이드 미팅진행하여,  차럅탑승 후  20분정도 버스이동 후 현지식 식당도착
1시간정도 식사 후
    2시간정도 승덕으로 이동하여 피서산장도착
청나라의 황제가 여름에 피서 왔다고 하며, 자금성의 8배 넓다고 한다.
피서산장안에는 열하일기의 제목인 '열하'도 있으며, 추가비용를 지불하게 되면 뱃놀이와, 카트탑승으로 관광진행이 가능하다.
  적봉으로 3시간정도 이동 중간에 휴게소 1곳 방문
도착 후 석식(양고기 샤브샤브)
식당이 적봉 시내에 있다보니 깔끔하고 샤브샤브도 1인 1개씩 개별 그릇으로 식사하며, 양고기도 전혀 거부감이 없었다.
  석식 후 성존국제호텔(4성급)로 이동 약40-50분소요
호텔앞에는 밤늦게까지 운영하는 편의점이 있다. 
  <2일차 5월 25일(토요일)>
  아침조식 후 7시 30분 호텔에서 청산으로 출발  (청산 이동 약 2시간30분소요)
    청산 도착 후  도보(평지) 관광1시간진행 후 5분정도 버스탑승하여 리프트탑승장으로 이동한다.
리프트 탑승하기 위해서는 10분정도 등산해야되며,  리프트 탑승하면은 약10-15분정도 소요된다.
낮에는 한여름 처럼 덥지만 올라가는 중에는 시원한 바람이 계속 불어 덥다는 느낌은 못받는다.
리프트 도착 후 계단이 높은 돌산을 10분정도 걸어야 청산의 제일높은 정상에 도착한다.
손님들은 청산 정상의 평지에서 전동카 탑승을 선탠관광 3만원으로 진행된다고 한다.
    청산 하산 후 경봉으로 1시간 버스이동 후 중식 
    중식 후 치하얼 목장으로 이동(2시간소요)
치하얼 목장으로 이동하는 중에는 양쪽모두 초원이며, 소와 양과 말이 곳곳에서 풀을 뜯어 먹고있다.
  초원에 도착 하니 날씨는 초겨울 정도의 날씨였다.
치하얼 목장에 방문하게되면 몽고의 전통 우유를 접대하며, 몽고씨름체험, 전통복장체험, 마상쇼관람 등 여러가지 체험이 진행된다.
여기서는 선택관광으로 초원지프차 진행이 되며, 지프차를 타고 왕복 1시간정도의 코스를 진행한다.
초원 제일 높은 등선에 도착하면은 개별적으로 사진찍는 시간을 주며, 끝도 없는 초원을 한눈에 볼 수 있다.
6~8월쯤에는 조금 더 초록색 초원을 볼 수 있다고 한다.
  게르로 이동(2시간30분-3시간 정도 버스이동)
게르에 도착하여 버스에서 내리자마자 전통주를 한잔씩 따라주는데 모두마셔야 된다고한다.
방배정이 완료되면 저녁7시30분 부터 게르의 양 바베큐파티가 진행되며, 무대에서 진행하는 공연를 보면서 식사를 한다.
식사중에도 전통주를 한명한명 모두 따라준다.  식사 시간이 모두 마무리되면 밖에서 캠프파이어가 진행되며, 불이 꺼질때 까지 계속진행된다.
    <3일차 5월 26일(일요일)>
비가와서 게르의 공기는 차가웠지만 이불이 생각보다 너무 두꺼워서 추운지 모르고 숙면을 했다.
게르안에는 화장실이 개별적으로 있으며, 샤워도 가능하고 수건과 세면도구 모두 준비되어있다.
  조식 후  린시로 지역으로 이동(2시간이동)
린시도착 후 중식 식사 진행 되며, 내몽고쪽의 특색을 살린 삼겹살식으로 진행 된다.
  중식 후 옥룡사호로 이동 (3시간정도 소요)
옥룡사호는 사막 한 가운데 펼쳐져 있는 사막이며, 중국의 AAAA급 관광지의 사막이다. 사막안에는 초원과 큰 호수가 있다.
옥룡사호에서는 짚차체험과 낙타체험 또는 꼬마열차 체험이 진행되지만 비가 오는날에는 꼬마열차체험과 낙타체험은 불가능하다.
짚차체험같은경우는 임산부,노약자 분들은 진행이 불가능하며, 왕복 15분정도 진행된다.  
제일 높은 사구에 올라가게되면, 개인적으로 사진찍을 시간이 주어진다.
  옥룡사호 사막 입구에는 용곡레이크홀리데이(5성급) 호텔이 있다. 호텔에서 운영하는컨테이너박스 같은 룸에서 숙박을 하는 일정이며,
룸에는 테라스가있으며, 베드에 누워도 큰 호수와 사구가 한눈에 보인다.
호텔본관과 개별룸이 모두 떨어져있으며, 석식이나 조식을 먹기 위해서는 꼬마기차를 탑승해야된다.
또한 호텔에서 진행하는 노천사막온천이 있으며, 사막에서 온천수가 올라온다고 한다.
수영복+수영모 모두 지참하여야 입장이가능하며, 만약 준비가 어렵다고 하면은 인포메이션 옆에 작은 수영복 판매장이 있다보니 바로 구입가능하다.
수영복은 대략적인금액은 중국돈 99위안~150위안이면은 구매 가능하다.
  [옥룡사호 온천사진]
  석식은 호텔 본관2층 식당에서 진행된다.
날씨좋으면 석식 후 호텔옥상 천문대에서 별 관측이 가능하다. 
  <4일차 5월 27일(월요일)>
  호텔 조식 후  적봉시박물관으로 이동(2시간소요)
  적봉시 박물관은 역사문화와 유물 등을 전시하고 있으며, 박물관 옆건문에는 적봉시 도서관을 운영하고 있다.
박물관을 월요일에 모두 휴관이며, 입구까지만 입장이 가능하다.
  적봉에서 북경 금산령으로 이동중 간단한 식사 진행
  중식 후 북경 금산령으로 이동(이동시간 3-4시간 소요)
기존 만리장선 관광지인 거용관 // 팔달령은 사람이 너무많아 관광이 힘들지만, 금산령 같은 경우는 사람이 전혀 없어서 여유로운 관광이 가능하다.
케이블카를 탑승하지만 느린관계로 편도 20분정도 탑승하며, 두명씩 탑승한다. 손님들은 금산령에서 여유롭게 2시간정도 자유시간이 주어지며,
금산령입구 쪽에 간단한 기념품샵 커피숍이 있어 여유롭게 진행이 가능하다.
  북경 시내로 이동하여, 북한식당 옥류관 석식진행된다.
북경시내 차가 많이막히며, 금산령에서 북경시내까지 이동시간은 2-3시간정도 소요된다.
옥류관같은경우는 7시까지 입장해야 되며, 석식을 먹으면서 북한사람들의 무대를보면서 식사가진행된다.
평일방문에 방문했으나, 만석이였으며, 대부분은 한국 관광객이들이 전부였다.
  석식 후 금조 옥마국제 호텔(4성급) 호텔로이동(1시간 소요)
여태 숙박했던 호텔과 비교했을때 오래된건물이긴 하나 룸과 욕실모두 넓었다. 
  <5일차 5월 28일(화요일)>
아침 조식 식사
  북경시내 798예술거리로 이동(1시간~1시간30소요)
798예술거리에서 1시간에서 1시간30분정도 자유시간을 주며 북경의 시내관광느낌을 느낄 수 있는 곳이였다.
거리 곳곳마다 기념품가게와 조형물들이 있으며, 커피숍과 브런치 가게들이 많이 보였다.
  거리관광 마무리 후 30분정도 버스이동하여,
북경에서의 마지막 점심식사인 삼겹살무제한식사 진행된다.
  식사 진행 후 약1시간정도 버스이동 하여 공항으로 이동하여 4박5일 팸투어 일정이 마무리가된다.
  4박5일동안 하루에 버스이동시간이 매일 7-8시간정도 되다보니, 이동이 너무 지루하고 힘든부분도 있었지만,
내몽고의 초원과 사막을 눈으로 보고 체험하는 순간 이동시간의 힘든 과정을 모두 잊게 되는 것 같다.
그리고 이번 팸투어로 고객님들에게 무엇이 필요하고 어떤것을 선택관광으로 진행했을 때 호응도가 좋을지 직접 느끼고 온 부분이다.
6월부터 시작되는 내몽고 성수기에 맞서서 일정에서 부족했던 부분을 조금 더 보강하여, 상품을 주력하여 판매를 진행할 예정이다."
중국,"베이징을 보고 중국을 다시 보게 되다. (1):저는 이번 5월 22일부터 3박 4일동안 가족들과 함께 베이징을 다녀왔습니다.
베이징은 휴양지가 아닌 문화관광지여서 걷는 코스가 많았지만, 가족들 모두
무난하게 다녔던 것 같습니다.
특히 최재원 가이드님의 중국 문화 해설을 들으면서 다니다보면 어느새 모든 일정이
마쳐져 있었습니다.
여행후기를 읽다보면 음식이 안 맞는다고 불평이 많지;만, 다른 나라가서하는 맛집여행도 아닌지라
저희는 그럭저럭 아이들도 먹을 만하다고 했습니다. 
어찌됐든 우리 가족은 이번 중국여행을 통해서 지금까지 말로만 듣던 만리장성, 자금성 등과 여러가지 쇼를 
보면서 즐거운 여행이 되었습니다.
참고로 호텔도 꽤 넓고 깨끗했습니다.
 "
