country,contents
터키,"터키를 가슴에 담고 여행후기(8박9일) 상편:터키에서의 8박9일의 일정을 끝내고 돌아왔다. 하루반정도가 지난 아침이다.

10여일의 공백속에서 오랫동안 운전했던 차도 약간 어색한 느낌이 들었고, 늦은밤에도 잠이 아직은 안오고 이 글을 쓰는 아침시간에도 약간의 피곤함이 몰려온다.



여행이란 이런것일까... 아침에 출근하면서 새삼느껴보게 된다. 마음속에 담아 가지고 온것들이 나를 다시금 똑같은 일상속에 빠져드는 것을 허락하지 않는듯 하다. 그렇다. 난 조금은 달라진 것이다.



모닝커피를 한잔하면서 잠시나마 터키이야기를 나누어 보고 싶다.

1편은 글로써 소감을 적고, 2편은 사진영상으로 터키를 담고자 한다.





나이32살에 결혼하고 아이있는 아빠이며, 주말부부 생활을 하고 있다. 이번 여행은 친구, 후배와 같이 간 여행이다.

일반적으로 와이프를 두고 친구와 여행을 간다는 것이 나의 현주소로 봤을때 불가능에 가깝다. 그러나, 나만의 함수관계 공식은 결론적으로 여행을 갈 수 있는 결과로 나왔다. 혼자만 가는 것이 마냥 즐겁지만은 않았지만,와이프의 배려에 대해서 먼저 서두에 감사의 말을 전하고 싶다..



11시간의 부화과정을 통해서 이스탄불에서 깨어났다. 물론 마음속에 터키를 품은것은 4달전부터이다.



내 머리속에서 이스탄불은 제국의 수도, 동서양 문화교류의 중심지가 아니다. 단지 어릴적 가지고 놀던 블루마블이라는 게임속의 노란색 싼도시라는 기억이 먼저 스치고 지나간다. 하지만, 이름속에서 느껴지는 이국적인 신비한 매력은 나에게 있어서는 가장 높은 것 같다.



약간 싸늘한 아침공기를 마시면서 술탄아흐메드 사원으로 향하는 차안...

이스탄불이라는 도시의 거대함을 느끼기에 충분했다. 수많은 붉은색 지붕집들로 끝없이 가득차 있고, 보스보러스 해협이 유럽과 아시아를 가르고 있다. 터키에는 어느 도시에서나 거대한 모스크가 버티고 있다.



오벨리스크-술탄아흐메드사원-지하물저장고-톱카프궁전-그랜드바자로 이어진다. 오스만제국의 역사를 한눈에 볼 수 있다. 2005년의 10월은 라마단 기간이라서 차도르를 한 여자들을 자주 볼 수 있다. 나에겐 생소한 모습이지만, 종교적 신념을 지켜나가는 그들에게는 익숙한 일이다.



어찌보면 터키은 종교에 대한 관심을 가지지 않을 수 없는 여행인것 같다. 개인적으로는 종교가 없지만, 종교의 가치에 대해서는 높이 평가하고 있다. 99%정도가 이슬람을 종교로 가지고 있는 나라가 터키이다. EU가입을 준비하고 있는 터키의 존재는 EU가입국들의 고민거리이기도 하다. 경제로 뭉칠 것인가, 종교적(이슬람), 역사적 반목(오스만제국)의 경험으로 배제시킬것인가 하는 문제일 것이다. 그러나, EU라는 가치는 결국 지난 수세기동안 그들끼리의 전쟁등을 통해서 느낀것들을 반성하고, 이제는 공동의 번영을 위해서 노력해보고자 하는 유럽인들의 의지라고 할 것이다. 해답은 역시 역사적 경험속에서 찾아야 할 것이다.



앙카라는 터키의 수도이면서 무스타파 케말 아타튀르크의 영묘가 있다. 터키국민들이 지켜나가고 있는 국부 케말의 가치가 바로 터키라고 할 수 있을 정도이다. 1차 세계전쟁으로 오스만제국의 몰락과 함께 자칫 그리스에게 빼앗길뻔한 일부 영토를 회복하고 지금의 터키공화국을 세운 사람이 바로 뮤스타파 케말이기 때문이다. 그리고 무엇보다도 가장 큰 업적은 6가지 원칙중에서 문자개혁, 개혁주의노선과 세속주의에 따른 정교분리 원칙일 것이다. 정교합일이 원칙인 이슬람에서 이것을 깨뜨린 터키는 칼리프의(이슬람 최고지도자) 위상을 버리고, 반대를 진압하고 세속주의를 택하면서 이슬람사회에 충격을 불러왔으며, 오늘날 서구사회를 지향하는 사회가 되어가고 있다. 혼란의 시기 독재자이기도 한 그였기 때문에 가능했을 것이며 이에 대해서 터키국민들은 그를 아타튀르크(국부)라는 칭호로 부르고 있다.



10월은 터키도 가을인지라 카파도키아에도 가을 단풍이 들었다. 기암괴석의 신비함과 함께 가을단풍의 정취는 묘한 매력을 느끼기에 충분한 것 같다. 2박을 여기서 하므로 느긋하게 짐을 풀었다. 밤구경하기에는 아직은 약간 어색하기도 하고, 약간은 싸늘한 날씨다.



3-4일째인데 잘 지내던 친구가 탈이 났는지 밤새도록 아팟다. 다음날 닥터피쉬는 못가게 되었다. 그래도 좀 회복된 시점에 우리끼리 숙소가 있는 마을인 윌깁을 배회했다. 거리의 학생들이 우리를 신기하게 본다.. 외국여행에서 느끼는 자신이 구경꺼리가 된 느낌이 색다르다. one day tour라도 계획해 보자고 해서 근처 여행사에 들어가서 손발짓과 서투른 영어로 3-40분 정도의 상의 끝에 Tour B 코스를 선택해서 가게 되었다. 어제도 갔던 데린구유(지하도시)및 가보지 못했던 이흐하라 계곡에도 가게 되었다. 이흐하라 계곡의 단풍든 절경과 시냇물소리 그리고, 이곳에서 어김없이 볼 수 있는 탄압받던 기독교인들의 생활터인 석굴과 그 안의 교회벽화, 비둘기집들을 볼 수 있었다. 다시금 종교의 가치를 마음속에서 지켜나가기 위해서 이런 구도의 과정을 걸었을 교인들의 고난행군이 감동적이기 까지 하다. 만약 이들이 종교적 신념을 끊었다면 지금의 기독교가 있었을까 하는 생각이 든다. 이때는 그들이 이교도이였으니까... 지금은 어떤가 이교도가 주된세력이 된 지금은 종교부분에 있어서 역사의 아이러니를 다시금 느끼게 해준다. 어떤 종교든 처음 시작은 언제나 이단이다. 사람들속에서 나온게 종교이다. 비종교인이지만, 어느정도의 상대에 대한 인정과 포용이 필요하지 않을까 한다.



카파도키아에서 안탈랴로 가는 길은 정말 감동적이다. 가을과 겨울 그리고 여름을 한꺼번에 볼 수가 있다. 단풍이 물든 산과 한가롭게 양을 치는 목동과 양떼무리, 정말 광활한 벌판들..... 그리고 눈덮인 산을 보게 된다. 아침에 출발해서 오후늦게 되어서 안턀랴에 도착했다.. 이곳은 지중해다... 깊고 푸른빛깔의 바다는 너무나 매혹적이며, 지중해성 기후는 왜 여기가 유럽인들에게 최고의 휴양지가 될 수 있는가를 말해준다. 사실 바다와 하늘색깔로만 따지면, 우리나라의 홍도가 훨씬 앞선다는 생각이다.



이제부터 마지막날 이스탄불까지는 고대 문명들의 유적지로 이어진다. 리디아문명, 히에라폴리스, 파물깔레온천, 아르테미스신전, 에페소, 트로이로 이어진다. 터키여행의 최고의 볼거중에 하나일 것이다. 유적지의 크고 적음에 실망하기 보다는 고대역사현장을 자기 눈으로 직접보는것 자체가 의미가 있는 것 같다. 몇천년의 시간은 바다를 육지로, 화려한 문명은 땅속으로 들어가게 만들어 놓았다. 깨어진 동상과 무너진 돌기둥들... 역사책에서나 볼 수 있는 문명들....(이번 장기버스여행에서 벌써 2권의 책을 완독하고, 두꺼운 역사책 1/4을 읽었다.) 시간이 넉넉하지 않아서 한동안 음미하면서 앉아 있지는 못했지만, 즉석에서 만들어주는 시원한 오렌지쥬스 한잔을 마시면서 나의 아들이 크면 꼭 데려와서 역사공부를 직접 가르쳐줘야지 하는 생각이 들었다.



여행의 후반부로 접어들면서 그동안 혼자 중얼거리면서 열심히 따라해봤던 터키어도 조금은 말이 떨어지게 되었다. 여러번해도 터키인 앞에서 잘 안되던 테쉐퀴르 에데림..(감사합니다) 시간 날때마다 버스에서 외워두었던 말들을 직접 현지 가이드가 옆에 있을 때면 한번씩 말을 했다. 상황에 맞는 말로 최대한 마치 터키사람인것 처럼 할려고 했는데.. 예를 들면 술먹은 다음날 피곤해서 버스를 탈때면 현지 가이드에게 부귄 촉 요르군움(오늘 좀 피곤하군요..) 라고도 하고.. 더운 에페소유적지에 생뚱맞게 두꺼운 옷입고 땀낼적에는 촉 스작, 스작(덥다)을 말하기도 했다. 사진이 취미라 사진을 많이 찍었으므로 당신의 사진을 찍겠어도 되겠습니까(포토흐라피니즈 체케빌리르 미이 임?) 이라든지.. 저희들 사진 좀 찍어주실수 있나요?( 포토흐라프므즈 체키빌리르 미시니즈?)는 30-40번은 외우고 잊어버린 후에야 지금까지 외우고 있다. 우랄 알타이계 언어라 표현방법이 우리나라와 비슷한게 특징이다. 이제는 아침에 귀나이든, 낮에 메르하바가 익숙하기만하다..



이스탄불의 마지막날에 그동안 먹었던 케밥말고, 못먹어봤던 케밥을 찾아서 먹느라 5끼 이상의 음식을 먹었다.. ^^* 맛은 정말 좋았다~!, 딜리셔스~, 촉! 귀젤!



석양을 등지며 이스탄불을 가로지는 크루즈를 타면서 상념에도 빠져본다.

내가 지금 있는 곳은 터키이다. 고대역사에서 같은 민족으로 출발했을 가능성이 높은 형제의 나라.. 우린 남하해서 정착한 농경문화로 중국의 직접적인 영향을 받았지만, 터키의 투르크족은 중국과 늘 경쟁하면서 우리에게는 늘 안좋은 말로 불리우던 유목국가 흉노와 돌궐의 나라이며 서쪽으로 이동하면서 다른민족과 융합되면서 모습은 약간 서구적으로 변화되었지만, 늘 서쪽끝으로 서유럽국가들과 경쟁하면서 서유럽에서도 훈족, 셀주크투르크, 오스만투르크등으로 성장하여 공포와 경쟁의 대상이 되었던 나라가 터키의 현주소이다. 중국과 서유럽의 역사에서 늘 강력한 힘으로 압박당하다 보니 터키의 역사는 축소왜곡, 견제의 대상이여서 아마 어릴때 학교에서 중요하게 다룬적이 없었던 나라가 바로 터키일 것이다. 그래서 터키에 있다는 것, 그 자체로 왠지 가슴이 뛰는 기분이 들기도하고, 정말 반가운 느낌이 들었던 것은 아닌지.. 되돌아 보게 된다. 고대역사의 북소리는 들을 수가 없지만, 우리의 심장과 핏속에 작은 울림으로 살아 있을지도 모르겠다.



활기찬 사람들로 가득찬 이스탄불 중심의 밤거리를 뒤로한고 비행기에 올랐다..

많이 아쉬었지만, 다시 꼭 오고 싶은 나라가 터키다....



ps1)

이번 터키여행에서 수고해주신 가이드 윤태권님, 현지가이드 쥐베이데, 운전사 알리, 그리고 노란풍선 인솔자 문현정님에게 깊은 감사를 드립니다.



ps2)

여행후기 다음편에는 말로만 적었던 여행의 실상을 사진영상으로 만들어봤습니다.



ps3)

40세 이하 비교적 젊은 사람들끼리 맥주 한잔 할 수 있어서 고마웠습니다. 아줌마들하고도 재밋게 지내고, 물건값도 잘 깍아주셔서 너무 감사했습니다. 늘 배우는 자세로 열심히 살겠습니다.



-사진영상편을 기대해주세요-"
터키,"터키를 가슴에 담고 여행후기(8박9일) 하편:전체화면으로 보시면 좋습니다.



이번여행에서 1500여장 정도를 찍었는데

그중에서 여행의 느낌을 살릴 수 있는 사진들로 150여장 추려서 편집해봤습니다.

이쁘게 봐주세요 ^^*





위에 영상주소가 초과될경우에 아랫주소를 복사해서 주소창에 넣어서 클릭해주세요



http://waw21.cafe24.com/file/TC2005.wmv"
터키,"이스탄불 로맨스.... 터키9일(10.16-10.24):-이스탄불 로맨스와 낚시꾼의 여유-



매력적인 도시 이스탄불에서의 마지막날.."
터키,트로이와 몇개지역 터키9일(10.16-10.24):아시아 대륙에서 유럽으로 건너와서 여유있는 식사를 기다리며
터키,"지중해 안턀랴에서.. 터키9일(10.16-10.24):안턀야에서 하룻밤 자고 아침일찍 일어나서 지중해의 일출을 찍었습니다.

태양을 낚으려는 낚시꾼이 저한테 걸렸습니다."
터키,"파묵깔레 온천지역... 터키9일(10.16-10.24):세계에 단 하나 밖에 없는 석회용암지대의 온천

물부족 때문에 약간은 초라해 보인다 ^^;"
터키,"터키의 춤과 사람들.. 터키9일(10.16-10.24):지하동굴 밖에서 인형팔던 할머니..

인형 몇개 파시고 얼마나 좋아하시던지... 갈때도 손흔들던 할머니"
터키,"카라반들의 쉼터(실크로드), 앙카라 터키9일(10.16-10.24):카라반들(대상들)의 쉼터이다.이런것들이 40KM 마다 하나씩 있었다고 한다."
터키,이스탄불의 블루모스크... 터키9일(10.16-10.24):블루모스크!! 웅장함 그자체 ^^*
터키,"이스탄불에서 블루모스크주변 관광.. 터키9일(10.16-10.24):지하물저장고에 있는 메두사의 머리

아름다웠던 그녀의 지금 모습은 가슴이 아프다.."
