country,contents
호치민,"베트남 호치민 여행후기:이번 베트남 호치민 여행을 처음으로 노랑풍선으로 다녀 왔는데 참으로 만족스러웠습니다.
가이드 정해주씨는 사랑스런 말투와 행동으로 우리를 편하게 해주었고 베트남의 역사와문화에대한 설명도 잘 해주고
현지가이드 미씨도 사랑스럽고 귀여웠으며 써포트를 잘  해주었습니다.
프로그램 자체가 넘 좋고 사막에서의 짚차투어 사륜구동은 하이라이트로 액티비티해서 역동적이었으며,
미토투어 역시 베트남의 정취를 느낄 수 있었고, 발마사지는 얼마나 쉬원하게 잘 하는지 피로가 다풀렸으며
친구 11명만 여행 했는데 모두 즐겁게 무탈하게 다녀와서 기쁘고, 모든 스트레스를 날려 보냈습니다.
많은 여행을 다녀왔지만 이번여행은 더  즐거웠고 호사를 누리는것같아 이글을 남깁니다."
호치민,"김호근과장님- 호치민*붕타우5일 잊지못할여행 가이드해 주셔서 감사합니다.:추석연휴맞아 호치민 과 붕타우 5일 여행 너무나 행복했습니다.
알뜰살뜰 살펴주신 가이드님 김호근 과장님께 감사드리며 칭찬합니다.
쪽배를 타고 유니콘섬으로 가는 길은  TV에 나오는 그장면이었고
내가 주인공이 되어
가는 길에 열대과일먹고 유니콘섬에 도착하여 세상에서 처음먹어보는
생선보쌈 말로표현 안되는 맛이었습니다.  
붕타우 해변 카페에서 세상에서 제일 맛있는 리얼 천연과일스무디
사람을 행복하게 하는 맛입니다.
화려한호텔식과 진짜 전통 쌀국수 잊지못할 맛입니다.
호치민 라마나호텔과 붕타우 로얄호텔은 선교사인 우리들의
숙소로 과분한 대접이었습니다.
그중에서 와아~~~  천개의 계단을 올라서 예수님의 상까지 올라갔다왔으니
2,000개의계단을 갔다올수있도록 비맞을까 우비챙겨 단숨에 뛰어 올라 오셨던
가이드님의 친절함에 가슴뭉클해집니다.
나의주변에 지인들에게 강력 추천하는 여행지이기도하고 또다시
가보고 싶은곳 이기도합니다. 김호근 과장님의 수고하심에 진심으로 감사드리며
더운곳에서 건강에 유의하시기를 기도드립니다.  
정말 수고 많으셨습니다. 감사합니다. "
호치민,"배트남 호치민/붕타우를 다녀와서~:귀사의 무궁한 발전을 기원합니다...
    우리와는 깊은 인연이 있는 베트남! 월남전 참전으로 우리나라의 근대화와 깊은 관련이 있고, 지금은 우리와 사돈의 나라라고 하는 베트남을
꼭 여행을 하고 싶었다. 특히, 사이공으로 알려졌던 월남의 수도! 사이공은 지금은 호치민으로 바뀌었지만 꼭 한번 가보고 싶었던 곳이다.
붕타우에서의 숙소 해변가 앞에 위치했으며, 한국분이 운영한 숙소여서 식사도 너무 좋았고, 편했습니다.
  특히, 가이드가 너무 친절하고 좋았으며, 구찌에서의 관광을 통해 월남전의 비참함을 몸소 체험할 수 있었던 것도 참 좋았다.
                                                                                                                                                                2016. 12. 30 김성열"
호치민,"3/16일 베트남 3일째 ...호치민 공원:  14년 3월 16일 3일째 날 ...
  그 유명한 호치민 공원을 찾아....일주사라는 곳도 구경하고...
시내 오토바이로 유명한 곳도  뚝뚝이를 타고 구경했는데요.
와~ ~ 차보다 오토바이가 엄청 많고 ,,,빵빵거리고...대단합니다.
  저희 아버지도 연세가 많으신데 힘들지 않게 잘 다녀 오셨다고 좋아 하셔요.
항공도 편했고...구경도 좋았고 ...가이드님도 잘해 주셔서...식사도 잘 하셨구요..
  호치민 공원입니다...
호치민이 살았다는 집입니다.
  호치민 생가 입니다....위의 노란 건물에서 살다가 ...이곳으로 오셔서 사셨답니다.
저희 아버지도 구경 하고 계십니다.
  일주사 입니다....왼쪽으로 돌고...오른쪽으로 돌고..
어느쪽으로 도느냐에 따라 아들 딸 낳아 달라고 비는 곳이랍니다.
    ㅇ현지 가이드님과 김창완 가이드님과 기념 촬영을 했습니다.
가이드님 잘 만나 ,,,편안하고..재미나게 여행 잘 했어요.
아버지 한테도 잘 해 주셔서 대단히 감사했습니다.
   나무가 위가 뿌리 같죠....아니에요 바로 서 있어요.
      베트남 시내는온통 오토바이 세상입니다...엄청 나네요..
  모든 여행을 마치고 전통음식이 가득한 셴레스토랑에서 저녁을  먹었습니다...가지수가 엄청나요.
밖에서는 음악회도 열리고요.
    아버지 모시고 형제들과  구경 잘하고 왔습니다.
김창완부장 가이드님께도 감사 드리구요
노랑 풍선 여행사에도 감사 드립니다...
이번에 정말 잘해 주셔서 노랑풍선에 여행을 자주 나가려 합니다..
더 많고 좋은 여행이 될수 있게...만드시고......번창하시길 기원 합니다...
     "
호치민,"호치민의 매력에 푹 빠지다!:베트남 여행중에서 호치민에서 가장 시간을 많이 보낸것같아요


호치민의 매력에 푹빠져 예상 보다 오래머문탓에 ㅋㅋ 베트남 출국 날짜를 연장시키고 싶을 정도였습니다.


뭐 ...관광객들이 가는곳만 갔기때문에 전부 좋다고 할순없지만


개인적으로 호치민은 참 매력적인 곳이고 정말 추천하는곳입니다.


기억에 남는 ..매력적인 여행 만들어주신 노랑풍선과 낯선 이국에서 친절함으로


이끌어주신 현지가이드님께 지면으로나마 감사말씀 드립니다


다음에도 또 노랑풍선!찾아올께요^^"
호치민,"(2011.08.25~28) 베트남 [호치민 완전일주+구찌터널] 3박4일 여행 후기 ^^:흠.. 이런거 잘 안적는데 이번여행의 기억이 워낙 좋아서... ^^

사실 저같은 경우에는 여기저기 베낭여행을 제법 다녔었고 여행사를 통해서는 이번이 처음이네요.


원래 저는 참 좋은 여행사를 통해서 상품을 예약 했었구요..

나중에 알았던 사실이지만 '참 좋은 여행사' 측에서 한국에서 모객 활동을 하고 현지에서는 '노랑풍선'

측에서 서비스 하도록 연계 되어 있던 모양이더라구요. 양측 여행사 모두 친절해서 첫 인상이 좋았구요..

접수는 참 좋은 여행사 측에서 했지만 직접적인 서비스는 노랑풍선 측에서 제공했기 때문에 이곳에 발자취

남깁니다.


호치민-구찌 (및 붕타우) 코스가 아무래도 타 베트남 여행 코스보다는 조금 더 역사적인 코스라고 볼 수

있을 것 같네요. 현지 가이드 였었던 정은인 차장님 덕분에 역사공부 지대로 하고 왔습니다 ㅎㅎㅎ

베트남에 대해서 관심도 공부도 많이 부족했었는데... 정차장님 께서 워낙 열정적으로 설명해주시고

가이드 해주신 덕분에 여러 면에서 참 유익했네요. 이동하는 내내 지루하지 않게 마이크로 이런 저런

이야기도 많이 해주시구요. (덕분에 정말 지루하지 않았습니다!!ㅋㅋ)

사실 저렇게 까지 열심히 하실 필요가 있을까 하는 생각이 들정도로 자신의 일에 열성적이고 또 인간적인

모습에 개인적으로도 느낀바가 큽니다 ㅎㅎㅎ


오해살 것 같아 말씀 드리지만 저 알바 아니구요 ㅋㅋㅋ

이래저래 고민하시는 분들 있으시면 너무 걱정하지 마시고 다녀오시라고 추천해 드리고 싶네요.

역사적인 부분 뿐만 아니라 멋진 경치나 즐거운 볼거리, 체험거리도 많아서 그 어느 구성이라도 어울리는

그런 무난한 코스가 아닐까 생각 됩니다. 제가 갔을때도 부부, 가족, 연인, 친구... 다양하신 분들이 함께

하셨었구요. 뭐 저는 사내놈들 둘이서 다녀 왔습니다만..ㅎㅎ



이번 여행의 기억이 좋아서 다음 여행은 다른 곳 안거치고 곧바로 여기 '노랑풍선' 을 거쳐서 또 다시

다녀올까 합니다. 참, 정차장님 께서 본래 하롱베이쪽에서 가이드 하신다고 하셨던 것 같은데...

이 분 통해서 이번에는 베트남 북부쪽을 꼭 다시 한번 방문하고 싶네요 ㅎㅎ


주변에 여행으로 고민하는 분 있으면 가격도 저렴하면서 내용도 좋았던 노랑풍선을 추천해 드리고 싶네요ㅋ

다른 분들도 유익한 여행 하시고 좋은 추억과 값진 경험 많이 하시기 바라요 ^^"
호치민,"추억에 남을 앙코르왓 호치민여행:휴가를 맞아 7월 28일 출발 8월1일 오전에도착하는 베트남 항공 연합상품으로 캄보디아를 다녀왔읍



니다. 휴가피크기간인데도 불구하고 저렴하게（429,000원） 책정되고 돌아오는길에 베트남호치민 1



일투어가 포함되어있어 제가원하던 상품이라 주저없이 결정해서 다녀왔는데 예상하길 너무싼가격



에 일정（오전출발） 도 넉넉해서 혹시 현지에가서 지나친옵션및 쇼핑강요를 하지않을까 반신반의



하며 떠났지만 그건 한낮 기우에불가했읍니다. 하노이공항에서 비행기갈아타고 씨엠립 공항까지 우



려했던 베트남 항공 써어비스 정말 생각했던것보다 좋았읍니다. 하노이까지 기내식도 훌륭하고 음



료써어비스도 국적기 아시아나항공 못지않은 써비스 였읍니다..하노이공항에서 비행기갈아타는 중간



에 약간 지루하였지만 우리나라 지방 소공항만한 노바이국제공항에서 쌀국수도 사먹어보고 간단한



기념품도사며 시간을 보네고 시엠립행 비행기에 오르니 （소형 최신기종A320） 깔끔한 내부에 몇명



타지않아 쾌적하고아늑했는데 앙증맞은 기내식및 주류및음료가 또 한번 제공되더라구요. 기내식 먹



고 맥주한잔하고나니 창문으로 톤레삽호수가 보이는데 정말 엄청난 크기더라구요. 우리나라국적기



타고가면 절대로 볼수없는（국적기는 밤늦게도착）장관에 감탄했는데 정말로 호수에서 수평선이 보



이더라구요 호수색깔은 황토빛에 물은 탁하게 보였지만 정말 돈주고도 보기힘든구경을 핸나 싶네



요 . 서서히 톤레삽호수를 돌아착륙하자 우리나라 국제공항에서는 쉽게경험하기 힘든 트랩을 내려



와 뱅기앞에서 사진도 찍고 앙증맞고 캄보디아냄새가 물씬풍기는 공항 을 배경으로 사진도 찍고



（트랩을 내려걸어들어가니 ）새로운 경험을 했죠 . 공항을 빠져나와 다른여행사 팀과 합세하여 가



이드님과 미팅을 한뒤 호텔로 들어가 방배정을 받고 압쌀라공연을 하는 부페식당으로 가서 식사를



맞친후 공연을 감상했는데 처음 대하는 캄보디아음식에대해 가이드님의친절한 안내로 맛있게 식사



를 했는데 ,식사도 생각보다 나름 훌륭했읍니다. 한국에서 준비해간 소주도 반입이 허용돼 한잔씩 반



주도 꼇들이니 금상첨화였읍니다. 식사를 맞치고 호텔로돌아와 자유시간이 넉넉해서 개인적으로 집



사람과 우연히 공항에서 만난 지난번여행때동행했던 친구와 툭툭이를 빌려타고 과일가게에가서 망



고스틴을 1Kg당 1달러에사고 마트에가서 앙코르 맥주를 사서 호텔로 돌아와 씨엠립에서의첫날밤을



보네고, 둘째날 관광이 시작됐는데 정말 앙코르왓 대단했읍니다 옛크메르 왕국시절 찬란했던 문화



에 감탄을 하지 않을수 없었읍니다 （ 정말 꼭한번 보아야할 문화유적이라고 추천하고 싶읍니다 ） 점



심식사로나온 한식도 먹을 만했고 오후관광을 마친뒤 평양식당에가서북한식 정식과냉면으로 저녁식



사를 마친뒤 북한접대원들의 공연을본뒤 호텔로 돌아와 가이드님께허락을 받고 개인적으로 식구들



과 툭툭이를 빌려타고 레드피아노（안젤리나 졸리가 차마시던 까페）에서 맥주한잔하고 나이트마



켓 쇼핑을 본격적으로 했는데 ,인터넷 다음 캄보디아어 까페에서 배운 크메르어를 조금씩 섞어가며



쇼핑을 하는데 부르는 값에 반부터시작하는 물건값을 깍으면서 수공예제품이랑 은 가공 악세사리 몇



점을 사면서 이제 나도 자유여행도 가능하겠구나하는 자기도취에빠져가면서 나이트마켓 구경을 마



치자 대기하고 있던 툭툭이를 타고 호텔로 무사히귀환 둘제날 일정을 마치고 잠자리에들었읍니다 세



째날 선택관광상품인 툭툭이를 타고 유적지를 돌며 또한번 앙코르왓트에 푹 빠져들게 만들더군요 점



심식사로 호텔부근에있던 고급 부페식당에가서 훌륭한 캄보디아식 음식에 또한번 빠져들게 하더군



요. 우리나라돼지갈비와비슷한맛의 돼지꼬치, 내뱃속을 개운하게해주던 쌀국수 국물은 잊을수가 없



더군요 . 식사를 마치고 오후에2시간여 자유시간을 주어서 이번엔 올드마켓을 툭툭이를 빌려타고 다



녀왔는데 혹시라도 사고가날까봐 가이드님이 걱정을 많이 하시더라구요 （ 한 차장 가이드님 미안했



어요） 그래도 제가 동남아시아에서 살던경험을 인정해서 혼쾌히 허락해주신 가이드님 정말 고마웠



어요 담에 또가게되면 술한잔 꼭 쏠께요 . 올드마켓은 나이트마켓 근처에 있는데 관광객을 겨냥한 캄



보디아 재래시장인데 가격도 저렴하고 캄보디아인 생활상도 볼수있어 정말 좋았어요. 아쉬움에 올드



마켓을 뒤로한채 호텔로 귀한 오후 유적지 관광을 마치고 라텍스 매장을 방문 했는데 이번여행에서



의 옥에티가 발생했지요 구매과정에서 현지직원의 불쾌한행동으로 우리일행과 마찰이 있자 가이드



님이 항의하자 라택스 매장 직원의 사과로 일단락 지었지만 다소 찝찝 하더라구요 라택스구매를 취



소하고 매장을 나와 저녁식사를 한뒤 옵션상품인 전신마싸지를 받은뒤 마켓에 들려 앙코르 맥주을



산뒤 호텔 귀한 세째날 일정을 맞추었는데 맛싸지를 받아서인지 피곤이싹풀리고 잠이 잘오더러구요



아침에 기상하여 일정에없던 킬링필드 사원 을 방문했는데 암울했던 폴포트 정권시절 학살 당했던



수많은 캄보디아 지식층 사람들의 죽음에 숙연에지면서 캄보디아가 그당시 지식층 에대한 학살이 이



루어지지않았다면 지금보다 더잘살수 있는 나라가 되어있을수 있었는데하는 아쉬움이 남더라구요 .



관광지 마다 5-6세어린아이부터 조그만 물건을 들고와 한국말해가면서 팔아달라고 하는 모습엔 정



말 눈시울이 젖더라구요. 한참 유치원에가서 재롱피울 나이에 길거리에서 물건을 팔며 구걸하는 모



습 정말 잊혀지지않을 거에요 . 이른 점심식사를 마치고 공항으로 이동 베트남 호치민시로 출발했는



데 뱅기기내식으로 준 샌드위치 하나를 먹고나니 바로 착륙하더라고요. 새단장해서인지 깔끔한 탄손



누트 공항을 빠져나와 호치민시내로 향했는데 장관을 이루는 오토바이 행렬에 입이 딱벌어지던군요



거리를 가득메운 오토바이행렬 여지껏 보아온 오토바이를 단한번에 본것같더군요. 씨엠립의 맑은공



기와는 대조적으로 매연 으로 숨이 콱콱 막히 더라구요. 비가 오락가락해서 노틀담 성당이랑 중앙우



체국을 들러본뒤 차장넘어로 시내관광을 하는데 많은 오토바이로 길이 넘 막혀 약간에 짜증이 나더



라구요 .선택관광으로 베트남 해군이 운영하는 사이공 유람선 에서 저녁식사와 공연 사이공 야경을



감상하니 어느덧 베트남을 떠나야할 시간이 되더군요. 전 그동안 경험했던 다른 패키지 여행에서 경



험했던 불쾌했던 쇼핑강요, 옵션강요을 이번가이드님은 훌륭히 소화해내시더라구요 .무리없게 선택



옵션 추천해주시고 식사도 다른 어느여행상품 보다 훌륭했었고 오전출발 베트남경유라 일정도 여유



고 정말 추천하고싶은 상품이라고 생각됩니다 .무리없게 소화해내시고 정확하고 성실하게 가이드해



주신 캄보디아 한차장님,짧지만 재미있게 이끌어주신 베트남 김 차장님 정말 수고해주셨읍니다 훌륭



한 상품 만들어주신 노랑풍선 관계자 님과 담당직원 정주연 님께도 감사드립니다 .담에도 꼭!!! 노랑



풍선과 함께하고 싶네요 . 적극 추천합니다 .





첫재날 가는길



하노이 공항 비행기 갈아타는중에 맛본 쌀국수 피쉬쏘스가 들어간듯 꼬리꼬리한 냄새가 약간나지만



맛은 괸찬은것 같은데 ~~~~~^^



하노이 씨엠립간 베트남 항공 （A320） 기내식



앙증맞게 나왔는데 맥주 안주로 딱 좋음 . 우리 딸은 남자 슈투어드가 빵 2개나 더갖여다 줌.



인천 하노이간은 돼지고기볶음 쌀밥또는 새우볶음 과 볶음밥인데 배가고파서 사진찍는걸 잊고 다먹



어치움 ㅋㅋㅋ,



하늘에서본 캄보디아 상공 구름이 많이끼어 잘안보였는데 착륙전 톤레삽 호수 가 장관이었는데 동



영상 찍느라 사진이 없네요



국제공항으론 다소 작아보였지만 트랩을 이용하여 내려 걸어들어올수 있어 비행기 사진 배경으로 사진도 찍고 공항배경으로 사진이 아주 예쁘게 나오네요



압살라공연 식당 바베큐코너



캄보디아식 바베큐인데 좌측은 돼지고기 우측은 오리고기인데 바삭바삭하고 약간 달콤하며 꼬소함



아주 맛있음



압쌀라 공연 무희들



캄보디아인들이 맨발로 생활을 많이한듯 여자 무희 들도 발이 상당히 투박하게 보이는것 같아요 , 공



연내용 이해하기는 어렵지 않은것같아요 .



이틀째



본격적인 앙코르왓 관광



앙코르왓 사원 옆모습



침략자들에 의해 머리가 잘려나간 석상들을 보며 안타까움을 금치못하겠더라구요







뒷문에서



나무뿌리가 사원을 파괴도하고 지켜주기도 한다는 타프롬 사원에서



반데스라이 사원의 조각



돌위에 조각한것이라고 믿기 어려울정도로 섬세하여 금방이라도 살아서 움직일듯한 느낌이나는데



정말 감탄을 금치못하겠더라구요



우리가 타고 다니던 한국에서 수출한 중고 중형버스（ 기아 코스모스）



앙코르왓 관광지를 메우고 있는 우리나라 중고버스의 위력에 또한번 감탄 !!!



출입문엔 한글로 자동문 . 유리창에 청솔학원（?）이라고 씌여있는 버스도 굴러다님





근데 비가 새서 ㅋㅋㅋ



캄보디아 택시 일명 툭툭이 , 밤마다 툭툭이 빌려타고 시장도 다녀오고 호텔에서 시장까지 10분에서



15분 정도 걸린것 같네요. 요금은 대기료 포함해서 받는데 부르는값에 무조건 반값부터시작할것



ㅋㅋㅋ. 툭툭이 관광도 시원하고 새로운 경험이에요. 비가오면 비닐 커텐으로 막아



주는데 바람이 들어오지않아 약간 무더운것 같더라구요 .



바이욘 사원의 이바로키데스바리신 과의 KISS!!!!!



나이트마켓이랑 레드피아노갈때 카메라를 호텔에 두고가는바람에 사진이없고 이사진은 올드마켓인



데 현지인과 관광객이 모두 이용하는 재래시장으로 영어도 가능하고 달러도 통용되는데 캄보디아



말 조금씩 섞어가며 쇼핑을 하니 바가지는 안쒸우는것 같아요. 은 세공품 귀거리 목걸이등 예쁜게많



고 가격도 아주 저렴 하고 실크스카프도 질에비해 가격이 저렴한데 구매시 세심한 주의필요 올이 나



간것이 간혹 있는데 캄보디아 에서 물건 구입시 , 절대로 교환 반품을 안해주니 주의요망 !!!





시장내부에 야채및 과일 생선 육류등 각종 식재료도 팔고있어 캄보디아인들의 생활상을 볼수 있으



니 꼭 들려보시는게 좋아염 !!!!



북한 친선관 평양 식당 접대원 과



접대원들 써빙하다 갑자기 무대로 가서 노래부르고 춤추고 다시 써빙하고 .



북한식 정식인데 돼지갈비찜,,파래국 ,나물 ,꿀 바른 찹쌀전병,평양랭면등이나오는데 약간 단맛이 강



해서 인지 다른 동남아국가북한식당에서 먹어본것보다 제 입맛에는 맞았으나 다른분들은 어떨런지



참고로 남남 북녀란 말이 실감날듯 !



작은 킬링필드 라고 불리는 와트마이 사원에서의참배



사원밖에 유골탑에 학살당한 캄보디아인들의 주검에 마음이 숙연해지더군요. 당시 폴포트정권이 수



많은 지식인들을 학살하지만 않았더라도 많은 어린아이, 장애인들이 외국관광객들에게 구걸로 연명



하지는 않았지 않을까 생각되더라구요.



작은호수 바라이호수 옆 시장



현지인음식과 약간의 생필품 가게가 있는데 규모가 크지않아서인지 가격흥정이 다소 어려움 ,올드마



켓보다 는 베짱장사를 하는듯한 느낌을 받으며, 우리나라 3-4세또래로 보이는 아이들이 （사진속 빨



간색 바구니들고다니느 아이들）나이물어보니 5-6세정도라고 하는데 계속 한국말을 써가면서 물건을



팔아달라는데 정말 눈시울이 뜨거워지더라구요. 멀리서 부모들이 아이들시켜 장사시키며 관광객들



의 마음을 열려는 캄보디아인들의 현실에 정말 안타가울수밖에 없더라구요



시엠립 호치민간에 나오는 간단한 기내식



비행시간이 1시간이라서인지 간단한 스낵이 나오더라구요



참고로 호치민 인천간은 우리시간으로 새벽 5시경에 자고있는승객들 깨워 밥을 먹으라고 하는데 입



안이 깔깔해서 못먹겠더라구요 메뉴도 돼지고기또는 생선찜인데 우리국적기처럼 이른 새벽기내식으



로나오는 녹차죽,호박죽이나 오믈렛 같은걸 주던지 아님 11시 50분 출발이니 출발하자마자 주던지



그런점이 우리국적기보다 써어비스에서차이가 나더라구요 . 혹시 베트남 항공 관계자 분께서 이글



보시게 된다면 참고해주시면 감사!!!



수많은 오토바이와 차량속에 막힌길 사이로 시클로에 짐을 싣고 유유히 걸어가시는 베트남 아자씨!!!



우리나라였음 어떻게 되셨을까 ㅋㅋㅋ



바로 욕찌거리 나오지 않았을라나? 오토바이와 차량이 디범벅 되도 크락숀 안울리며 대충 빠져나가



는 베트남 운전기사님들 훌륭해요 !!



파리의 노틀담 성당을 본떠 지었다는 호치민시 노틀담 성당 . 입구에서 초 하나에 2,000동 주고 사



서 예수님께 기도.



몇년전 실제로 눈에서 눈물이 나왔었다는 성모마리아상 앞에서.



딸아이에게 배운 얼굴작게 보이게 찍는 포즈로 ㅋㅋㅋ



중앙 우체국 안에 호치민 사진



중앙우체국안에서 화장실을 찾으니 안내아가씨하는말 나가서 우측으로 한블럭간뒤 우회전 하란다 .



화장실 앞에 가니 아줌마 한분이 돈내라래 . 다행히 주머니에 2,000동 있어 주었더니 오케이라네 .



몇년전 명동 충무로 지하상가에 유료 화장실 생각이 나네 ㅋㅋㅋ



저녘야식거리 파는 노점상 아저씨 숯불 돼지갈비 냄새가 쥑이더라구요 .! 얼마냐고 했더니 1인분 （우



리나라 음식점 에서 나오는 2대분 ） 20,000동이라고 하는데 벳남 돈 없다니깐 1달러 달라고 하는데 한



국말 엄청 잘해요,. 맛도 우리나라 돼지갈비 맛하고 비슷한데 야채좀 달라했더니 오이랑 토마토 썬거



을 푸짐하게 주시네요. 아주 맛나게 시식 . 아자씨 많이파세요 !!!!!!



비도오고 예약한 사이공 강 유람선 식사시간 까지 다소 시간이 남아 들려본 현대식 백화점



물가가 장안이 아니네 !!!!!!!! 한국 물가 따라잡을려고 하네요 . 맛있다는 베트남 커피 남은돈 몽땅털



어 사옴 .



커피맛 쥑이네요! . 울마눌 커피맛에 반해갖고 베트남에 커피사러 또 간다네요 ㅋㅋㅋ



베트남 해군이 운영한다는 유람선 레스토랑 앞에서 벳남 여군이랑



울 딸과 벳트남 여군 이랑 누가 더 예쁜가 ??



근 데 군인이 민간인 상대로 레스토랑 영업 ? 우리나라에서도 가능한가 ??????



정말 이해가 안가는 벳트남 .







사이공강 선상 유람선 레스토랑에서 한국노래 열창중 팁 1＄



근데 한국노래 넘 잘하신다 !!!!!!



이제 캄보디아 베트남 여행의 종착역이 된네요 기회되면 꼭 다시 가고 싶네요 .



저렴한 가격에 훌륭한 볼거리 먹거리를 경험하게 해주신 노랑풍선 관계자및 현지 가이드님들께



감사 드립니다.



이제 해가뜨고 우리나라 목포시 상공이라고 네비가 알려주네요. 지루한 여행기 끝까지 읽어주신



노랑풍선 애용자님들께도 감사드립니다 . 좋은 여행 많이 다니세요 ."
호치민,"호치민,붕타우,구찌여행...:여행후기를 읽어보면 항상 가이드의 이야기가 많이 나오는것을 볼수 있습니다..

좋은가이드, 좋은여행객을 만나는것은 서로의 행복이라고 할수 있는데,

이번에 여행중에 만난 가이드 박부장과 12명의 여행객들은 누가 누구를

서로 이해해주는지를 모를 정도로 궁합이 잘 맞는 팀 이었습니다.



동남아 그 어느 코스보다 느긋한 일정이다 보니 해외 여행 경험이 많은

50대들에게는 아주 적당한 코스 이었던것 같고, 식사때 마다 여러가지로

신경을 써 주는 가이드 덕분에 식사에 별 불편함없이 잘 지냈습니다..



항시 검소하고 나라와 백성들을 생각했던 월맹호치민과 3톤이나 되는 금괴를 갖고

사이공을 탈출했던 월남의 구엔반티유를 생각하니 우리의 대통령들의 모습이 떠 오릅니다.."
호치민,"최악의 베트남 호치민 여행.:3박 5일간( 2008년4월30~5월 4일) 호치민을 다녀왔습니다.



여행은 여기저기 많이 다녀봤지만 이번에는 시간상 멀리는 가지 못하고 가까운곳 중 안가본 호치민으로 정했습니다. 어디를 가든 그나라의 문화를 보고 느끼고 휴식도 취할수 있는게 여행이라고 생각합니다. 하지만 이번 여행은 최악의 경험이었습니다.



첫째. 볼거리 전혀 없습니다.



전생의 아픈 기억 구찌터털 빼고는 사실 볼거리 전혀 없습니다.



둘째. 먹거리 전혀 없습니다.



다금바리(40불)와 씨푸드(30불) 옵션이 있어서 가이드가 40불로

다금바리와 씨푸드를 먹을만큼 해준다고 해서 기대를 했었는데

기존에 먹었던 다금바리 씨푸드와는 전혀 비교도 할수 없이 형편이 없었습니다.

다금바리 몇점, 게몇마리와 새우몇마리....이게 전부였습니다.

다들 이런씨푸드 처음이었다고 황당해 했습니다.



세째. 가이드 최악이었습니다..



볼거리/먹거리 없어도 가이드가 수준있는 가이드를 해줬다면 이렇게 억울하진 않을것입니다.

평생 들어보지 못할정도의 저질농담과 음담패설 등을 3일동안 듣고오니 귀가 드러워졌습니다.



또한가지...

노랑풍선에 보면.....베트남의 정취를 느낄 수 있는 씨클로 무료 탑승 체험 이라고 되어있는데....

씨클로탈때 저희더러 2달러를 팁으로 내라고 하더군요.

결국 저희가 직접 요금내고 씨클로 탄거죠..

차라리 나중에 팁을 더 달라고 하면 이렇게 기분 나쁘지는 않습니다.



다시는 가고싶지 않은 호치민입니다. 더불어 노랑풍선에도 실망입니다.

직장인으로써 돈보다 더 힘들게 낸 휴가를 망치는 이런상품은 없애는게 낫습니다.



노랑풍선에 정말로 화가 납니다."
호치민,"호치민 묘:호치민 묘입니다.

시체를 냉동보관하고 있어 안은 정말 시원합니다.

독재자였지만 나라에 대한 애국심과 공로가 대단해서인지 베트남 사람들에게 아직도 존경을 받고 있습니다.

관광명소로 만들어서 각국의 관광하러 온 사람들이 전부 한번씩은 온다고 하고 이를 자국민들에게 호치민을 존경하는 사람들이 참배하러 온다고 선전합니다.

묘에 들어갈때는 전부 한줄로 서서 모자도 벗어야 하며 선글라스도 못씁니다."
