title,reviews
배움의 미동부 캐나다 여행,"추운겨울의 비수기라... 큰 기대를 하지 않았다...저렴한 비용으로 가는 여행이라...그러나 많은 것을 배울 수 있었다. 평소에 관심한 자유의 나라 미국과 사회주의를 가미한 카나다에 대해...정유진 가이드를 통해 풍부한 내용을 들을 수 있어 목적을 이룬 여행이 되어 기뻤다.
사소한 질문에도 재미있게 대답해주었다.귀찮을 정도의 질문을 쏟아 미안했지만 알고 싶은 마음에 여러가지 질문 공세를 가했으나 피곤한 기색없이 대답해주엇다.운전과 더불어 설명하는 가이드의 뜨거운 열정 감사드린다...."
미동부 캐나다 여행,"여러 여행사와 비교하여  보스튼 경유하는 노랑풍선이  개인적으로 좋아 선택하여 다녀왔다~
정유진 가이드님을 통해 미국,캐나다의 역사, 문화등을 새롭게 배우며  재미있고 유익한 여행이 되어 만족하며 감사드린다 ^^
긴 일정을 운전까지 하면서 열심으로 가이드해 주시고 서비스( 물을 준비해주셨음^^)까지   최고 !!!!!
정유진 가이드님께 정말 감사드려요 ~ ^^"
미동부 보스톤 캐나다 + 우드버리 여행기 185cm의 장신과 165cm 그녀와의 여행기,"제나 여행은 늘 설레임과 기대감이 생기기 마련이죠. 저는 185cm 장신인 아들이고. 165cm의 그녀는 저희 어머니입니다. 같이 여행을 다닌지 10년이 넘었네요. 아버지는 어머니와 여행을 다니시질 않으셔서 어쩌다보니 어머니를 챙기며 여행을 종 종 다닌지 시간이 이리 되었네요. 2020년 2월 12일 ~ 21일간의 일정을 사진과 함께 여행후기를 써내려가볼까 합니다.
존에프 케네디 공항 도착후 호텔로 이동하여 바로 잠들고 일어나서 호텔로비서 가이드님을 기다립니다.
정유진 가이드님이라고 해서 여성 가이드인줄 알았습니다. 남성 가이드님이시더군요!
반전~버스도 인원이 적어서 20인승 버스가 올줄 알았으나!!55인승 대형버스에 와이파이가 터지는 버스!
와우 너무너무 시작부터 신나부러 소리 질러!!!!!호텔로비서 출발전 어머니와 사진을!
      워싱턴 DC로 고고 메릴랜드로 고고 . 정유진 가이드님 설명도 짱짱. 위트도 짱짱. 날쌘돌이 가이드님.
고객들이 원하는 니즈파악은 아주 눈치가 빠르시더군요!어머니와 더불어 어머님뻘 되시는 여러 가족들
일행들은 가이드님 칭찬하시느라 아주 그냥 끝내줘요~ㅎㅎㅎ
국회의사당에서 한컷 !
    이어서 조금 더 이동하니 거의 근처에 행정시가지가 다 모여있더군요.
백악관에서도 한컷 찍어봅니다.
    다시 살짝쿵 이동하여.
    스파이더맨 파프롬 홈에서 피터파커가 워싱턴 기념탑에 맨위에서 엘레베이터에 갇힌 친구를 구하기위해 촬영된곳 앞에서 인증샷도!
    저의 외할아버지는 625 참전용사이십니다. 화랑무공훈장과 태극무공훈장을 갖고 계신 국가유공자이시기도 하시죠. 항상 시골갈때마자 625 전쟁얘기를 듣게되다가 미국에 와서 김영삼 태동령이 미국방문에 맞혀 만든 한국전 참전용사 기념비 앞에서 그들에게 경례를 올립니다.
토머스 제퍼슨 기념관도 가고 링컨 기념관도 갑니다.
링컨 기념관은 파르테논 신전을 본따 만들었다고 하더라구요!
        똑똑하고 미국서 위대한 토머스 제퍼슨 기념관에서도 인증샷!!
    미국에 왔으니 박물관도 구경해야쥬?
스미소니언 박물관에서 한컷.
    이 안에는 자연사 박물관이 인상적입니다.
        코끼리와 곰돌이와 친한척합니다...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이렇게 2일 일정 완료!
  3일차입니다.
나이아가라로 이동합니다.
미국경과 캐나다 국경에 있는 나이아가라 폭포는 겨울에는 미국에선 개장하지않아
캐나다쪽으로가서 일정을 하게됩니다.
        헬기투어 15분이지만 절경을 눈에 담기에는 최고입니다.
안하신 일부 팀분들 계신대 이거 안하신분들은 일정이 재미없으셨을겁니다.
    옷에 물이 튀어서 얼어 얼음 알갱이가 생긴것 보이시나유?굉장합니다.
장갑과 모자 포기하고 오직 멋짐과 사진을 위하여!노력합니다.ㅋㅋㅋㅋㅋㅋㅋ
대자연의 모습 훌륭합니다.
저녁에는 그렉의 마술쇼도 훌륭하게 보았다죠.
정유진 가이드님의 한마디가 인상적..
""마술사님 몇살 같아요?""
""50대 같습니다만?""
""80이 다되어가요....""
웁스 대단하시다...정정하시네...
3일차 계속되는 고열량 음식에 호텔 헬스장을 들립니다.
    4일차 일정이네요.
    나이아가라 워풀은 못들어갑니다. 겨울이라서여. 아쉬움에 사진만 남겨봅니다.
    달짝 지근한 화이트 와인 음미도 해보고 사탕도 먹어봅니다.사고 싶었지만.
전 건강보조식품을 사기위해 참았답니다.
점심은 스카이론 나이아가라 폭포가 보이는 타워에서 스테이크와 연어스테이크
맛좋고 뷰좋고 뿅갑니다.
      맛있게 먹고 아이맥스 영화관 피라미드 같이 생겼습니다만. 추워서 몸녹이며 영상 보러 가는 곳입니다.
온니 한국인분들만~근데 저희 어머니께서 너무 잼있게 보셔서 기분이 좋았답니다.
토론토로 이동합니다.
토론토에 류현진선수 이적하였죠?토론토의 명물인 CN타워에서 토론토 야구 경기장도 보고
            저희 어머니와 저의 케미 훌륭하쥬?ㅋㅋㅋㅋ10년차 아들 어무이의 여행경력에서 나오는 사진각 보소.
    CN 타워 나가기전 한컷 찍어봅니다.
    재활용의 거리에서 다들 추워보이시죠?씩씩하게 장갑도 모자도 없이 여유있게 브이질해봅니다.
    캐나다에 유명한 김씨네 편의점. 포스터를 찾으신분이라면 제가 이사진을 찍은 의미가 있네요~ㅎㅎㅎ
  대표사진 삭제
사진 설명을 입력하세요.
      뭉쳐야 산다에서 나온 토론토 간판.
스케이트장으로 변한 겨울의 모습에서 새로움을 느낍니다.
    5일차 되네요.
    몬트리올 시내관광입니다. 구시가지에서 꺼지지않는 불꽃앞에서 인증샷!
  대표사진 삭제
사진 설명을 입력하세요.
    장애를 딛고 마라톤을 완주한 기념비상 앞에서!리얼리티를 살리고자!!!
      노트르담 대성당에서 웨딩채플이라는 별칭을 가지고 있는 랜드마크 앞에서!!
    자끄 카르티에 광장으로 이동합니다.
    다리가 참 기시네요..고객님...185CM일뿐입니다.ㅋㅋㅋㅋ
    이곳에서 랍스터 먹습니다.크고 맛있습니다.
          거리가 이뻐 심취하여 만세를 외칩니다.
6일차 일정입니다.
퀘벡으로 이동 이동 가장 추운 동네로 이동해봅니다.
기가막히게 마지막 퀘벡 윈터 페스티벌 마지막주에 저희가 일정이 걸려서 행복하게 구경하는 일정이됩니다.
그전에 몽브랑시 폭포에서 케이블카도 타지요
      여기서도 에피소드가 잇는데 일찍왔던 일정인데 들어오는 차문은 열리는데 나가는 차문은 안열려서
노부부의 차가 들어올때 유진 가이드님이 얼마나 뛰시면서 협조하시던지.
정말 가이드님의 순간 기지와 능수능란한 경험을 느낄수 있었죠. 나갈때 캐나다 노부부에게 쌍따봉을 외침!
윈터페스티벌 관련 샤토프론트낙 호텔 사진 올립니다.드라마 도깨비의 촬영장소이기도 한 유명한 곳이죠
          365일 내내 크리스마스인 이 곳.도깨비 보신곳분면...아실듯합니다.
    퀘벡 윈터페스티벌 마스코트 눈사람과 함꼐~ㅎㅎㅎ
    쁘띠 샹플랭 거리 목이 부러지는 계단이라 유명한데..사실 도깨비에서 김고은이 공유에게 아이러뷰하는곳이죠
7일차 보스톤 으로 돌아옵니다.
    퀸시마켓부터 프리덤 트레일 일정을 시작으로 합니다.
  .
    하버드 대학교에서동상앞에서 신발을 만져봅니다.
    하버드 졸업생은 아니지만. 하버드생들이 졸업하는 교회 앞에서 나름 졸업사진 샷을 찍어봅니다.
학사모가 없는게 아쉽네요~ㅎㅎ
우드버리 아울렛을 갑니다.
발사이즈가 300인 저에겐 미국은 정말 좋은 나라이죠.
로포 슈즈 다섯개와 청바지 2개 선물용 동전지갑 , 어머님 코치가방까지
짧은 시간 동안 훌륭하게 미션을 수행합니다. 저녁은 미국와서 처음 먹어본 맥도날드 햄버거.
햄버거 세트는 한국이 짱인것같습니다.ㅋㅋㅋㅋㅋ
야경을 구경합니다.설명이 필요할까요?사진을 띄웁니다.
    락펠러 센터 앞에서 다소곳하게~
        락펠러 광장앞 만국기중 태극기앞에서 한컷!
    싸이가 말춤 춘 타임스케어 앞에서. 매년 재야의 종소리에 사람들이 겁나 몰린다는 뉴욕의 타임스케어앞
    어느새 마지막 날 일정입니다.
    뉴욕 심장의 황소 동 상 앞에서.
    돈 많이 번다해서 밑에서도 찍어봅니다.
자유의 여신상 보러가야겠쥬?맨하탄의 사진도 덧붙입니다.
      점심먹구 엠파이어 스테이트 빌딩갑니다.
  대표사진 삭제
사진 설명을 입력하세요.
    어머님이 킹콩에 붙잡혓어요!!!
    맨하탄이 한눈에 캬아~~~
    유엔본부에 여행객 대표로 제가 등록합니다.옷에 붙어있는 사진이 대표로 인증하는 사진입죠.
제가 아니었음 40명 여행객들 유엔본부 못들어갔을꺼에요~ㅎㅎㅎ
  넬슨만델라 동상앞에서..흑인관광객을 뜷고 당당하게 사진찍음...ㅋㅋㅋ
    유엔본부 건물앞에서!인증샷!
    나홀로 집에서 나왔던 호텔 프라자 호텔입니다.
이영화 잘 찾아보면 케빈이 호텔 내부에서 프론트가 어디냐구 물어보는 장면이있는데
거기서 알려주는 사람이 지금의 트럼프 대통령이라는 사실!!
인생샷 나온거 같아 뿌듯합니다.
    월가 거리 거닐면서 마이크로 소프트사 앞에서~찰칵!!
한국으로 돌아가게됩니다.다시 존에프 케네디 공항으로.
    여행후기를 마무리지으며.
가이드님을 잘만나야 여행에 대한 지식과 함께 공부를 할수있고 그나라의 정취와 문화를 배울수 있다지요.
훌륭한 정유진 가이드님을 만났기에 여행은 막힘없이 다녀서 뿌듯했습니다.
더불어 같이 다니는 일행분들도 매너있게 시간엄수와 함께 싫은 소리 하나 없이
너무 잘어울려서 좋았답니다. 특별히 정유진 가이드님께서는 저에게 반장이라고 할정도로
스스럼없이 형님처렁 대해주셔서 길었을 버스 이동 거리 총 4,000KM이 대장정동안
시간 가는줄 모르고 대화하면서 여행을 다녔던것이 너무 좋았습니다.
기회가 되면 여름철이나 따뜻한 기후에 다시 오고싶은 곳이더라구요!
기억속에 미국을 남기며 후기를 마무리 집니다.
ps) 사진을 같이 업로드하여 글을썼으나...제글만 사진이 안보이는 상황이 발생해서 하단에 블로그 주소링크겁니다.
https://blog.naver.com/blacksangs/221824106256 
궁금하신분들은 클릭해주실꺼죠?^-^
 "
꿈만 같았던 미동부 캐나다 여행기~!! (1),"어느덧 제가 여행을 다녀온 지 벌써 일주일이란 시간이 흘렀네요... 시차 적응을 하고 일상생활로 돌아가느라 후기 작성을 조금 늦게 하게 되었습니다!!
제가 후기를 작성하는 이유는 바로 꿈만 같았던 11일간의 추억을 잊고 싶지 않고 같이 여행했던 일행분들과 추억을 공유하고 싶어서입니다!!
저는 (2020년 1월 20일~2020년 1월 30일) 8박 11일 일정인 미동부 캐나다 패키지 여행을 전역 기념으로 혼자 다녀왔습니다. 그동안 많은 여행을 다녀봤는데 미국과 캐나다는 워낙 넓어 자유여행을 하는 데 있어 힘이 들 것 같아 패키지를 통해 가기로 결정하였습니다. 많은 여행사 중에서 '노랑풍선'을 선택한 이유는 다른 회사와 차별화된 일정이 마음에 들었고 예약하는 고객 수가 많아 믿고 갈 수 있겠다는 생각이 들었기 때문입니다. 그러나 오랜만에 혼자 여행을 가는 거라 솔직히 기대보단 걱정이 많이 되었습니다..ㅠㅠ
그럼에도 불구하고 첫 날 공항에서 고객들을 픽업해 호텔까지 데려다주시면서 이것저것 유익한 얘기들을 해주시고 너무나도 친절하셨던 '민경현 가이드님', 해박한 지식으로 브루클린&뉴욕 투어 드라이빙 가이드를 잘 이끌어주신 '정유진 가이드님', 뉴욕 시내 투어를 해주신 '정진현 가이드님' 모두 열정적으로 해주셔서 감사했습니다!!ㅎㅎ
워싱턴 일정부터는 원래 하기로 되어있던 가이드님의 부득이한 사정으로 인해 '장호웅 가이드님'께서 맡게 되었습니다. '장호웅 가이드님'께서는 재치있는 유머, 수많은 에피소드, 호탕한 웃음소리 등으로 시종일관 사람들의 웃음이 끊이질 않게 하셨습니다. 뿐만 아니라 매일 고객들을 위해 물을 제공해주시고 한분한분의 건강을 챙기시고 아픈 고객들에게 상비약을 제공해주셨습니다. 캐나다의 한 휴게소에서는 팀 호튼 커피를 돌리시고 랍스터 식사를 할 때는 와인을 제공하셨습니다. 48명의 인원들을 케어하느라 고생 많으셨고 이렇게 열정적이고 진심이 느껴지는 가이드는 여행을 다니면서 처음 봤습니다!!ㅎㅎ
패키지 여행을 다녀보면서 제가 느꼈던 가장 중요한 점은 좋은 가이드와 일행들을 만나는 것입니다!!
설 연휴를 거쳐 약 10일 정도 함께한 마흔 일곱분들, 뜻깊고 재미있는 여행 만들어주셔서 감사합니다. 이 글을 보실지 안 보실지는 모르겠지만 서울에서 온 가족분, 용인에서 온 가족분, 분당에서 온 가족분, 부산에서 온 가족분들 등 모든 분들 제가 혼자 와서 많이 챙겨주시고 예쁜 사진 찍어주셔서 감사합니다!! 인원이 워낙 많았다보니 얘기를 나눌 시간도 친해질 시간도 부족하였네요ㅠㅠ 미국에 온 날짜도 한국으로 돌아간 날짜도 서로 다르다보니 제가 부득이하게 인사를 드리지 못하고 연락처도 교환하지 못하고 떠난 점에 대해 너무 속상하네요...
이렇게 좋은 인연들이 모여 서로에게 선한 영향력을 끼칠 수 있었던 뜻깊은 여행이었어요ㅠㅠ
모두들 새해 복 많이 받으시고 언제나 좋은 일만 가득하시면 좋겠습니다. 늘 건강하시고 행복하셨으면 하는 바람입니다:)
가이드님, 그리고 함께 아름다운 추억을 만든 일행분들!! 언젠가 인연이 되면 다시 한 번 꼭 뵙고 싶어요ㅠㅠㅠ
혹시라도 훗날 일행분들께서 이 글을 접하게 되시면 좋은 회상거리가 되면 하는 바람입니다!!
제 카톡아이디는 wkdwogns2007이니 연락주셔서 좋은 인연 만들어나갔으면 좋겠습니다~!!
다시 한 번 모든 분들께 감사합니다ㅎㅎ"
미동부 캐나다 프랭크 테리우스 장 호 웅 가이드님을 진짜 진짜 강추합니다~~!!,"아이가 하나뿐이여서 교육에 좋겠지 하며 초등 1학년때부터 매년 1~2회 해외 패키지여행을 동남아시아와 일본및 중국중요지역, 서유럽 동유럽 북유럽을 섭렵하며 다녔었습니다. 올해 울 아이가 군대를 앞두게 되어 미동부캐나다쪽 짧은 역사속에서 자원의 풍부로 인해 성장해온 자본주의 나라를 느끼게 하고 싶어 가게 되었답니다.
평소 패키지여행을 다니며 느낀 점은 가이드를 잘 만나야 여행의 반이 성공하는 것이지 않나 란 생각을 하고 있었습니다.
수십 번의 가이드님들과의 만남이 있었고 직업적인 면만을 접하였기에 그냥 만남과 헤어짐이 당연한 관계에 지나지 않은가 했었습니다.
이번 여행에서 인솔가이드 없이 미국에 도착해보니 오신 분들이 16명이였고 현지 첫날 만난 정진현가이드님도 차분하시고 차도 미니벤같아서 여행을 조용히 하겠구나 생각했는데.. 삼일째 되는 날 먼저오신팀 들과 합류해서 51명이 56인승 대형버스를 타고 다니는 여행이 되더라고요 헐... 많은 인원에 놀랐고 여유분이 없는 좌석 때문에 놀란 여행이였네요.. 아이가 키가 196이다 보니... 버스좌석에 같이 앉으신 분도 힘드셨을거예요
이런와중에 가이드분도 프랭크 테리우스 장 호웅 가이드님으로 바뀌었습니다.
많은 인원으로 불편할줄알았던 버스여행이 이분의 열성적인 안내와 박학다식한 역사이야기 재미있는 유머들로 인해 즐거움과 웃음으로 가득했습니다... 조카아이가 1월 현지 여행중에 생일이였는데 오신 분들 중에도 3분정도 더 있어서 케잌도 직사각 커다란 케잌사다가 잔치도 해주시고 일일이 각 가정마다 신경써주시는 모습은 친척 형, 오빠, 동생같은 모습이였습니다.
직업정신으로 인한 만남이 아니라 가족같이 신경써주시는 모습을 느끼다보니 짧은 글솜씨로 나마 정말 칭찬글을 꼭 써야 겠다란 마음을 가지게 되었네요.
프랭크 테리우스 장 호 웅 가이드님 짐이 왜이리 많나 했더니... 하버드대학 일정에서 보니 진짜 대단하신 분이고나를 알수 있었습니다....궁금하신분은 여행일정에 꼭 만나시길 추천 또 추천드립니다!!!
마지막 날 먼저 한국가는 팀도 있고 우리 16명팀은 하루 더 있다가 다음날 낮에 한국으로 가는 팀이라 프랭크 테리우스 장 호 웅 가이드님과는 그전날 타임스퀘어를 마지막으로 아쉬운 작별인사를 하고 헤어졌습니다.
그리고 다음날 공항에서 멋진 모습의 프랭크 테리우스 장 호 웅가이드님이 배웅을 오셨더라고요 마지막까지 이렇게 감동을 주시다니... 가이드님이 아니라 친가족같은 느낌이였다고나 할까요 정말 감사한 여행이였기에 몇자 적습니다.
멋진 프랭크 테리우스 장 호 웅 가이드님!!!!! 새해 복 많이 받으시고 하시는일 잘 되시길 바랍니다~~!!!!"
미동부+캐나다 완전일주 장호웅 가이드님 덕분에 즐거운 추억을 쌓았습니다~,"미동부와 캐나다 패키지 상품을 다녀왔습니다.
짜릿했던 나이아가라 폭포와 뉴욕의 타임스퀘워의 추억이 한국에 도착해서도 생생하게 기억이 남네요. 그 기억속에 장호웅 가이드님께서 친절하게 설명해주시고 항상 손님들의 편의를 위해 주야장천 고생하셨던 덕분에 다시 방문하고 싶은 생각까지 들게합니다.
아무쪼록 미동부와 캐나다 방문 예정이신 분이라면 장호웅 가이드님을 적극추천해드리며 먼 타지에서 열심히 일하시는 장호웅 가이드님 항상 건강하시고 늘 행복하시길 바랍니다~"
짱짱맨 최영칠 가이드님과 함께한 즐거웠던 미동부 캐나다 여행~~,"10월 27일 미동부 캐나다 8박 10일 여행을 떠났습니다.
최영칠 가이드님 하루도 못 쉬고 나오셨다는데 힘든 기색 전혀 없이 어찌나 잘해주시던지~~
가이드님 잘 지내고 계시나요??
가이드님이 포토스팟마다 일행들 사진 다 찍어주시고 설명 재밌게 해주시고~~
날마다 버스에 그 무거운 짐들 다 싣고 내리시고~~
귀국길에 오를 때도 피곤하실 텐데 우리 일행들 보안검색대 다 통과할 때까지 밖에서 바라보고 계셨습니다~~
최영칠 가이드님 얼마나 좋았던지 미국 캐나다 풍경보다 가이드님이 더 기억에 남네요~~
가이드님 한국에 오시면 꼭 만나요~~"
미동부 캐나다 7박10일 최고의 여행이었어요!! 전효인가이드님도 최고!!,"여행은 날씨와 가이드가 좌우한다는 말이 맞는 것 같습니다. 2019.10.8~10.17 함께 한 멤버들도 좋았고 날씨는 비가 오다가도 일정을 소화할 때는 그쳐주어서 너무 좋았으며 전효인가이드님의 유머있는 역사 설명과 똑소리나게 여행지에 대한 안내, 도착시간, 화장실 아내 등 미리미리 알려주셔서 정말 좋았어요! 56인승 버스에 39명이 함께 하니 자리도 여유가 있어서 좋았고 미국 캐나다 나이아가라폭포, 맨하탄, 퀘백의 아름다움, 엠파이어스테이트빌딩, 유엔본부, 메트로폴리탄미술관, 미의사당, 백악관 등등...... 정말 TV에서만 보던 곳을 직접 보고 온 경험은 인생의 큰 즐거움이 될 것 같습니다.
노랑풍선의 일정도 마음에 마음에 들었고 특히 친절하고 똑순이 정효인 가이드님을 만나서 여행이 더욱 즐거웠습니다.
앞으로도 좋은 가이드님을 만날 것을 기대하며 노랑풍선 이번 여행 최고였어요!! 
  <록펠러센터>
  <캐나다 퀘백의 모습>"
미동부 캐나다 여행도 좋았고 전효인가이드님도 최고였어요!!,"미동부 캐나다 여행 최고!! 전효인가이드님도 최고!!
많은 여행을 노랑풍선여행사를 통해 다녔다. 이유는 여러면에서 믿음이 가는 여행사이기때문이다. 2019년10월8일~17일 미동부,캐나다 여행을 신청하고 출발하면서 좋은 가이드를 만나고 날씨가 좋아야 즐거운 여행이 될텐데 어떤 가이드를 만나게 될까 궁금했다. 날씨는 검색결과 거의 구름과 비가 오는 것으로 나와있어서 아내는 무척 걱정을 했다. 드디어 뉴욕공항에 도착 인사를 나눈 가이드는 전효인이라는 여자분!! 기대에 걸맞게 예쁘고, 상냥하고, 힘찬 솔톤의 목소리로 우리와 첫인사를 나누었다. 관광지를 돌면서 각 지역의 안내와 역사까지 상세하게 유모어를 가미해가며 맛깔나게 설명을 해주었다. 많은 노력과 공부를 한 모습이 역력하게 보였다. 식사때는 다른 팀의 관광객들과 합류되면 우리팀의 빠른 식사를 위하여 직접 써빙까지 해주어서 불편이 없도록 도와주는 모습은 여행을 많이 다녔지만 잘 보지 못한 광경이었다. 요번 여행은 정말 좋은 전효인가이드를 만나서 아주 즐겁고 보람있는 여행이 되었다. 전효인가이드의 멋진 역활이 우려했던 날씨까지 쾌청하게 한 것 같았다.
얼굴에 트러블이 생기도록 열정을 다해주신 전효인가이드님을 칭찬하며 수고에 감사드리고 노랑풍선도 화이팅!!
<전망대에서 바라본 캐나다 나이아가라폭포>
 "
"만족했던 미서부,미동부 그리고 캐나다여행 (1)","9월 27일 ~10월 13일(15박 17일)까지 캐나다동부 그리고 미동,서부여행
길었던 일정 만큼이나 여행의 즐거움과 행복감도 만족그러웠습니다
여행을 여러번 다녀보았지만 이민욱가이드님같이 친절한 분은 처음 보았구요
여행내내 손님들에게 물을 제공해 주었는데 물을 받아서 고마운게 아니라 물을 제공해주는 가이드는 처음 보았습니다

캐나다 동부여행시 이민욱가이드님과 동행했던건 여행을 재미와 감동을 더해 주었다고 생각합니다
관광지의 뷰포인트에서 손님 개개인에게 사진을 찍어주었던 세심함에 감동했습니다
유명관광지는 사람이 일시에 몰리기 때문에 사진찍기가 거의 전쟁수준이고 뷰포인트도 모르기 때문에 아무데나서 사진을 찍습니다
그런데 이민욱가이드님은 사진을 일일이 찍어 주시는 수고스러움을 여행 끝날때가지 해주었고, 귀국해 사진을 보니 사진도 잘 나와서 좋습니다~  
다시한번 이민욱가이드님에게 감사의 드립니다
그리고
광주시 광상구 노랑풍선 정영균대표님 여행출발전부터 끝나고 나서까지 세심한 배려 감사드립니다

내년에도 여행계획이 잡혀있는데 노랑풍선을 이용하겠습니다"
