title,reviews
가이드로 인하여 최악중 최악으로 기억된 보라카이 여행,"저희 일행은 회사 동료 사이이며 총 4명 첫 패키지 여행을 부푼 마음을 안고 보라카이로 정하였습니다.
허나 정말 가이드로 인해 최악의 스트레스를 받고 돌아왔습니다.
첫날 비행기가 계속 딜레이 되는 바람에 보라카이 칼리보에 새벽 1시 15분 도착 예정이였지만 현지 시간으로 4시 30분정도에 도착하였습니다.
계속 되는 연착으로 인한 피곤함에 지칠대로 지쳐있는 상황이였고 다시또 선착장 까지 2시간을 버스를 타고 가야하는 상황이라
얼른 버스에 탑승하여 잠시라도 눈을 붙히고 싶은 심정이였습니다.  그러나 다른 일행분들이 입국심사에 걸려 다모이기까지
시간이 좀 걸렸으나 다행히 모두 나오셨고 이제 출발할수 있구나라는 생각을 했습니다 그러나
 대형패키지여행사 여행자들과 개인일정의 여행자 모두 공항을 떠나고 불이 꺼지도록 저희만 버스가 없어 오도가도 못하고 있는
상황이 발생하였으며 그에 대한 가이드의 설명은 없었습니다 30분정도 아무런 설명없이 저희 패키지일행을 방치하였고
기다리다 지친 다른 부부일행분께서 가이드님께 대체 언제 출발하는거냐 버스가 오는거냐 물어보시니 그때서야 괜한 인상을
찌푸리시며 보라카이 어느 버스 직원같은 사람과 대화를 하였고 또 그러고 나서의 설명도 없이 저희는 총 1시간 10분가량
어둠속 의자도 없는 어느 버스탑승 공터에 방치되었습니다 버스가 오고 그제서야 피곤함 몸을 이끌고 버스에 탑승을 하였고
버스를 타니 그제서야 제탓 아니다 오기로한 버스 드라이버가 그냥 빵꾸를 냈다
내탓아니니 어쩔수없다 이런 답변만 들을수 있었고 가이드로서 아무런 양해 및 사과도 하지 않으셨습니다.
여기서 부터 보라카이 여행의 대한 저희 환상은 산산조각 나였습니다.
버스 탑승후 내잘못 아니다 내탓아니니 그리알라 하며 이상한 약속을 하시는데 보라카이 패키지일정 중 내내 망고가 먹고싶으면 말만해라
언제든 망고를 사주겠다 여기서 망고 실컷 먹고가라 또한 맥주도 계속 사주겠다 밥먹으러 가서 맥주 계속 달라고해라 무제한으로 주겠다
이또한 지키지 않으셨죠 망고 먹기는 커녕 구경도 못했습니다. 맥주? 밥먹으러가서 맥주 시켜도 돼요라고 말을 꺼내기가 무섭게
눈치주고 한병만 먹으라며 말씀하셨죠 그리고 말또한 바로 놓으시더라구요 그 가이드님은 40살이 넘으셨고 저희 일행은 20대초반~30대초반
딱봐도 어려보이니 반말과 불친절한 언행을 서슴치 않으셨습니다.
그뒤로 선택일정 강요는 정말 최악이였으며 첫날 일정부터 피곤하여 선택일정을
하고싶지 않다하니 어떤 서약서 같은걸 줬습니다 거기엔 선택패키지를 하지 않더라도 다른곳에서
식사를 하거나 소규모 타업체 마사지 등을 할시 그즉시 패키지 상품에 대한 모든걸(패키지에 포함되어 있는 마사지, 식사) 하지 못한다는 것이였습니다.
그런 서약서가 있다는 사실도 몰랐으며 저희 선택일정중 맘에 들지 않는건 선택하지 않고 연착으로 인한 피곤함을 마사지로 풀고싶었습니다.
그래서 솔직히 안하고 싶다고 말씀을 드렸지만 계속 묵살되었고 끝내는 선택일정 이거 하는건 가이드의 대한 매너고 배려다 그러니 마지막날
일정중 선택일정(100달러 마사지)할인해줄테니 이건 꼭하라고 이거 안하는거 가이드에 대한 매너가 아니다라며
끈질기게 강요하였습니다. 저희는 계속 되는 강압적인 강요에 지칠대로 지쳐 결국에는 할인받고 하겠다고 두손두발 다 들었습니다.
여기서 끝이 아니죠 2일째 되는 일정중 저녁 석식이 포함되는 날이였나봅니다 그러나 저희는 일정내내 그날 하루 스케줄의
대한 충분한 설명을 듣지 못하였고 포함 스케줄은 늘 두리뭉실  넘기고 선택일정만 강요하며 더 웃긴건 선택일정을 하는 일행들과의 차별이였습니다.
저희는 하지 않았다는 이유로 어떠한 관심도 보라카이의 대한 설명도 해주지 않았으며 일정에 포함되어있는 석식도 이야기 해주지 않았으며
포함이 안되어 있는거처럼 저녁 뭐먹냐? 저팀은 뭐 맛있는거 먹으러 간다고 하더라 이러셨고 그말에 저희는 석식이 포함 안되어 있는줄
알았습니다. 그래서 포함일정을 마치고 저희 이제 뭐해요 라고 물었고 저녁 어떡할꺼냐 또 물어보시길래 저희 저녁 포함되어있는거에요?
안되어 있는거 아니에요? 이랬더니 그제서야 오늘 저녁 포함되어 있는거다 근데 다른 팀들은 다들  따로 먹겠다 맛있는거 먹으러 간다고
그러더라 너희도 그래라 이런식으로 반강요적으로 귀찮다는듯 너네도 따로 먹어~라며 반말로 말씀하셨고 저희는 그러한 태도에
너무 화가나 석식이 포함된거면 먹겠다 이거 다 패키지 비용에 포함되어있는거 아니냐 하였더니 그제서야 아..그래 이러더니 함께 있던 다른
가이드에게 뭐먹지 뭐먹냐 아.. 이러시며 야 그거먹자 철판볶음밥 이러셨습니다 이 말은 백프로 저녁석식을 아예 일정에 생각도 하지 않고
있었던 것입니다 너무 황당하였고 그말을 듣고 석식 전까지 자유시간이 있었고 그시간동안 너무 기분이 나빠 석식을 안먹겠다고 하였습니다.
정말 이해가 안됩니다 서약서에는 분명 식사도 다른거 하면 안된다며 선택일정 안해도 다른 업체가서 마사지 받지말라고 해놓고
포합되어 있는 저녁 석식식사는 각자 알아서 하는걸로 밀고 나갑니다 이게 뭐죠?? 이건 왜 따로 먹으라는거죠?하..
그뒤로 일정도 반말 섞인 말과 귀찮은말.. 식당에서 맥주 먹으라 하면 눈치 주고 반말하고 팁팁팁 정말 여행내내 기분이 안좋았으며
알고보니 선택일정 한 다른일행 가족들에겐 망고를 하지 않은 저흰 무관심과 반말을^^ 정말 가이드로 저렇게 하는게 맞나 싶을정도 였습니다
더 기가 막힌건 선택 일정(마사지) 금액도 전 일행모두 제각각 어느일행한테는 100프로 어느 일행한테는 할인해주겠다 살살 꼬들기며 안한다
하면 이건 가이드에 대한 매너가 아니다 이건 다 하는거다 너희들만 안한다 식의 저격하는 듯 기분 나쁜 언행!!! 알고보니
저희 일행분들중 총 4팀의 일행이였는데 여행사가 다들 제각각 이더군요 그리하여 가이드도 2명이였습니다
저희에겐 팁이라는 명목하에 현지가이드에게 팁을 또 강요하였습니다. 팁강요 및 선택일정 강요 두번 다시는 보라카이에
가고싶지 않고 패키지 여행또한 하고싶지 않습니다. 오엔이라는 가이드님!! 정말 그렇게 하실거면 가이드 안하시는게 패키지 여행하시는
모든 여행자를 위합겁니다. 여행자를 돈으로만 보는 오엔 가이드님!! 정말 마지막 저희 공항 도착하고 갈때까지 돈으로만 보시더군요
한번이라도 저희 일행 챙겨주고 정말 보라카이에 대한 애정으로 가이드를 해주셨는지 묻고 싶을 정도입니다 칼라보 공항에
도착하니 또 쇼핑센터를 가야죠??? 그렇게 저희한테 무심하고 눈길도 안주고 무관심이였던 분이 저희에게 다가와 친절히 설명하십니다^^
이거 사라고^^ 안사고 그냥 나가니 그뒤로 또 눈치 줍니다 그러고 또 현지가이드에게 팁을 주라며 강요하십니다 그러고
마지막 비행기 타기전 저녁을 먹습니다 먹고나서 갑자기 디저트를 먹으러 갑시다 제가 사겠습니다 해놓곤 잼을 파는 상점을 들어가십니다
사준다고 해놓고 저희보고 사랍니다 이젠 기가차서 욕도 안나옵니다 또 여기서 마지막으로 잼을 사주는게
가이드에 대한 보답이고 매너랍니다 뭐 해준게 있어야 보답을 해줄거 아닙니까!! 그렇게 비행시간 전까지 라운지에 저희 일행 포함 다른 일행들이
모두 모였고 처음으로 그자리에서 서로 이야기 하게 되어 알게된 사실 어느일행에겐 똑같은 마사지를 100달러에 어느일행에겐 70달러에^^
현지가이드 3일 팁을 가족3명 일행에겐 총10달러 또 다른가족 일행 7명 총 20달러 저희에겐 4명 각각10달러 총 40달러 받아가셧죠
저희를 아주 호구로 보셨더라구요^^ 덕분에 오엔가이드님 안주삼아 일행들과 그때서야 소주 한잔하며 그런 만행을 알게 되었습니다.
그렇게 저희에 보라카이여행은 팁강요와 강압과 무시로 끝이 났습니다."
해외 첫 보라카이여행 (루크 준준님!!) (1),"너무너무 좋아써요 ㅎㅎ첫 해외여행이여서 걱정이 정말 많았는데 걱정은 걱정일뿐..
너무 재미있게 놀다와써요 ㅎㅎㅎ 날씨도 너무좋고 좋은팀?좋은분들과 루크 가이드님
준준님 !! 처음만날때부터 엄청 친절하시고 잘 케어해주셔서 3박5일이 후다닥..
지나가버렸네요 ㅠㅠㅠ넘나아쉽.,,그래두 정말 행복한여행이여쏘요 ㅎㅎㅎ
체고체고!!! 다음에 보라카이 가게되면 또 루크님과 준준님 만ㄴ ㅏ거시포용"
친한사람들과 다시 찾은 보라카이 ~ ~ (♡루크.준준♡),"2년만에 다시 찾은, 보라카이~
여긴, 꼭 친한친구(놀줄아는사람)와 다시 와야겠다! 라고 마음먹은지 2년만에 다시 찾은 이곳.
'두근두근' 패키지라는 복불복..!!!  내말만 믿고 따라준 친구 와 동생. 그곳을 도착할때까지 마음이 편치않았다
가이드가 이상하면 어떡하지.. 일행과 안맞으면 어떡하지.. 비가 계속 오면 어떡하지..
하지만 항상 미소가득하고,  찡그림 하나없는 루크가이드님 ,  원래 알던사이같이 잘 어울렸던 일행,
 적당히 시원했던 날씨 ,  꽃무늬가 잘어울리는 미소천사 현지가이드 준준가이드님(보고싶어요 준준 ㅜㅅㅜ♡) 까지 ~ ~ 
내가 왜 걱정했었지? 라는 생각과함께 아무걱정없이 마지막날까지 달리고 달리고 달리고 왔당;;ㅎㅎ
루크가이드님께서, 스캐줄도 잘 짜주셔서 ~ 몸이 무리되지않게, 또 자주자주 옷을 갈아입지 않아도 되서 너무 좋았당
혹시 몸이 안좋으면, 비상약 있으니, 바로바로 언제든 연락주라던 루크가이드님 ~
패키지를 몇번 가보았지만, 이런말 하는 가이드님은 처음이라 처음엔 어벙벙 했다~
일행분 한분이, 배멀미 하셨는데, 바로 멀미약을 준비해오셨다 ~ 참 멋지신분이당!!
여행을 많이 다녔지만, 이번엔 정말 집에 가고싶지않았던, 여행이었당.
또, 다시 보라카이 여행을 간다면, 루크가이드님,준준가이드님 꼭 다시 만나고싶당 ~ ~!! 
개구쟁이3인방 때문에, 많이 힘들었을 가이드님께, 다시 한번 감사말씀드립니당!!
  (에픽 다시가고싶어효 ~ )
   "
행복한 꿈을 꾼듯한 보라카이 여행! 루크♡ 준준♡ (1),"꼭 함께 보라카이를 가보자던 친구와 동생과 함께 떠난 보라카이 여행을 행복하게 끝낼 수 있게 도와준 노랑풍선과 루크가이드님 그리고 준준가이드님 너무 고맙습니다아!!♥
가이드를 잘못만날까 일행 잘못만날까 걱정에 날씨까지 좋지 않다던 보라카이였어서 무척이나 겁먹고 도착했는데, 처음부터 끝까지 짜증한번 없이 웃는 얼굴로 잘 인솔해주시고 도와주신 루크가이드님과 준준(보고싶어요 준준T^T)가이드님 감사해용♥
마지막날 가이드님이 했던 말을 듣고 생각했어용! 이번 여행은 날씨 운, 일행 운 그리고 가이드 운까지 너무 좋은 여행이었다고!
다음에 다시 보라카이를 가게 된다면 또 만나고싶어요!!
 "
보라카이 가족여행 후기,"올해초 홍콩여행 이후
진정 힐링여행이 된 가족여행을 11월초 대구직항(대구<->깔리보 공항)으로 보라카이를 다녀왔지요.
다녀와서 ""기대보다 훨씬 좋았다""라는 와이프의 얘기처럼 나와 가족모두 만족스런 여행이었다.
보라카이 ! 하면 떠오르는 바다. 그 자체로드 충분히 멋진 아름다움.
 특히 기억에 남는 건 해질무렵 선상에서 즐긴 파티는 그야말로 멋진 무도회였고, 남은 사진은 인생사진으로 다시는 못건질 사진들...
 또 '말룬파티'는 숲속에서 다이빙, 튜브래프팅(?)도 하고 음료도 맘껏 즐기는 화려한 축제로 기억된다.
그외에도 휴양과 즐거움을 3박4일동안 실컷 즐기는 여행이었지.
이 모든걸 도와준 분들.. 셀리(selly)와 케빈(현지 가이드)이 있었기에 가능했어요...
그분들께 진정 감사의 말을 전하고 싶고, 다시 여행가고 싶은 욕심이 벌써 생기는 듯..
사비로 우리애들 옷도 사준 셀리님께 '감사해요'.   진정 즐거웠어요 !!!!!!!"
직원 후기 대구출발 보라카이 3박4일 출장 후기,"▶출장지역: 필리핀 보라카이
▶기    간 :  2019년 10월 28일~ 10월 31일(3박4일)
▶이용항공: 티웨이항공 TAE-KLO TW139 09:00-12:20 KLO-TAE 13:20-18:35
▶출장인원: 13명
▶출장목적: 대구출발 신규취항하는 보라카이 상품 판매를 위한 사전조사 및 호텔 견학
  ①1일차
07:00 대구공항 집결 , 09:00 대구국제공항 출발 후 약 4시간 20분정도 소요되어 12:20쯤 칼리보공항 도착 ,
도착 후 입국심사 및 수화물을 찾는 데 시간이 1시간 정도 소요되었습니다.
칼리보 공항은 작고 노후된 공항이였고 공항 내에는 가이드 입장 불가로 , 수화물을 찾고 나오면 가이드가 피켓을 들고 있었습니다.
 
공항 옆 한식당에서 점심식사 후 , 까띠클란 선착장까지 버스로 약 2시간 소요되었습니다.
까띠클란 선착장에서 보라카이섬까지 약 15분 소요, 오후5시쯤 보라카이섬에 도착하였습니다.
  드디어 라까멜라 리조트 도착 후 , 1일차 저녁식사는 몽골리안 비비큐로 진행되었습니다.
몽골리안 비비큐는 본인이 원하는 재료를 넣어 철판에 볶는 음식으로 여러 동남아지역에서 대표적으로 진행되고있는 특식입니다.
저녁 식사 후, 디몰관광 (가이드님이 디몰을 걸으며 유명한 음식점 및 상점에 대해 설명해주었습니다.)
및 마사지 (패키지 일정 중 1회포함) 로 1일차가 마무리되었습니다.
②2일차
오전 9시 집결, 2일차 오전의 일정은 호핑투어로 진행되었습니다.
화이트비치에서 배를 타고 바다 중간으로 나가 스노쿨링을 하였습니다. 배는 요트로 업그레이드되어 작은 배에서
요트로 갈아타서 스노쿨링을 진행하였습니다.뷔페식으로 중식 진행 후(다양한 음식과 디저트가 있어서 모두 다 만족한 식사였음)
세일링보트를 진행했습니다. 세일링보트는 무동력으로 가는 보트로 보통 석양이 질때도 많이 진행되며 ,
이번 일정의 경우에는 낮에 진행을 하였지만 만족도가 높았습니다.
오후는 호텔에서 휴식 및 재정비 후 , 저녁식사는 바비큐립으로 진행되고 그 이후는 개별시간 또는
선택관광(마사지) 로 진행되었습니다.
  ③3일차
오전 10시 집결 , 오전은 지프니를 타고 아일랜드 투어를 진행하였습니다.
광고촬영지로 유명한 푸카비치부터 보라카이섬 안쪽을 지프니를 타고 설명을 들으며 투어를 하였습니다.
3일차 중식은 현지식으로 한국인 입맛에 맞는 닭요리 및 야채,비비큐가 나왔습니다.
  오후 호텔 견학 진행
-펠리츠호텔 : 디몰 안에 위치, 최적의 위치 및 유럽풍스타일의 객실로 이루어진 신규 호텔이였습니다.
  -헤난 크리스탈샌즈리조트: 헤난 계열 중 가장 선호도 높은 리조트로 인피니티풀,수영장,객실컨디션도 가장
트렌디하고 만족스러운 리조트였습니다.
  -헤난 리젠시리조트: 헤난 계열 중 제일 처음 오픈되었으며 크리스탈샌즈보다는 오래된 느낌은 있으나
성급 리조트다운 컨디션을 가지고 있었습니다.
  -헤난가든 리조트: 스테이션 2 위치 , 넓은 수영장 및 다양한 객실타입으로 가족단위에게 적합한 리조트였습니다.
  -헤난라군 리조트: 헤난 가든과 다르게 모든 객실에 발코니가 있고 전객실이 풀뷰였습니다.
  -헤난 팜비치 리조트: 2018년에 오픈한 가장 신규 리조트로 스테이션 2-3 사이 위치해 디몰과 거리는 조금 있지만
가장 트렌디하고 인피니티풀 및 객실이 크리스탈샌즈와 가장 비슷하였습니다.
  -라까멜라 리조트: 3박을 숙박한 라까멜라 리조트는 구관/신관으로 나누어져있으며 스테이션2 좋은 위치에 있으며 
객실 컨디션이 조금 노후되어 실속적인 상품을 원하시는 고객님께 추천할 수 있는 리조트입니다.
      저녁식사는 삼겹살로 진행되었습니다. 저녁식사 후 자유시간 및 개별일정
    ④4일차
공항 이동을 위해 , 개별 조식 후 오전 07:30집결 후 선착장 이동 및 공항으로 이동하였습니다.
칼리보 도착 후 공항 이동 전 쇼핑센터 2회 방문.
    오후 18:35 대구공항 도착 후 해산.
  3박4일 보라카이를 다녀온 후 , 비록 칼리보공항에서 보라카이섬까지 들어가는 시간이 많이 소요되기는 하나 ,
맑은 비치와 다양한 음식점 , 많은 리조트, 일정이 타이트하지않아 휴양을 즐기기에는 최고의 지역이라는 생각이 들었습니다.
이번 출장을 다녀옴으로써 10/27일부터 신규취항한 대구-칼리보 노선을 고객님께 조금 더 현실적, 진솔하게 
판매를 할 수 있다는 생각이 들었으며 부족했던 부분도 개선하여 더 만족할 수 있는 상품판매에 주력을 하겠습니다.
 "
첫여행의 설렘을 간직하고 떠난 보라카이 그곳에서 만난 소중한 인연들 :),"말그대로 첫 여행이자 첫 패키지 여행이었어요 걱정도 많았고 설레기도 했지만 
요샌 워낙 좋은가이드를 만나는게 어렵잖아요 그래서 기대반 걱정반 보라카이행 비행기에 올랐어요
도착하고나서 한국이름 티셔츠를 입고 있던 빌리와 마이클을 보게 되었죠 
이렇게 환하게 웃으며 반겨주었던 빌리 마이클을 잊을수가없어요 
저의 걱정도 잠시 빌리와 마이클은 대기하고 있던 장소로 친절히 안내해주었어요
대기장소에서 보라가이드누나가 있었죠 너무나도 쿨함과 밝은성격의 가이드님이 있었어요 ㅎㅎ
여행 일정 즐겁겠다는 생각이 들었죠 
보라가이드님은 이름마저 보라카이에 걸맞는 이름을 하고있어서 보라카이의 인싸더라구요 ㅋㅋㅋ
3박 4일 풀패키지여행은 정말 잊지못할 추억으로 남았어요 
가이드님이랑 그리고 빌리 마이클 정말 다음에 다시 보고싶어요 
보라가이드누나는 진짜 최고의 가이드에요 실속있는 정보력과 무턱대고 데려가는 다른 가이드완 다른 
보라가이드님만의 알찬 가이드 너무 좋았습니당
다시가고싶어요 ㅜㅜ 아니 다시볼래요 ㅜㅜㅜ 그때까지 다들 몸건강히 지내구있어요 !!!!!!!!
다시 만나는 그날까지 건강히 !!
너무 행복한 3박4일 만들어주셔서 다시한번 고마워요 !!"
"3박5일 보라카이 힐링여행 에릭,딘,마이클 정말 최고입니다.","2019년 10월6일~10월10일 3박5일 보라카이여행
여동생가족, 남동생가족과 함께해서 더 즐거웠던 여행 후기 한번 가 봅시다.
이번 여행은 공항에서 구경 할 수 있는 시간이 아주 많이 넉넉했다!!
면세점에서 이것저것 사 주시고, 즐겨 주시고, 먹어 주시고, 마셔 주시고...ㅋㅋ
보라카이로 출~바~알
  보라카이 도~~착

4시간30분 비행으로 깔리보공항 도착....2시간  차량 이동해서 카티클란 항구 도착....20분쯤 배로 이동해서 트라이시클을 타고 10분후 리조트 도착...
아~~보라카이는 7시간의 교통수단 이동으로 몹시 지친다 ㅠㅠ 새벽 4시30분 도착

그래도 우리가 푸~욱 깨끗하게 쉴 수 있는 선호도1위 헤난 크리스탈 샌즈리조트라 내가 마음을 달랜다!!
3년만에 마주하는 화이트비치는 너무도 깨끗하고 가슴이 뻥~~ 뚫렸다!!

정신없어 음식 사진 빠진것도 있음이야...ㅠㅠ



호핑투어 가 볼끄나~~(호핑투어사진은 배멀미로 패쑤) 
다른일행들의 헬퍼가이드 춤 잘추네!! 듣고보니 승리노래ㅠㅠ ㅋㅋ
3년전 보라카이여행때도 찍었던 인생샷...이번에도 해 보자규~~
  친정식구랑 같이 가게되서 이번에는 자유여행 포기
패키지는 가이드에 의한 즐거움과 힐링도 좌우한다고 생각하는 1인이기에...걱정 많이 했다!
하지만 에릭가이드님의 세심하고 디테일하게 챙겨주시는 배려 딘과마이클 최선을 다해서 최고로 챙겨주는 헬퍼가이드들
세 분 덕분에 우리 가족들 짧지만 정말 즐겁고 힐링되는 여행이었습니다!
우리는 1시40분 비행기를 타야했는데 한국에서 비행기 지연으로
우리는 깔리보공항에서 3시간 좀 넘게 노숙ㅠㅠ 5시 15분에 비행기 탐...이동 시간도 긴데 지연까지 한몫...힘들었다!

3년만에 다시 찾은 보라카이
보라카이는 6개월간  폐쇄를 하고 다시 재개장을 한 뒤라 이번 보라카이여행 뭔가 깨끗해진 느낌이랄까?!
확실히 화이트비치쪽은 깨끗했다! 너무 짧게 다녀와서 다음 보라카이여행은 자유여행으로 꼭...
보라카이 쉬러 가기에 딱 좋아~~"
보라카이 잘 다녀왔습니다. (1),"여자친구와 첫 해외여행으로 보라카이 3박5일 일정을 다녀왔습니다.
첫 여행이라 설레이고 걱정이 많았지만 보라카이 도착 후 한국인가이드 트리나님과 현지가이드 칼로님 이 두분이 잘 인솔해주셔서
걱정되는 첫 여행이였지만 부드럽게 일정을 모두 잘 마쳤습니다.
트리나님께서 너무 편안하게 해주시고 즐겁게 해주셔서 좋은 추억 만들었습니다.
감사합니다."
보라카이 제니가이드님 최고최고입니다. (1),"말많고 시끄럽고 장난많은 고교동창생....39살여자친구들 7명이서 보라카이여행을 다녀왔습니다.
솔직히 보라카이는 3번째라서 큰기대없이 갔는데...
제니가이드덕분에 너무나 즐거운시간을 보내고 왔습니다.
말많고 시끄러운 저희들을 항상 웃는 얼굴로 대해주시구,
선택관광이나 쇼핑도 강요없이  핵심 콕집어서  잘알려주시고......
호핑투어나 다른 진행에 있어서 항상 저희분위기에 맞춰주시고
특히 말룸파티에서는 기분업업될수있게 스피커까지 준비해주셔셔
환상적인 말룸파티를 보낼수있었습니다.
그리고 여행일정진행중에 제신발...조리가 끊어져서  맨발로 다녀야 하는 매우 불편한 상황이였는데
급하게 열심히 어딘가로 달려갔다와서 신발을 구해오셔서 눈물나게 감동받았습니다.
사실 지난번 보라카이에서도 같은경험이 있었는데 그때가이드는 나몰라라했거든요~~
보라카이는 이제 마지막이라 생각했는데 제니가이드와 다시함께라면
다시가고싶다는 생각이들었습니다
보라카이 여행가신다면  가이드 제니~~ 왕추천 드려요~~
제니 최고최고 입니다"
