title,reviews
세부 여행기,"여행을 목적으로 비행기를 탄 것은 이번이 처음이었습니다.

기대 이상으로 즐겁게 보내고 온 것 같아서 개인적으로 많이 아쉬움이 남고, 다시 한번 꼭 찾고싶은 곳 세부 입니다.



여행을 위해 여러 경로로 알아 봤는데, 성수기임을 감안하면 타 여행사에 비해 저렴한 금액으로 즐기다 온 것 같습니다.

사실 첫날 세부는 태풍의 영향으로, 강풍을 동반한 보슬비가 내리고 있었어요, 낮에는 함께간 친구들과.. 비오는 수영장에서 즐겁지 않은데 즐거운 척 하느라.. 너무 우울했는데, 저녁에 급 반전 되었어요.

민속공연을 보며 식사를 할 수 있었던 ‘Red CoCo’ 좋았습니다… 흥을 못이긴 제 친구는 현지 소녀의 손을 끌고 나가 함께 대나무 짝데기 춤을 추기도 했답니다.

카지노를 포함한 나이트 투어도 즐거웠지요. 카지노에서 돈을 좀 따게 되어서 쎄부를 사버릴까 고민하기도 했고,, 함께 동행했던 여행팀들과 한잔 하면서.. 그날 밤 뻘쭘하던 우리팀은 오빠동생의 형제가 되었답니다.



우리 팀 가이드님이었던.. 나아영/루씨님… 우리를 손님으로 대하기 보다는 동네 오빠처럼 배려해 주시고, 무엇보다 여행자의 입장에서 진심으로 함께 여행을 즐겨 주셔서 너무 고마웠습니다.



둘째날 부터는 날씨가 완전 좋았어요. 호핑투어, 체험다이빙을 예정대로 즐겁게 할 수 있었습니다. 특히 호핑 갔다가 거센 파도를 헤치며 돌아왔던 기억이 아직도 생생하네요, 애기만 멀쩡하고,, 아빠 엄마는 완전 멀미하시던.. 가족 기억도.. ^^；；

다이빙은 평소에 정말 해 보고 싶었었는데 기회가 되어서 정말 좋았어요. 초보자들도 누구나 쉽게 끌려 다닐 수 있어요.ㅎ 언젠가는 라이센스를 따서 혼자 해 보고싶네요.



마지막날 시티투어를 마치고, 공항에서 가이드님과 헤어지기가 얼마나 아쉽던지..

돌아와서 생각해 보면, 여행팀의 조합이 너무 좋았던 것 같아요, 그리고 가이드/루씨님이 손님의 성향을 잘 파악 하시고, 즐거워할 코스로 잘 짜 주셨어요.

넘넘 감사드리고, 또 놀러가면 가이드 해 주세요.



모두 다시볼때까지 건강하세요."
멋지고 알찬 세부여행이었습니다.,"가장 성수기 출발이었기에 사람많고 바가지 심할까봐 살짝 걱정했었는데..

7년 경력의 능숙한 리네（박정아） 가이드 언니 덕분에 즐겁고 행복한 여행이었습니다.



솔직히 출발전에 여행후기 보면 가이드 칭찬글들이 많아서 이거..짜고치는（?）거 아닌가 싶었는데

저도 이렇게 글을 쓰게 되네요..호호호



저는 이슬라리조트 이용했는데 출발전 인터넷에 자료가 별루 없어서 걱정 많이 했었습니다.

제가 전에 몰디브에서 수상가옥을 이용해봤던터라.. 벌레 걱정 많이 하고 갔거든요..ㅜㅜ..



근데 새로 지어진 건물이라 그런지 정말 깨끗했습니다. 벌레 전혀 없어요~~

한국인이 사장님이라서인지 한국인을 배려한게 많이 보이구요.

풀장이 아담하지만 조용하고 깨끗해서 놀기에 좋았답니다. 크고 관리 안되는 풀장보다 훠~월씬 나았어요.^^ 직원들도 너무 친절했구요. 그리구 특히 조식 잘나옵니다. 저희는 덕분에 싸간 김치며 컵라면 거의 못먹었답니다.



날씨때문에 하고싶던 파라세일링을 못해서 아쉬웠지만 그래도 나름 멋진 여름휴가였어요.^^

호핑투어 강추!! 근데 멋진 비치를 기대하시는 분이라면 세부는 추천하지 않습니다. 세부는 멋진 비치는 다 리조트에 딸린 곳이라서 따로 이용하려면 돈을 따로 내고 이용해야하구요 나머지 비치는 정돈이 안돼서 멋진 모습이 아니에요~



리네가이드언니덕분에 어메이징쇼에서 가장 좋은 자리에 앉을수 있었구, 저희 팀의 멋진분덕에 좀 더 즐거운 어메이징쇼를 볼수 있었습니다. 리네가이드언니 건강하시구요~ 저희의 멋진 여름휴가 감사합니다.

근데 검색해도 리네라는 가수가 없네용~~^^ 행복하세용~"
필리핀세부,"무희들이 대나무사이로 발짝을 옴기며 춤을 추고있다.



위 사진과같이 대나무 사이를 방글빙글 돌아 가면서 춤을 추고있다.



무희들이 정열의 춤을 추고있다.



관광객들이 무희들과 같이 한데 어우러져 춤을 추고있다."
하늘과 사람들이 아름다운나라 필리핀-세부^^,"7월27일부터 3박5일 필리핀 세부를 다녀왔습니다.

배냥여행은 다녀봤지만...패키지는 처음이었는데 기대 이상이었습니다.

여행은 어디를 가느냐도 중요하지만, 누구와함께 인것도 여행의 즐거움을 중요한 역할을 하지여~~



엄마와 동생과 이번 휴가를 즐기러 급하게 결정하였는데...

세부에서 너무나도 좋은 미구엘가이드님을 만나게되어 아주 즐거웠습니다.

일정 하나하나 한사람 한사람 세심하게 챙겨주셔서 너무나 감사했으며....

마음으로 고객을 대하는것 같아 여행 내내 기분이 아주 좋았습니다.

특히 마지막날 필리핀의 역사에 대한 이야기는 아주 유익했습니다....보너스를 얻은 기분이었습니다...



이슬라리조트도 너무나 감동적이었습니다.

오픈한지 얼마안되어 파리가 미끄러질 정도로 깨끗했으며....

직원들도 너무 친절하여 하루에 인사를 수십번은 받은것 같네여...ㅋㅋㅋ







매일저녁에 bar에서 하는 밴드공연도 분위기 끝내줍니다....

신청곡도 해주시고....저의 테이블 앞에서 직접 노래도 해 주시고.....^^

리조트에있는 수영장에서 하는 밤수영은 색다른 기분이며....bar가 바로옆에있어 밴드의 라이브노래를 들으면 수영을 할 수있어 아주 로맨틱했답니다.



가장 좋았던 투어는 호피투어가 젤 좋았으며....한마리도 못 잡았지만 바다낚시가 젤 잼있었어여~

마사지는 좀 세게받아서 그런지.....첨에 받을땐 살살 받는게 좋을것 같네요...



필리핀은 빈민층들이 거리에 많이 있지만.....그들은 표정만은 즐거워 보였습니다.....

물질적으로 부족할것 없는 저보다 어쩌면 더 행복한 사람들이 아닌가하는 생각이 드네여....



아름다운 사람들이 있는 곳 필리핀세부 즐거웠습니다.



미구엘 가이드님 감사합니다. 좋은사람 만나실거예요~~~^^"
필리핀세부,"네사람이 마주보고 앉아서 대나무를 가지고 붙였다 벌엿다하면서 대나무사이로



발을 걸음 겉드시 펄쩍펄쩍 뛰면서 대나무 사이를 걸어다니듯 필리핀 고유의



미속 춤을 추고있다.



대나무춤 직전의민속춤



대나무춤이 끝나고 대나무 （죽봉）을 들고 춤을 추고있다."
필리핀세부,"세부의 중국이들이 지은 사찰인데 이곳에서 저 멀리 고급주택과



푸른 바다를 조망할수있는곳이다.



가이드가 알려주었는데 사찰 이름은 기억이 나지않는다.



기와집에 光寶殿이라는 현판이보인다.



사진 오른쪽 나무에 하야게 매달린것이 노니 나무의열매를 우리나라 과수원에



배 를 종이봉지로 감싸듯이 노니 열매를 종이봉지로 감싸주어서 하야케 보인다.







00



이곳이 돈 많은 중국인들이 많이거주하는 고급주택지 라고 한다.



이곳에는 고급주택이 많이 지어저 있다.



중국인들이 상징적으로 생각하는 龍 을 만들어 놓앗는데 보통 발가락이



네개로 만드는데 이 龍 은 발가락을 다섯개로만들어 중국의 龍이 진짜 龍 이라고



말 하고 있다고한다."
필리핀세부,"레드코코 무희들의 민속쇼.



00



남녀 무희들이 미속춤을 추고있다."
필리핀세부,"레드코코 민속공연 넘녀 무희들의 민속춤.



무희들의 민속춤"
세부 여행 대략 만족,"3박 4일로 세부여행을 다녀왔는데

장염으로 5일정도 고생하고 이제서 정신차리고 글 올리네요^^



우선 무슨 음식을 먹고 잘못된건지 아님 단순한 물갈이 인지 모르겠는데

장염에 걸려서 여행기간동안 설사에 시달렸습니다

가이드님이 약을 주시기는 했지만 그래도 신종인플루엔자에 걸린건 아닌지 하는 공포감에 ㅋㅋ

다소 마음은 불안했지만 그래도 여행만은 즐거웠습니다

둘째날 있었던 호핑투어 너무 재밌었구요

배고픈중에 먹어서 그런지 씨푸드도 너무 맛있었어요

그래도 혹시 모르니 음식 가려서 드시구요

다음날 있었던 선택관광.

저희는 스톤마사지 했는데

선택을 할수 있거든요

강하게 또는 약하게~

저는 약하게 추천합니다

마사지가 무조건 강한게 좋은건 아닙니다^^；；

꼭 참고하세요

저랑 저희 신랑은 강하게!로 했다가 몇일동안 어깨를 못들었어요 ㅜ.,ㅜ



그리고 숙소는 아구스로 갔는데

음....

저렴한거 감안하면 그냥 그냥 중간정도 만족합니다

풀도 생각만큼 크고 깨끗했고

사람도 붐비지 않고

하지만 타월주는거랑 튜브 빌려주는거....

도대체 어디서 빌려준다는건지 ㅋㅋ

그리고 여기 아구스 아침식사는 영~~손도 못댈정도니

꼭 컵라면 같은거 싸가세요~





마지막날 시내 관광 역시 조촐하게 볼만했구요

쇼핑도 3군데 정도 갔는데

저희 루시 가이드님은 자유롭게 구매할수 있도록 많이 배려해주셨어요

그래도 루시 생각해서 저희는 코코넛오일이랑 먹거리 몇개 샀는데

라텍스는 도저히 너무 비싸서 엄두도 못내겠더라구요

오일은 지금까지 별 트러블없이 잘 쓰고 있습니다

선물로도 좋구요



이렇게 써 내려가다 보니 또 가고 싶네요^^

암튼 세부 추천해드릴만한 관광지니 안가보신분들은 꼭 한번 가보세요



그리고 루시!~~

항상 건강하세요"
필리핀 세부~,"엄마와 함께한 세부여행~

필리핀이란 나라에 너무 큰기대를 한다면 ~ 실망할거예요...

하지만 편안하게 생각하시고 다녀오심 만족하실것 같아요.



먼저 항공기는 저가정책 항공기 다워요~.

기내서비스! 없다~ 생각하시고 필요한것 챙겨서（간식거리）오르시면 됩니다.

특히 담요나 간식 필요하심 가져가세요. 하지만 짧은 비행시간이라 힘들진 않았어요.

음악은 mp3가져가고 읽을거리 가져가면 금방이예요 약 4시간~



담은 호텔（알프하임 풀빌라）은 풀빌라에 넘 기대마세요.

풀빌라치곤 넘 싸잖아요..

장점은 개인 수영장이 있고 욕실도 넓고 방도 적당합니다. 하지만 부대시설

이 좀.... 저는 갠적으로 아침식???블랙커피가 없어서 아쉬웠어요. 워터파크 뭐이런거 없습니다.

하지만 프라이빗 공간 이 좋아요. 객실수도 많지 않아서 여러사람과 마주치는 피곤함（?）도 없고

나름 개인수영장도 깨끗하게 관리해줘서 저녁에 별보며 수영하고 넘 좋았어요..



담은 선택관광과 가이드 ~

가이드는 루씨! 친절하고 요구사항에 적절히 응대해줘서 넘 좋았습니다. 감사~

선택관광에 스파+스톤마사지 만족합니다. 하지만 가격이 좀 너무나 너무나 비싸용~

하지만 받고나니 만족합니다. 하지만 전신마사지는 정말 최악입니다.

제가 마사지를 좋아해서 전신마시지와 스파+스톤 두가지 선택했는데

정말 최악과 최상이라고 함될까요...

나머지 어메이징은 알카자처럼 큰쇼는 아니지만 아기자기 재미있었어요..

호핑은 바다가 넘 아름다웠습니다. 만족



전체적 여행은 만족합니다.

하지만 호텔의 서비스 （고객입장의 티준비와 개인수영장에 파라솔~ 등）와 여러 기념품가게는

썩 유쾌하지 못했어요.

식사는 그저 그랬지만 엄마는 괜찮다고 하시네요~

하지만 노랑풍선여행사와 함께한 세부 만족합니다. 처음 예약직원의 세심한 배려와

여행지의 가이드 까지 만족~"
필리핀세부,사진 오른쪽에 요새가있는데 이사진은 보기십게 축소해서 만들어놓은것이다.
필리핀세부,"식사와 민속공연을 펼치는 레드코코 민속공연장 전경을 촬영 하였다.



원통형으로 바갓쪽으로 식사를 할수있는 테이블이 사진에 보이는것과 같이



설계되어있으며 중앙 무대에서 무희들이 공연을 펼치는데 관광객은 바갓쪽의



테이블에서 식사를하면서 미속쇼를 감상한다.



공연 후미에 민속쇼가 끝나면 우리나라 원더걸스의 노바디와 몇곡의 우리나라



음악에 맞춰 신나게 춤을 추면서 관광객들도 같이 춤을추며 한데 어우러저



한바탕 춤을 추고 공연을 마감하는데 그런대로 볼만하다고 생각된다.



레드코코 민속공연장에 날씨가 어두어지니 관광객들이 한나 둘 모여들고있다.



관광객 모두가 우리나라 사람이다.



레드코코 남녀 단원들이 음악에맞춰 민속춤을 추고있다."
세부여행 실망했어요,"세부 너무많은 기대를 가지고 출발했다. 공항에 도착해서 세부퍼시픽 항공의 비행기에 올랐다. 비행기 안의 좌석에는 전부 한국사람 뿐인데 한국어로 안내를 해주는 사람은 아무도 없고 언어가 통하지 않아 나이가 든 우리 입장에서 답답하다. 비행기가 출발 기내식이 없어 저녁을 제대로 먹지 못해 배가 고파 비행기 안에서 파는 컵라면과 빵을 먹을려고 주문하니 컵라면 하나가 3달러, 한국에서 500원하는 단팥빵이 1개에 3달러 이거 무슨 말도 안되는 소린가 너무 황당하여 주문을 취소하고 2달러에 음료수를 하나 샀는데 맛이 너무없어 먹지도 못하고 비행기가 출발해서 3시간쯤 지났을까 갑자기 비행기 요동을 치며 흔들리기 시작하는데 탑승객 모두는 무서워서 어쩔줄 모른다 기내 어디서도 한국어로 왜그런지 방송이 없다. 지금까지 비행기를 여러번 타 보았지만 이런 서비스는 처음이다. 필리핀에서 한국을 너무 무시 하는것 아닌가 생각이 든다. 막탄공항에 도착하니 시설도 엉망이다. 기대가 한순간에 무너져내린다. 숙소에 도착 더워서 샤워를 하고나니 물이 장난이 아니다. 생수로 마무리하지 않은면 안된다. 아침에 일어나 식사를 하러갔는데 빵1조각, 토스트 1조각, 이게 아침식사인가

관광, 음식, 각종시설 어느것하나 맘에 드는게 없다. 단, 하늘과 바다를 빼고는 세부에 여행을 계획하고 계신분 참고하세요 씨푸트, 레드코코 우리입에 안맞고 아일랜드호핑투어, 어메이징쑈 등 각종 선택관광 기대하지 마시고 가시는게 좋을것입니다. 그리고 가실려면 먹을것을 충분히 준비해서 가세요"
필리핀세부,"마리바고불루워터 리조트 비치 이름 그대로 파랏고 맑은 물의 비치다.



비치."
필리핀세부,"호핑 투어를 즐기다가 잠시 배를 잡고 쉬고있다.



호핑투어 나온 방카 （배）



호핑 투어를 나온 방카 （배）들은 일렬로 정박해있다."
필리핀 세부,"리조트 비치 풍경



리조트 비치 풍경"
