country,cleaned_sentences
코타키나발루,코타키나발루 5일 날씨 쾌청하다 친절하다 열정 킹콩 안전하다 재미있다 관광 고맙다 당당하다 체구 우렁찬 목소리 동분서주 기운 데리
코타키나발루,코타키나발루 김재훈 수기 비싸다 가격 가족 끝내주다 풍경 날씨 멋지다 리조트 알차다 선택 관광 행복하다 김재훈 친절하다 꼼꼼하다 정운영 멋지다 사진 세심 즐겁다 여러 가족 팀별 시어머니 의미 추천 항상 건강하다 가족 추억 계시다 항상 건강하다 행복하다
코타키나발루,김재훈 즐겁다 코타키나발루 베스트 압둘라 해양 공원 스노 쿨링 워킹 선택 관광 반딧불 안전하다 사고 재미있다 스노 쿨링 해수욕 반딧불 인상 맹그로브 불빛 이쁘다 반딧불 동화 황홀하다 광경 나발 루산 국립공원 선택 관광 나이트 선택 관광 바다 실컷 나발 루산 국립공원 맑은 공기 아름답다 경치 파인애플 달콤하다 맛있다 원안 유황 온천 휴식 취하 족욕 피로 아름답다 코타 발루 멋지다 사진 멋지다 공연 저녁식사 서비스 새우 숙소 기전 마켓 맛있다 한잔 서비스 시내 관광 쇼핑 센터 방문 비주 청사 코타키나발루 멋지다 건물 순간 자연 관광 도시 아름답다 쇼핑 센터 방문 인식 기회 통해 쇼핑 절대 강요 해당 제품 간략하다 소개 통해 제품 이해 필요하다 물건 퍼시픽 마젤란 굉장하다 조용하다 아름답다 풍경 고급스럽다 주변 수영장 친절하다 직원 항상 기분 아침 시작 한식 완벽하다 종류 다양하다 정성 느낌
코타키나발루,최고 코타키나발루 석양 코타키나발루 통해 즐겁다 호핑 반딧불 시티투어 스카이 열정 살이 말레이시아 관심 생기 쿠알라룸푸르 도전 가족 단위 명의 20 여성 감동 친구 제일 즐겁다 기억 귀국 해피 감동 사진 행복하다 한해 2020년 행복하다
코타키나발루,코타키나발루 이윤재 5일 코타키나발루 엄마 세자매 이서 이윤재 기억 코타키나발루 유명하다 이쁘다 배경 사진 굉장하다 기대하다 손수 소품 포즈 구도 이쁘다 사진 예쁘다 사진 전문 신경 대단하다 반딧불 반딧불 직접 아프다 휘저 반딧불 깜깜 반딧불 이의 불빛 예쁘다 쇼핑 자유 정이 포함 유명하다 쇼핑 직접 추천 한국어 명소 표시 지도 자유 알차다 마사지 코타키나발루 호객 행위 심하다 부탁드리다 검증 예약 만족 특별하다 신경 버스 시티투어 재밌다 얘기 입담 장난 빵빵 재밌다
코타키나발루,코타키나발루 레시아 세라 편안하다 즐겁다 재미나 즐겁다 스케줄 프리 편하다 우기 유명하다 선셋 유쾌 상쾌 통쾌 세라
코타키나발루,김재훈 행복하다 코타키나발루 코타키나발루 힐링 계획 데이빗 배정 다행 위축 느낌 아침 픽업 물어 마다 재치 다양하다 지식 소화 능력 짱짱 편하다 소화 역사 선생님 데이빗 행복하다
코타키나발루,코타키나발루 다니엘 코타키나발루 환상 호핑투어 자체 바다색 하늘색 멋지다 마무 얕다 물고기 물고기 바닥 곰치 물고기 스쿠버다이빙 수영 스쿠버 친절하다 안전하다 재미있다 속도 반딧불 움직임 다니엘 반딧불 유혹 계속 대단하다 편하다 감상 날씨 그림 선셋 다니엘 사진 끝장 선셋 사진 화보 진짜 화보 주심 개그 심리테스트 과정 계속 심심하다 얘기 다니엘 다니엘 다니엘 수고 지인 1월 코타키나발루 난리
코타키나발루,코타키나발루 코타키나발루 시작 비행기표 비상구 좌석 편하다 넥서스 리조트 첫날 침대 배드 첫날 자고 달라 더니 깨끗하다 오래되다 직원 친절하다 조식 리조트 수영장 주변 경관 바닷가 수영 즐겁다 이틋날 산호섬 구경 해산물 바베큐 맛있다 선택 관광 맹그로브 가성 제공 비빔밥 한식 부폐 별로 반딧불 체험 어린시절 기분 전반 즐겁다
코타키나발루,코타키나발루 가족 안전하다 행복하다 아들 코타키나발루 전체 성인 아들 10월 13일 17일 5일 검다 휴일 가게 크게 1일 10월 13일 밍가 1일 목적지 코타키나발루 밍가 인천공항 들뜨다 가족 코타키나발루 고고씽 2일 10월 14일 호핑 시작 오후 자유시간 배타 이동해 특색 안전하다 호핑할 사이먼 물건 분실 편하다 물고기 해양 티비 워킹 우려 달리 안전하다 재미있다 체험 자랑거리 추가 막내 작다 수중 헬멧 스쿠버다이버 안전하다 서리 즐겁다 체험 물고기 니모 체험 2일 오후 자유시간 이마 탐방 3일 오전 자유시간 시내 고고씽 2일 오후 택시 인원 선택 이마 쇼핑몰 민속 공연 저녁 울드 아웃 식당 쇼핑몰 다리 파서 쉬엄쉬엄 쇼핑몰 택시 밍가든 링깃 2700원 할증 안전하다 3일 10월 15일 오전 시내 오후 선셋 반딧불 택시 고고씽 가격 링깃 유명하다 수집 날인 사정 옆옆 맛집 고고씽 맛있다 추천 주문 가운데 인분 점원 추가 무시 가족 어마 무시 먹방 맛있다 3일 오후 선셋 반딧불 시작 선셋 배타 구명조끼 필수 석양 포인트 인생 직접 사진 대포 사진기 신분 아름답다 장소 우기 날씨 화창하다 반딧불 사진촬영 금지 반딧불 마음속 저장 4일 시내 중국사 구청 야시장 구경 우기 모스크 사원 가까이 차안 중국사 화교 말레이시아 영향력 오든 신나다 길다 1시간 야시장 사이먼 제공 얼음 망고 주스 야시장 시작 와이프 맛사지 큰아들 가면 공부 석양 항상 사이먼 안전 강조 꼼꼼하다 안전하다 행복하다 말레이시아 태형 제도 납치 음식 장난 제도 필요하다 더더 안전하다 사이먼 공항 스타벅스 맥도날드 무조건 잡고 명언 명불허전 코타키나발루 공항 출입국 통과 단점 최대한 루트 새롭다 루트 도전 가족 최고 선택 세번 가족 원사 형제 아빠
