country,cleaned_sentences
터키,터키 가슴 9일 상편 터키 9일 지난 아침 10 운전 차도 어색하다 느낌 아침 피곤하다 아침 출근 새삼 마음속 똑같다 상속 허락 모닝커피 한잔 터키 소감 진영 터키 나이 32 결혼 아빠 주말 부부 생활 친구 후배 일반 와이프 친구 간다 현주소 불가능 가깝다 함수 관계 공식 결론 결과 마냥 즐겁다 와이프 배려 먼저 서두 전하 11시간 부화 과정 통해 이스탄불 마음속 터키 머리 이스탄불 제국 수도 서양 문화 교류 중심지 블루마블 게임 노란색 도시 기억 먼저 이름 국적 신비하다 매력 높다 싸늘하다 아침공기 술탄 흐메드 사원 차안 이스탄불 도시 거대하다 충분하다 수많다 붉다 은색 지붕 가득 보스 해협 유럽 아시아 터키 도시 거대하다 모스크 버티고 오벨리스크 술탄 흐메드 사원 하물 저장 카프 궁전 그랜드 바자 오스만제국 역사 한눈 2005년 10월 라마단 기간 차도르 여자 자주 생소하다 종교 신념 익숙하다 터키 종교 관심 개인 종교 종교 가치 높이 평가 99 이슬람 종교 터키 가입 터키 존재 가입 고민 거리 경제 종교 이슬람 역사 오스만제국 경험 배제 제일 가치 지난 끼리 전쟁 통해 반성 공동 번영 노력 유럽인 의지 해답 역사 경험 앙카라 터키 수도 면서 무스타파 케말 아타튀르크 영묘 터키 국민 국부 케말 가치 터키 전쟁 오스만제국 몰락 자칫 그리스 뻔하다 일부 영토 회복하다 터키 공화국 세운 스타 케말 이기 업적 원칙 문자 개혁 개혁 주의 노선 주의 정교분리 원칙 정교하다 원칙 이슬람 터키 칼리프 이슬람 최고 지도자 위상 반대 진압 주의 이슬람 사회 충격 오늘날 사회 지향 사회 혼란 시기 독재자 가능하다 터키 국민 아타튀르크 국부 칭호 10월 터키 가을 인지 카파도키아 가을 단풍 괴석 신비하다 가을 단풍 정취 매력 충분하다 느긋하다 구경 어색하다 싸늘하다 날씨 4일 친구 아팟다 닥터피쉬 회복 시점 끼리 숙소 마을 윌깁 배회 거리 학생 신기하다 외국 구경 느낌 색다르다 계획 근처 손발 서투르다 영어 40분 상의 코스 선택 가게 어제 구유 지하 도시 계곡 가게 계곡 단풍 절경 시냇물소리 탄압 기독교인 생활 교회 벽화 비둘기 종교 가치 마음속 구도 과정 교인 고난 행군 감동 이기 종교 신념 기독교 이교도 이교도 세력 종교 부분 역사 아이러니 종교 시작 이단 종교 비종 교인 상대 인정 용이 필요하다 카파도키아 안탈랴 길다 감동 가을 겨울 여름 수가 단풍 물든 한가롭다 목동 무리 광활하다 벌판 아침 오후 안턀랴 지중해 깊다 푸른 빛깔 바다 매혹 지중해 기후 유럽인 최고 휴양지 바다 하늘 색깔 로만 홍도 이스탄불 고대 문명 유적지 리디아 문명 히에라폴리스 파물 레온 아르테미스 신전 에페소 트로이 터키 최고 거중 유적지 적음 실망하다 역사 현장 직접 자체 의미 천년 바다 육지 화려하다 문명 땅속 동상 기둥 역사 문명 장기 버스 벌써 완독 두껍다 역사 넉넉하다 음미 즉석 시원하다 오렌지 쥬스 한잔 아들 역사 공부 직접 후반 부로 터키어 여러 번하다 터키인 테쉐퀴르 날때 버스 직접 말로 최대한 터키 사람인 피곤하다 버스 탈때 부귄 피곤하다 덥다 에페소 유적지 생뚱맞 두껍다 땀낼 스작 스작 덥다 사진 취미 사진 사진 포토 케빌리 사진 포토 프므 체키빌리르 미시 30 40 번은 우랄 알타이 언어 방법 특징 아침 나이 메르 하바 익숙하다 만하 이스탄불 케밥 케밥 음식 딜리셔스 석양 등지 이스탄불 가로 크루즈 상념 터키 역사 민족 가능성 높다 형제 우린 남하 정착 농경 문화 중국 직접 영향 터키 투르크족 중국 경쟁 안좋다 말로 유목 국가 흉노 돌궐 서쪽 민족 융합 서구 변화 서쪽 서유럽 국가 경쟁 서유럽 훈족 셀주크 투르크 오스만투르크 성장하다 공포 경쟁 대상 터키 현주소 중국 서유럽 역사 강력하다 압박당하다 터키 역사 축소 왜곡 견제 대상 학교 중요하다 터키 터키 자체 가슴 기분 기도 반갑다 느낌 역사 소리 수가 심장 핏속 작다 울림 활기차다 가득 이스탄불 중심 거리 터키 터키 수고 태권 베이 운전사 알리 노랗다 문현정 깊다 말로 실상 진영 40 이하 비교 젊다 끼리 맥주 한잔 고맙다 아줌마 재밋 물건 자세 사진 상편 기대
터키,터키 가슴 9일 하편 전체 화면 1500 여장 느낌 사진 150 여장 편집 이쁘다 영상 주소 초과 경우 주소 복사 주소창 클릭 21 24 2005
터키,이스탄불 로맨스 터키 9일 10 16 10 24 이스탄불 로맨스 낚시꾼 여유 매력 도시 이스탄불
터키,트로이 몇개 지역 터키 9일 10 16 10 24 아시아 대륙 유럽 여유
터키,지중해 안턀랴 터키 9일 10 16 10 24 안턀야 하룻밤 자고 아침 일찍 일어나서 지중해 일출 태양 낚으려 낚시꾼
터키,파묵깔레 온천 지역 터키 9일 10 16 10 24 석회 용암 대의 온천 부족 초라하다
터키,터키 터키 9일 10 16 10 24 지하 동굴 인형 할머니 인형 몇개 파시 좋아하다 할머니
터키,카라반 실크로드 앙카라 터키 9일 10 16 10 24 카라반 대상 40 마다
터키,이스탄불 블루 모스크 터키 9일 10 16 10 24 블루 모스크 웅장 자체
터키,이스탄불 블루 모스크 주변 관광 터키 9일 10 16 10 24 하물 장고 메두사 머리 아름답다 가슴 아프다
터키,카파도키아 가을 터키 9일 10 16 10 24 삭막하다 가을 단풍
터키,고대 이오니아 유적 에페소 터키 9일 10 16 10 24 고대 도서관
터키,고대 이오니아 유적 에페소 터키 9일 10 16 10 24 에페소 거리
터키,특별하다 만남 터키 달콤하다 사과 터키 즐겁다 추억 이스탄불 바자르 5달러 구입 사과 한잔 행복하다 어쩜 행복하다 사과 차갑다 따뜻하다 추억 엄마 이모 터키 지난 중순 정확하다 9월 13일 잔뜩 11시간 버스 도대체 항공기 순간 순간 지금껏 최고 서비스 최고 탑승 승객 별로 우린 이스탄불 이스탄불 만난 윤다훈 귀엽다 첫날 우린 편안하다 즐겁다 하리 예감 즐겁다 터키 대자연 파도 파묵칼레 이름나다 관광 광활하다 웅장 자연 훼손 관광 자원 활용 터키인 지혜 천지 파묵칼레 댄스 데이 밸리댄스 공연장 공연 댄스파티 전세계 살이 할아버지 할머니 흥겹다 엄마 살짝 엄마 엄마 대답 즉석 망측하다 부럽다 부럽다 서울 춤좀 지중해 바다 눈부시다 아름답다 천추 터키 인상 한가지 국전 참전 할아버지 아들 식당 운영 국전 참전 당시 식당 데리 교과서 귀퉁이 사진 가보 액자 노인 25 전쟁 당시 인천 터키 노인 잡고 눈시울 붉혔다 드릴 노인 사진 한장 짠하다 버스 9일 짧다 트로이 목마 부선 버스 이스탄불 어느새다 가을 시작 아쉬움 이스탄불 며칠 탁터 피쉬 물고기 피부병 환자 유명하다 관광지 화두 근사하다 딱하다 아프다 엄마 이모 환자 족욕 무좀 무진장 좋아하다 터키 편안하다 즐겁다 비롯 피나 노력 아침밥 습관 아침 아침 언니 목소리 엄마 이스탄불 한국인 조다훈 불렀슴 젊다 남자 하자 엄마 외국 젊은이 고맙다 다나 아쉬움 이스탄불 열흘 출장 명령 자료 조사 이스탄불 대답 이스탄불 지난 휴가 이건 진심 진짜 진심
터키,터키 안탈랴 지중해 바다 색깔 랗다
터키,터키 시바스 캉갈 닥터피쉬 온천 계곡
터키,터키 블루 모스크 사원 화려하다
터키,터키 카프 궁전 요리 굴뚝 리나 공장 굴뚝
터키,터키 카파도키아 만화 스머프 영감 터키 카파도키아 샤바 대한항공 7월 31일 열흘 터키 카파도키아
터키,터키 방문 터키 갔드 대통령 영부인 환영
터키,중독 터키 최종회 아담 이브 보스포러스 장소 드럼 가까이 블루 모스크 소피아 배낭 유적 거리 광장 공원 비잔틴 시대 전차 경기장 드럼 드럼 야경 공원 유적 모양 가로 120 세로 400 크기 10만 좌석 계단 양옆 드럼 흔적 오벨리스크 우뚝 오벨리스크 오벨리스크 기원전 15 이집트 투투 모스 태양신 비문 룩소 로마 황제 테오도시우스 스탄 티노 390년 수송 파손 현재 20 받침 대리석 테오도시우스 황제 전차 경기 승자 월계관 장면 경기 관람 장면 조각 오벨리스크 뒤쪽 기둥 마리 꽈배기 모양 기둥 그리스 도시 국가 연맹 페르시아 전쟁 승리 기념 페르시아 청동 무기 델피 아폴론 신전 세기 콘스탄틴 황제 드럼 꼬르륵 꼬르륵 점심 소리 탈진 식당 맛있다 식당 직접 화덕 신기하다 구경 동글동글 테니스공 크기 화덕 럭비공 오른 온갖 색깔 야채 달콤 터키 터키 맛있다 음식 즐거움 라나 점심 거리 구경 블루 모스크 블루 모스크 술탄 아흐멧 모스크 푸른 지붕 블루 모스크 블루 모스크 입구 머리 장수 주위 터키 아줌마 검다 옛날 장수 둥그런 간식 거리 달라 하니 머리 직접 안대 판다 블루 모스크 햇빛 지붕 파랗다 이름 아야소피아 모방 세운 회교 사원 이스탄불 제일 제일 사원 좁다 모양 쇠사슬 엉거주춤 퀴즈 쇠사슬 대답 황제 머리 장식 물이 머리 단순하다 외벽 세월 모스크 사용 신발 블루 모스크 입구 신발 수첩 볼펜 비닐 주머니 쾌쾌 냄새 터키 냄새 냄새 냄새 편드 신발 기도 냄새 리가 모스크 스테인드 그라스 화려하다 독특하다 모양 램프 키보 높다 블루 모스크 바닥 크기 모양 인용 실크 카펫 기도 기도 조용하다 여자 기도 기도 엉덩이 남자 보지 아예 기도 무슬림 뒤로 옆문 나오니 빨갛다 건물 아야소피아 소피아 대성당 아야소피아 박물관 아야소피아 동생 누나 소피아 군밤 장수 군밤 소피아 불가사의 건축물 비잔틴 시대 교회 오스만 터키 시대 모스크 현재 박물관 사용 건물 390년 목재 화재 소실 교회 테오도시우스 황제 명령 드럼 마차경기 도중 반란 파괴 현재 건물 지은 유스 티니안 황제 537년 완공 교회 기둥 에페소 아르테미스 신전 이집트 황제 대관식 전쟁 승리 축하 장소 사용 1204년 십자군 전쟁 십자군 약탈 대상 기도 건너 소피아 정문 이르렀다 복스럽다 낮다 지붕 사원 종교 흔적 지니 회교 사원 사우디아라비아 메카 모스크 미랍 메카 조물 방향 아야소피아 기둥 큼지막하다 원판 인상 글씨 중국 일본 사용 비잔틴 대의 모자이크 벽화 오래되다 회색 칠하다 복원 모자이크 소피아 성당 모스크 모자이크 벽화 횟가루 비잔틴 황제 하느님 그림 다행 아타 트루 대통령 박물관 모자이크 기독교 문화 이슬람 문화 소피아 그랜드 바자르 시장 가야 한단 그랜드 바자르 그랜드 바자르 입구 그랜드 바자르 도중 주의 사항 첫째 물건 무조건 둘째 물건 서로 비싸다 속상하다 그랜드 바자르 시장 이란 근처 주차장 대형 버스 남대문시장 물건 다양하다 선물 기념품 적당하다 먼저 카펫 구경 헤레케 실크 카펫 유명하다 솜털 부드럽다 여러 종류 사과 알라 곳곳 버스 터키 말로 한국말 대답 달러 달러 동생 곧바로 터키어 세용 파사 미나 가볍다 부드럽다 양모 머플러 우리엄마 좋아하다 친척 선물 색깔 예쁘다 스럽다 좋아하다 예쁘다 터키 찻잔 크기 작고 허리 잘록하다 터키 찻잔 모양 차갑다 식지 흥정 출국 직전 공항 아줌마 세트 예쁘다 티스푼 주네 터키 가족 찻잔 사과 이스탄불 중심 거리 탁심 광장 식당 터키 한식 김치 우린 분주하다 탁심 광장 뒤로 공항 이스탄불 5000년 인류 역사 앗시리아 그리스 로마 기독교 비잔틴 이슬람교 문명 진수 시내 중심 빼곡 거대하다 옥외 박물관 다웠다 아타 투르크 공항 아쉬움 어느새다 인천공항 차갑다 바람 맞이 영종대교 어느새다 가족 여행가 연습 노래 거북이 빙고 이민 따윈 한적 비상하다 구름 하늘 행복하다
터키,터키 찻잔 허리 부분 잘록하다 모양 식지 터키 찻잔
