country,cleaned_sentences
필리핀,마닐라 현우 장님 특별하다 첫날 황제 총리 마닐라 필리핀 인식 순수하다 자연 경관 간직 폭포 여정 인상 따갑다 호수 여정 원주민 작다 손목 못내 기회 필리핀 방문
필리핀,4일 필리핀 마닐라 부부 4일 날씨 즐겁다 경험 분화구 호수 조랑말 1시간 30분 폭포 거슬러 카누 레프팅 사공 직업 가슴 뭉클하다 선택 옵션 88 스프링 마닐라 시내 마차 새롭다 경험 가깝다 필리핀
필리핀,마닐라 4일 마닐라 20190208 2019 02 11 교수 재직 좋아하다 30년 우연찮 인연 동일하다 필리핀 66 개국 역사 피리 계기 건물 현대차 필리핀 과정 필리핀 부강 헀던 과정 부강 크게 발전 내용 필리핀 여성 남성 드라마 좋아하다 과정 틈틈하다 버스 인상 필리핀 유명하다 과정 말타 과정 멋있다 상봉 화산 이중 호수 경치 말로 형용 아아 놀랍다 엉덩이 꼬리뼈 부분 쓰라리다 안장 상처 3일 지난 쓰라리다 꼬리뼈 힐수 수건 엉덩이 받침 전달 폭포 가기 보트 고생 스럽다 안쓰럽다 폭포 직접 쾌감 이루 패댕 달라 헀다 10 제사 미안하다 남원 운영 노천 놨다 리조트 설계 필리핀 색다르다 건물 출입구 권총 경비원 출입 보완 검사 실시 3일 소피텔 식당 분할 항상 소티텔 아침식사 무얼 신기하다 한식 계획 조정 재치 조정 재치 무난 공항 공항 방법 종류 수고 용선 수고 즐겁다
필리핀,필리핀 마닐라 신은수 즐겁다 데리 짧다 기간 즐겁다 중요하다 부분 역할 동반 고려 카지노 방문 대신 제안 폭포 카누 따갑다 조랑말 탈때 가족 사진 주시 세심 인상 깊다 참여 가족 가족 전용 차량 전용 호사 마닐라 신은수 즐겁다 성공하다 것로 멋지다 외모 매너 항상 손님 배려 주시
필리핀,마닐라 최악 조식 1일 아침 순두부 점심 쌈밥 저녁 삼겹살 제육 2일 아침 조식 점심 쌈밥 저녁 불고기 제육 3일 아침 조식 점심 항의 항의 지식 필리핀 10년 교민 3일 행온 한식 한식 동태 찌개 2일 폭포 옵션 온천 최악 대형 쇼핑몰 아예 잡화 사라 잡화 물품 종류 원하다 필리핀 쇼핑 헤어 과자 아예 사려 편의점 커미션 일부러 계속 쇼핑 어필 잡화 한국인 특성 옵션 쇼핑 개도 아깝다
필리핀,7월 28일 8월 1일 극성 수기 마닐라 7월 28일 8월 1일 극성 수기 마닐라 16 대가족 부모님 조카 가족 매년 1년 가족 신경 부분 편안하다 기간 불편하다 결론 여러가지 편안 불편하다 부모님 케어 고맙다 박경수 소장 필리핀인 고맙다 쇼핑 강매 옵션 강매 정보 제공 선택 필리핀인 부모님 고맙다 가족 필리핀 보조 사진 구매 필리핀 마닐라 상당하다 덥다 지역 덥다 날씨 적당하다 날씨 폭포 감상 유일하다 단점 교통경찰 섭외 빠르다 박경수 소장
필리핀,마닐라 마닐라 최고 여행지 항상 식구 항상 학교 학부모 상담 선생님 엄마 직장 괴롭다 표현 비밀 노트 넌지시 비밀 노트 비밀 노트 학기 부모님 거짓 표현 노트 부모님 맘껏 출하 시작 노트 노트 순간 소나기 선생님 막내딸 엄마 애착 형성 형성 일도 중요하다 심정 추억 제안 추억 해외여행 난뒤 단둘 이의 근심 배려 예의 기사 유쾌하다 즐겁다 작성 아담 최고 지루하다 유머 재치 겸비 재미있다 관광 시원하다 계속 망고 사비 듬뿍 사서 맛있다 고객 웃음꽃 필수 해외 종종 공항 간단하다 아담 가시 인사 티켓 자세하다 친절하다 기사 단둘 두렵다 근심 훌훌 사진 요청 안해 진심 감동 담번 식구 가게 아담 기사 바램 거품 아담 기사 격려 박수 전달 항상 건강하다
필리핀,마닐라 즐겁다 연휴 3일 03시 15분 필리핀 마닐라 베네룩스 새벽 날짜 계산 바람 급하다 필리핀 새벽 낯선 사이 장현 미국 이름 즐겁다 박학 다식 마닐라 곳곳 코코넛 파이 열대과일 시식 마닐라 방역 문제
필리핀,엄마 마닐라 차장 마이크 하트뿅뿅 매일 바쁘다 티비 하늘 일찍 퇴근 여기저기 채널 홈쇼핑 그요 마닐라 거기 국적 다주 299000원 전화기 엄마 마닐라 서막 필리핀 계엄령 위험하다 마닐라 전혀 위험하다 위험하다 계시다 절대 위험하다 아침 꼭두새벽 일어나서 인천공항 체크 수화물 붙이 문해 화장품 벌써 탑승 진짜 지모 벌써 엄마 하늘 라그 기내식 음료수 엄마 수다 벌써 마닐라 마닐라 덥다 덥다 비도 덥다 필수 에어콘 빵빵 진짜 오들오들 먼저 금강산 후경 관광 시작 공원 차장 한국인 간략하다 인증샷 마이크 사진 마닐라 대성당 관람 마차 시내 바퀴 곳곳 인증샷 찍그 재밌다 시내 관광 어요 진심 차장 역사 공부 강추 방송 쏙쏙 차장 알곘더라그 관광 마닐라 중심 잡고 복합 리조트 카지노 관광 2천 룰렛 30초 2천 하늘나라 카지노 즐겁다 즐겁다 지노 과일 시장 방문 매일 해동 망고스틴 생으로 10달러 어치 사서 숙소 꼭두새벽 일어나서 고단 첫날 숙소 기절 따갑다 화산 날로 9시 로비 따갑다 조랑말 8만원 결재 동물학대 아예 결재 막상 선택 관광 무조건 선택 관광 그요 식당 다르다 조랑말 산꼭대기 이모 8만원 포함 거랍니 식당 결재 저렴하다 막상 조랑말 조랑말 미안하다 번은 그요 선택 관광 지안 천지 따갑다 관광 마닐라 베이 나이트 산미구엘 정표 보니파시오 산미구엘 필리핀 빈부격차 한편 간정 자유시간 글로벌 브랜드 진짜 쇼핑 진심 대비 40 저렴하다 라그 확실하다 면세 안녕 폭포 날로 그날 9시 로비 폭포 필리핀 명물 부코파이 일명 코코넛 파이 따끈따끈하다 계란빵 부드럽다 맛있다 휴게소 코코넛 쥬스 쥬시 진짜 휴게소 스타벅스 음료 버스 코코넛 쥬스 진짜 차장 쏙쏙 역사 진짜 벌써 그요 점심 카누 폭포 우비 어차피 몽땅 폭포 체험 재밌다 폭포 헬멧 재밌다 폭포 체험 88 온천 선택 관광 노천온천 과자 팔고 노래 온천 천안 식당 저녁 비행 오전 7시 로비 여야 기절 7시 로비 쇼핑 센터 군데 방문 노니 비누 워낙 유명하다 노니 비누 쇼핑 센터 후다닥 방문 4일 고생 마이크 사진 출력 인화 사진 마이크 4일 고생 이정 지출 추억 사고 핸드폰 사진 출력 유치하다 공항 인사 진짜 회원 가입 100 차장 마이크 꾹꾹 참고 진짜 차장 마이크 추억 역사 공부 신분 마닐라 가면 차장 마이크 지정 지정
필리핀,마닐라 마틴 감솨 20 23일 마닐라 큰딸 스트레스 위염 고생 마틴 주시 공항 티켓 바람 당황 공항 마닐라 공항 여권 마틴 역사 해박 지식 제아 연세 어르신 재미있다 쏙쏙 솜씨 말씀 마닐라 가격 대비 가족 친구 모녀 부부 끼리 가도 숙소 가격 이쯤 마틴 구상 거기 연락 친구 가보 렵니
