country,cleaned_sentences
하노이,하노이 나트랑 다낭 김동현 대리 즐겁다 가족 성탄절 인천공항 일상 정신 제목 작년 베트남 하노이 노코멘트 웃음 선택 관광 쇼핑 구매 마침 부부 천원 물소 주걱 데리 고간 쇼핑 화가 선택 관광 너무하다 하소연 울분 웃픈 이틀 친절하다 3일 공항 않았더랬 베트남 이미지 음식 가족 올해 5월 나트랑 사건 두려움 안고 자유여행 했었더랬 항공 숙소 맛집 맛사지 이주일 정보 수집 나름 알차다 택시 어플 가깝다 거리 구글지도 무작정 정작 극기훈련 다낭 애초 작정 여기저기 비교 분석 했더랬 다낭 호이안 공통 바나 포함 숙소 꼼꼼하다 결정 이유 보지 맛집 지식 보통 어설프다 한식 김치찌개 무한리필 삼겹살 불고기 불만 이었더랬 한식 맛없다 무늬 한식 맛집 중학생 학원 12 21 23 05 12 22 02 00 12 25 03 00 12 25 10 15 하필 탑승 승객 탑승 20분 나니 공항 사정 40분 1시간 피곤하다 이루 다낭 공항 김동현 대리 종이 착하다 얼굴 반갑다 가방 첫인상 아시 공항 수가 계시다 한국말 버스 하니 김동현 대리 계시다 3시 30분 피곤하다 반갑다 얼굴 피곤하다 고생 체크 해주시 자유여행 이유 자유여행 졸리 피곤하다 직접 체크 영어 아침 약속 가면 정표 손글씨 정표 살짝 감동 인쇄 종이 무지 친근하다 김동현 대리 경력 개월 짧다 최선 얘기 믿음 신혼여행 최소 10 번은 경험 경력 손님 느낌 리버 조식 대단하다 만족스럽다 쌀국수 강하다 맛있다 초딩 중딩 충분하다 종류 첫날 바나 마사지 기본 먼저 새벽 가족 피로 맛사지 지경 맛사지 김동현 대리 서비스 음료 마음껏 베트남 커피 스무디 맛사지 하노이 나트랑 시원하다 다낭 스타일 나트랑 직원 끼리 수다 어수선하다 깔끔하다 고급스럽다 맛사지 호불호 시작 선택 가능하다 추가 맛사지 추가 맛사지 추천 김동현 대리 조정 출국 맛사지 개운하다 맛집 음식 전문식 참고 식구 모네 구포함 초딩 중딩 학교 동창 모임 오신 언니 연세 보이시 가족 모임 10 24 다행 인원 천만다행 베트남 좋아하다 가족 쌀국수 월남쌈 맛있다 솔직하다 쌀국수 맛없다 일부러 지식 솔직하다 맛있다 소개 음식 컨셉 지식 베트남 음식 좋아하다 흔하다 지식 한식 추천 컨셉 아예 어르신 김동현 고생 바나 골든 브릿지 워낙 유명하다 특별하다 필요 다낭 12월 옷차림 유투브 블러 어마어마하다 베트남 겨울 춥다 얘기 얇다 두껍다 김동현 대리 강조 날씨 행운 겨울 우기 특별하다 오지 5일 여름 반바지 아침 살짝 가디건 버스 오후 바나 바지 두껍다 바지 필요 바지 가디건 바람 점퍼 살짝 온도 두껍다 입구 온도 차갑다 구름 산이 지식 뷔페 리뷰 얘기 김동현 서도 얘기 인지 맛있다 입구 코너 치킨 맛있다 어구 새롭다 굴속 감자 크로켓 맛있다 첫날 선택 관광 한강 유람선 추천 주말 저녁 9시 불쇼 지상 다리 끝쪽 구경 유람선 유유 강바람 선장 시작 편하다 숙소 시원하다 바람 이벤트 추천 초딩 중딩 좋아하다 계시다 럭스 테이 픽업 까오다이 사원 새롭다 종교사 앙증맞다 작다 유명하다 핑크 성당 정부 입장 금지 대요 성탄절 행사 김동현 전날 공지 정이 가능하다 아트 센터 정표 컨셉 데리 항상 재밌다 어르신 좋아하다 에어컨 실내 메리트 넓다 포인트 출구 카페 김동현 코코넛 커피 진짜 맛있다 점심 정식 쎄다 베트남 부침개 개인 제일 좋아하다 음식 솔직하다 오리 지식 강하다 입맛 까다롭다 초딩 조카 희다 쌀밥 부탁 한국사 장님 식당 부탁 희다 쌀밥 단무지 다행하다 숯불 고기 입맛 고기 야채 리필 가능하다 친절하다 오행 동굴 구경 살짝 굴속 덥다 진짜 상상 덥다 후다닥 사진 버스 말씀 대리석 산이 동굴 계단 미끄럽다 코코넛 마을 바구니 체험 재밌다 체험 트로트 음악 클럽 인양 대고 어설프다 트로트 배위 공연 햇빛 뜨겁다 우산 주시 그늘 해주시 친절하다 재밌다 바퀴 망고 넉넉하다 사서 주신 맛있다 코스 작다 도자기 마을 서서 본인 모양 동물 피리 도자기 선물 그거 항구 작다 통통 배타 시원하다 호이안 동창 모임 오신 화기 애애 언니 아오자이 대여 말씀 저렴하다 대여 종일 반납 조정 사진 중딩 조카 아오자이 이쁘다 사진 호이안 이쁘다 동네 인터넷 사진빨 작고 복잡하다 이쁘다 사진 자유시간 길거리 반미 아이스크림 등불 사진 화장실 카페 코코넛 커피 짧다 호이안 지식 저녁식사 피자 음식 치킨 조림 음식 희다 쌀밥 맛있다 쎄다 별로 모닝 글로리 야채 볶음 진짜 맛있다 볶음 쌀국수 이상하다 소원 띄우기 주시 사진 소원 강물 작다 이벤트 수학여행 캠프파이어 초도 중딩 조카 나름 추억 일과 김동현 간단하다 퀴즈 단체 가위바위보 귀엽다 악세사리 선물 주시 즐겁다 숙소 확실하다 인사 가족 택시 롯데 마트 넓다 가격 저렴하다 볼거리 스마트폰 간단하다 영어 금액 차갑다 정보 정시 카카오 택시 간단하다 편하다 어플 방법 사용 방법 인터넷 40 아줌마 조식 로비 김동현 체크아웃 확실하다 해주시 버스 가방 실었어 점심 푸드 푸드 업그레이드 선택 다금바리 칠리 크랩 사진 다리 맛있다 식구 사이 최고 즐겁다 양도 식당 비치 해변 모래 사진 날씨 사진 이쁘다 라면 포함 쇼핑 노니 잡화 커피 전문 제일 김동현 절대 강요 먼저 하노이 당시 쇼핑 빈손 얼굴 말투 기억 부담 커피 전문 가방 가득 구매 롯데 마트 입장 옛날 비싸다 가격 제품 다낭 관광 코스 영흥 사진 마무리 관광지 항상 동행 가능하다 이쁘다 포토 사진 별로 24 사진 진짜 고맙다 25 성실하다 건실 청년 선택 추가 맛사지 2시간 편하다 확실하다 1시간 2시간 진정 맛사지 효과 기전 러브 브릿지 김동현 야경 이쁘다 젊다 쎈스 하노이 나트랑 보신 베트남 거리 느낌 횡단보도 절대 오토바이 서지 황당하다 연속 저녁식사 사진 마침 샤브샤브 스타일 음식 식구 어르신 맛있다 짧다 짧다 5일 구경 맛있다 음식 만족하다 빠듯할 결정 바나 코스 호이안 숙박 품선 식당 김동현 인원 힘드다 새벽 3시 먼저 신경 고맙다 공항 보관 서비스 금액 문제 직접 통역 영업 루프 빠르다 40 다낭 멋지다 야경 체크 공항 고맙다 인사 김동현 대리 친절하다 상담 여직원 강유 정씨 기억 토요일 본사 아예 통화 살짝 해외여행 돌발상황 당직 직원 야하다 길다 항상 사진 방법 수정
하노이,10 29 11 하롱베이 하노이 김경 부장 바쁘다 이제야 작성 10월 29일 하노이 11월 1일 출국 가족 부모님 기억 날씨 흠잡다 요런 베트남 친근하다 공부 기분 짧다 박일 정이 알차다 듭니 기억 하롱베이 선상 직접 만찬 진짜 새우 튀김 우럭 다금바리 부모님 몇번 적극 중간 중간 자유시간 담소 재밌다 차량 베트남 역사 본인 해주시 재밌다 항상 건강하다 추억 부탁드리다 김경 부장 기억 하노이
하노이,하노이 하롱베이 하노이 하롱베이 11 11 가족 19 초등 동창생 13 가족 부부 탁월하다 금방 친하다 가족 편안하다 베트남 역사 세심 먼저 관광 주어 이해 덥다 날씨 보충 과일 주어 피로 두번째 박성민 만난 행운 여행자 세심 배려 친절 19 전원 만족하다 박성민 보물
하노이,알짜 배기 코스 캄보디아 앙코르와트 베트남 하노이 하롱베이 보통 베트남 캄보디아 연결 캄보디아 야하다 멋지다 인류 문화유산 베트남 다낭 휴양지 007 장소 하롱베이 베트남 수도 하노이 코스 만족스럽다 날씨 5월 덥다 4월 아예 캄보디아 5월 여하튼 코스 문화유산 기억 남고 인생샷 여러 멋지다 기념품 선상 해산물 파티 음식점 점잖다 어르신 쇼핑 상황버섯 부담스럽다 사라 눈치 주시 막판 티켓 티켓 비용 비용 버스 비용 커버 저렴하다 가격 선택 관광 쇼핑 감수 부분 필요하다 위주 구입 부분 본사 시정 여하튼 적극 추천
하노이,베트남 수도 하노이 절경 하롱베이 30 대중 여자 솔직 짜오 안녕하다 해외여행 좋아하다 30 중반 여자 번은 해외여행 좋아하다 잘버는건 시무 참고 미혼 가능 한일 베트남 엄마 5년 남친 특이하다 조합 공항 푯말 버스 황신 계시다 첫날 하노이 사라 박하다 깨끗하다 조식 뷔페 만해 식이 맛있다 비밀 9시 로비 닌빈 명과 40 자매 따님 20 닌빈 쪽배 날씨 베트남 모자 비옷 물이 차서 계속 오신 백인 왓더 남자친구 장난 바디 헬미 하니 복불복 세차 리기 시작 비옷 장관 풍경 안개 몽실몽실하다 신비롭다 분위기 산신령 분위기 불구 가오니 찝찝하다 이뻣던 닌빈 비만 완벽하다 점심식사 지식 염소고기 부족하다 보충 하롱베이 선택 관광 지라 선택 관광 심산 다행 트러블 필요 몇개 제시 210달러 동의 베트남 전통 수상 인형극 재밌다 기대 도하 편안하다 야하다 베트남 전통 공연 하니 마사지 1시간 2시간 주심 마사지 마사지 운명 다행하다 엄지 피로 석식 파라다이스 뷔페 뷔페 쪗음 엄마 글코 남친 하롱베이 센트럴 럭셔리 하롱 급답 깨끗하다 주변 함정 자유시간 전혀 상관없다 과일 아깝다 망고 자몽 잭프룻 이름 과일 생수 항상 계속 마트 번안 꿀잠 자고 하이라이트 하롱베이 구경 끼리 서로 사진 풍경 예술 유네스코 등재 이기 만해 시원하다 바람 사진 실컷 선택 관광인 동굴 만해 넓다 멋지다 엄마 남친 진심 행복하다 웃음 사진 화기 장각 사랑 웅장 동굴 황신 엄마 스피드보트 작다 쪽배 원숭이 바나나 티톱 전망대 계단 남친 안감 알차다 다리 어질다 맛있다 음식 다나 계속 국도 새우 오징어 데친 피조개 엄청나다 배부르다 자유시간 2시간 반정 도리 고맙다 엄마 나이 신지 한숨 남친 22 수영장 수영 수영장 꼭대기 사진 찍기 햇빛 강하다 한시 간만 빈둥빈둥 로비 하롱 테마 파크 케이블카 대관람차 기네스북 등재 최고 타워 높이 230 명의 인원 탈수 케이블카 신기 신기 기네스북 등재 정표 어린이 청룡열차 놀이기구 분위기 화기 애애 엄마 무섭다 사악하다 정원 자유시간 짧다 사진 저녁 삼겹살 삼겹살 맛있다 삼겹살 사랑 마늘 야무지다 22 수영장 기억 칵테일 한잔 꿀잠 분위기 장하다 노래 직접 연주 분위기 이쁘다 야경 멋지다 칵테일 한잔 7천원 뭐때 문인진 20 할인 이서 칵테일 한잔 안주 2만원 잘맞다 한잔 쇼핑 센터 호치민 생가 무덤 찻길 첫날 기억 점심 아침 마사지 2시간 마사지 각질 제거 따끈하다 스톤 2시간 알차다 무언 남자친구 발톱 유일하다 발톱 다른사람 발톱 신기하다 만족도 높다 마사지 엄마 담당 마사지 애가 할머니 본인 기숙사 생활 버는데 개월 아기 하니 무아 파서 달라 덥다 작다 달러 고맙다 배웅 나이 작다 27 성숙하다 반성 저녁 뷔페 복잡하다 뷔페 후식 아이스크림 야간 시티투어 스트릿 놀이 공원 바퀴 마스크 호수 바퀴 시원하다 바람 노랫소리 흥겹다 분위기 지인 남녀 데이트 신나다 즐겁다 그립다 2일 저녁 배틀 트립 맥주 거리 주말 전세계 기와 정신 잘못 댕김 흥겹다 노래 즐겁다 축제 까페 코코넛 커피 한잔 커피 거절 자유시간 간정 버스 공항 뱅기 새벽 1시 45분 공항 11시 10분 다리 알차다 이공 만족도 좌지우지 문제 대처 무마 다해 아쉬움 안남 별로 만족도 높다 이쁘다 성격 여성 세분 고맙다 정이 다행 카톡 조만간 계획 인연 고마 출근 쉬는시간 중독 한페이 즐겁다 신깜언
하노이,하노이 하롱베이 옌뜨 5일 베트남 이창수 부장 9월 1일 9월 5일 5일 하노이 공항 시작 하노이 하롱베이 옌뜨 행복 가득 주신 이창수 부장 진심 안산 인천 이창수 부장 정겨운 씀씀이 해박 지식 베트남 아프다 역사 변국 과거 현재 자세하다 어렵다 힘드다 시절 축복 민족 소중하다 말로 하롱베이 티톱섬 아름답다 황홀하다 강추 이창수 부장 울림 지지 이창수 부장 부장 안녕 행운 부장 화이팅 꾸벅
하노이,하노이 옌뜨 하롱베이 가족 기대하다 달전 베트남 하노이 하롱베이 옌뜨 코스 선택 참고 베트남 여름 비성 수기 덥다 날씨 덥다 열악하다 하롱베이 파라다이스 최악 에어컨 복불복 위생 상태 별로 화장실 냄새 심하다 주변 카드 달러 사용 가능하다 사고 달러 무섭다 비싸다 베트남 이득 하롱베이 하이라이트 팩키지 6시간 에어컨 이유 에너지 에어컨 덥다 세상 창문 에어컨 에어컨 6시간 중요 포인트 인하다 위험하다 헝가리 사건 익숙하다 아무렇다 놀래다 해물 가짓수 비리다 더움 별로 추천 제발 에어컨 가능하다 음식 베트남 음식 위주 희다 음식 이점 선택 야간 신청 자전거 위험하다 사고 날뻔 소리 난리 베트남 진정하다 오토바이 매연 가득하다 도로 30분 목도 아프다 덥다 최악 야간 물건 비싸다 쇼핑 실패 참고 분과 최선 다해 재미 벌금 희다 하노이 데리 고생 고생 덥다 어쨋 부분 개선 참으로 추천 3000 여개 원숭이 멋지다 수고 좀더 만들기 고려 고맙다
하노이,일상 하롱베이 하노이 4일 베트남 아름답다 신비롭다 갈이 음식 큰일 아름답다 길잡이
하노이,하노이 하롱베이 닌빈 5일 이석현 실장 5일 피곤하다 편하다 이석현 실장 베트남 가게 이석현 실장 잘생기다
하노이,하노이 하롱베이 닌빈 5일 이석현 실장 만족하다 고생 이석현 실장 최고
