country,cleaned_sentences
호주,시드니 야경 포인트 시드니 오스트레일리아 뉴사우스웨일스 주의 주도 온화하다 기후 유명하다 영국 각료 시드니 경의 이름 시드니 이름 나름 기준 아름답다 휴양지 여유 로움 도시 북적 스럽다 시드니 휴양지 휴식 도시 화려하다 동시 도시 매료 아름답다 도시 야경 포인트 시드니 한눈 시드니타워 시드니 타워 야경 시드니 첫째 하늘 빗방울 실내 외부 관광지 풍경 좋아하다 아쉬움 여정 날씨 사진 촬영 결과물 리가 방법 회색 하늘 시드니 타워 오후 8시 7시 입장 마감 6시 30분 시드니 타워 위기 다행하다 입장 마감 타워 입체 안경 짧다 시드니 타워 시드니 화려하다 마주 시드니타워 높이 305 시드니 높다 타워 1981년 일반 공개 원형 전망대 시드니 전경 시드니 타워 하버 브리지 선호 도시 전망 포인트 헷갈리다 어딘 구글맵 한참 한눈 이해 순간 이기 1시간 사진 기억 시드니 야경 노력 첫째 시드니 하버 브리 아름답다 이드 파크 시드니타워 이드 파크 세인트 메리 대성당 아침 일찍 시드니 만난 이드 파크 실내 관광지 관람 이드 파크 시드니타워 이드 파크 공간 무언가 안심 기분 갈수록 이드 파크 흔하다 야경 파리 체코 헝가리 꼽는 파리 제외 체코 헝가리 시드니 지금껏 야경 아름답다 자체 주소 100 2000 오스트레일리아 야경 포인트 도심 이드 파크 이드 파크 시드니타워 시드니타워 한참 야경 7시 50분 야경 주위 직원 제외 영업 종료 허겁지겁 엘리베이터 엘리베이터 직원 카메라 시드니 사진 촬영 한국말 안녕 인사 인상 깊다 순간 기억 타워 시드니타워 헷갈리다 이드 파크 시드니타워 아치 볼드 분수 이드 파크 시드니 공원 지명 런던 이드 파크 유래 식민 시대 초기 스포츠 여가 공간 크리켓 경마 경기 공원 아치 볼드 분수 배경 사진 잔디밭 여가 한가하다 평온하다 주소 2000 오스트레일리아 야경 포인트 록스 도스 포인트 힉슨 로드 보호지역 도스 포인트 하버 브리지 록스 도스 포인트 힉슨 로드 보호 지역 시드니 아름답다 야경 선사 주요 포인트 시드니 북쪽 지역 하버 브리 오페라 하우스 사진 장소 언덕 벤치 시드니 아름답다 매력 시드니타워 고풍 다리 직접 대면 이롭다 시드니 야경 하버 브리지 시드니 유명하다 주요 야경 포인트 하버 브리지 연관 시드니 남부 지역 시드니 커플 스냅 사진 촬영 지로 시드니 천문대 도스 포인트 시드니 북부 지역 밀슨스 포인트 잡고 야경 촬영 시드니 오페라 하우스 로열 가든스 하버 브리지 포인트 7일 시드니 외곽 도심지 야경 부족하다 멋지다 풍경 포인트 하버 브리 철제 아치교 아치교 시드니 중심 상업 지구 북쪽 해변 사이 시드니 차량 자전거 보행자 교량 독특하다 디자인 인하다 지역 걸이 애칭 불리 역사 1923년 7월 28일 착공 1932년 3월 19일 개통 굉장하다 세월 시드니 대표 상징물 하나로 힉슨로드 하버 브리지 건물 뒤편 하버 브리지 시드니 하버 브리 진정하다 필수 코스 시드니 오페라 하우스 서큘러 방면 시드니 랜드마크 오페라 하우스 측면 시드니 야경 포인트 오페라 하우스 포인트 소개 오페라 하우스 장의 오페라 하우스 사진 이유 구도 차이 시드니 오페라 하우스 방향 전혀 주소 2000 오스트레일리아 야경 포인트 하버 브리지 전망 포인트 하버 브리지 오페라 하우스 오페라 하우스 포인트 하버 브리지 전망대 참고 전망대 철창 사진 촬영 환경 보이지 오페라 하우스 부분 오페라 하우스 1973년 10월 20일 1547 오페라 극장 2679 음악당 비롯 여러 극장 전시관 잡고 오페라 하우스 2007년 유네스코 유산 선정 시드니 오페라 하우스 건물 사진 기분 하버 브리지 전망대 시드니 상업 지구 사진 사진 1시간 도시 사진 기록 노력 아름답다 아름답다 시드니 사진 간직 힐듯 시점 시드니 날씨 회색 구름 오후 살짝 날씨 등장 붉은빛 서서히 시작 시드니 파란 하늘 계속 변화 붉다 은색 시작 파란색 하늘 검은색 하늘 변화 칠흑 두운 일과 주소 오스트레일리아 야경 포인트 천문대 옵저버 토리 공원 옵저버 토리 공원 하버 브리지 시드니 방법 시드니 천문대 인기 스냅 촬영 하버 브리지 아름답다 장소 시드니 천문 천문대 목적지 시드니 천문대 천문대 뒤쪽 공원 옵저버 토리 공원 시드니 천문대 뒤편 잡고 공원 하버 브리 방향 시드니 오페라 하우스 하버 브리지 새롭다 선물 여러 차례 교량 시드니 기대하다 조명 시작 적중 하버 브리지 시드니 맞이 파란 파란색 조명 하버 브리지 조화 환상 건너편 소개 밀슨스 포인트 잡고 작다 놀이 원인 루나 파크 시드니 환하다 서울 도심 31 한강 다리 잡고 느낌 교량 느낌 굳이 방화대교 형태 교량 옵저버 토리 공원 노을 하버 브리지 사진 부분 노을 방향 반대 방향 다리 중간 중간 사진 특별하다 이름 곳도 노을 아름답다 최고다 포인트 밀슨스 포인트 주소 1001 2000 오스트레일리아 야경 포인트 하버 브리지 방법 슨스 포인트 하버 브리지 시드니 북부 지역 북부 지역 대표 사진 포인트 밀슨스 포인트 교통 상업 지구 이점 시드니 상업 지구 방면 높이 도심 하버 브리지 동시 사진 부분 하버 브리지 느낌 밀슨스 포인트 하버 브리지 언덕 바다 근처 하버 브리지 시드니 도심 야경 사진 분명 공간 장소 사진 구도 전혀 사진 검다 하늘 가득하다 온전 다행 공간 밀슨스 포인트 오페라 하우스 밀슨스 포인트 이유 꼽자 오페라 하우스 정면 사진 오페라 하우스 건설 당시 실제 구현 가능하다 건물 인지 여러 논란 오페라 하우스 수많다 과학 건축 기술 집약 인상 깊다 부분 장소 전혀 새롭다 느낌 오페라 하우스 다양하다 구도 페리 기억 주소 오스트레일리아 2061 뉴사우스웨일스 밀슨스 포인트 시드니 도시 매력 야경 사진 시드니 소개 자연 도시 면모 동시 시드니 절반 흐릿 날씨 순간 다짐
호주,15일 1만 호주 횡단하 캠핑카 로드 트립 15일 1만 호주 횡단하 캠핑카 로드 트립 대학교 부부 호주 시드니 골드코스트 브리즈번 앨리스스프링스 다윈 브롬 퍼스 15일 10 000 그땐 미처 로드트립 즐겁다 경험 는걸 기억 여행지 캠핑카 꾹꾹 자동차 자유 로움 만끽 충분하다 호주 시드니 퍼스 아웃 코스 굳이 시드니 오기 기간 문제 체력 시드니 퍼스 구간 훗날 퍼스 시드니 구간 캠핑카 오자 호주 퍼스 아웃 도시 결정 분위기 공항 비행 구름 사진 사진 시작 제일 편안하다 안락하다 순간 호주 동시 다이내믹 힘드다 시작 주행 거리 넉넉하다 캠퍼스 커플 연애 기간 부부 제법 독특하다 사연 인연 서울 남자 부산 여자 연애 기간 딱지 부부 이름 편하다 여전하다 여전하다 친구 홀로 호주 2년 공부 한참 소중하다 이기 항상 입버릇 호주 번은 하자 글쎄 무모 불가능하다 일일 호주 부부 특별 애틋하다 가득 호주 35 면적 국가 넓다 면적 기후 주마 몸소 차이 정반대 국가 계절 반대 시차 차이 1시간 호주 크게 시드니 브리즈번 다윈 브롬 퍼스 구성 근무 에어즈락 킹스 기약 항상 한편 그리움 부부 정착 일상 빡빡 예외 흐름 빠르다 의문 부지런하다 무모하다 18일 시드니 이틀 제외 15일 허락 보름 짧다 스스로 35 엄청나다 크기 부지런하다 색깔 붉다 변하다 사막화 지형 나무 모양 경이 멋지다 캠핑카 장거리 중간 중간 도시 마을 주의 큼지막하다 도시 대략 경로 대략 야무지다 커다랗다 주의 대형 지도 순간 매일 거리 유비 식비 꼼꼼하다 기록 지도 표시 거리 256 엄청나다 지도 잘못 엉뚱하다 기도 거기 고려 10 000 유비 940 지도 수도 훈장 고이 고이 간직 시티 내비게이션 편리하다 여러 자동차 내비게이션 지도 믿음 스럽다 정확하다 낯선 여행지 손안 지도 안도 어마어마하다 호주 제일 바오밥나무 캠핑카 작다 텐트 돗자리 식기 침낭 여벌 랜트 캠핑카 가볍다
호주,시드니 해변 산책로 호주 시드니 동부 유명하다 해변 산책로 시드니 대표 해변 브론티 도보 산책길 가파른 오르막 절벽 눈부시다 바다 사이 초대 시드니 해변 산책로 지도 출처 구글맵 소요 다르다 경우 2시간 충분하다 중간 중간 산책 예정 라면 넉넉하다 3시간 예상 경로 시작 상관없다 쿠지 마무리 반대 방향 방법 기사 쿠지 마무리 경로 소개 산책로 시작 비치 시드니 시내 지엄 스테이션 333 380 버스 스테이션 333 380 381 버스 비치 바닷가 산책로 시작 비치 아이스 버그 레스토랑 클럽 아이스 버그 관련 기사 참고 276643 아이스 버그 본격 산책로 시작 해변 시작 경로 이유 시작 눈길 경관 절벽 해변 산책로 초입 시드니 관광 장점 관광지 주거지 경계 딱하다 숙박업소 모텔 즐비하다 바닷가 가면 스스로 여행자 끊임없다 시드니 서퍼 유명 관광지 라지 동시 동네 터전 산책로 카메라 트레이닝복 여느 아침 조깅 지인 가득하다 해변 한눈 해변 중심 유독 월세 비싸다 악명 높다 자연 사랑 모험 젊은이 열정 사이사이 해변 타마 라마 해변 길이 개인 길이 산책로 예쁘다 해안가 바다 배경 인생샷 지기 안성맞춤 타마 라마 해변 해변 유명하다 작다 동네 해변 아늑하다 타마 라마 강원도 바닷가 강릉 가족 강원도 어딘가 작다 해변 느낌 무덥다 호주 여름 산책로 타마 라마 물놀이 추억 타마 라마 절반 성공 해변 브론티 비치 브론티 해변 다가 파도 세기 약하다 주로 가족 주말 이면 바닷가 파라솔 피크닉 가득하다 한쪽 수영장 마련 굳이 직접 바닷물 수영 수도 이쯤 브론티 도로 가면 카페 호주 맛집 체인 브론티 지점 원하다 하자 정보 주소 141 143 2024 운영 오전 7시 저녁 9시 일요일 오전 7시 오후 3시 오전 오후 2시 홈페이지 전화번호 02 9389 0010 브론티 해변 뒤로 목적지 여정 시작 브론티 해변 커서 헷갈리다 수도 사진 바위 마르다 도보 여행자 식수 대도 중간 중간 마련 참고 시드니 물이 깨끗하다 가정 수돗물 번은 빨래 세탁 호주인 친구 빗물 말리 호주 빗물 깨끗하다 나무 계단 길다 최근 2018년 기준 새롭다 조성 공동묘지 산책로 작년 공동묘지 산책 새롭다 조성 길이 이정표 계속 해변 해변 타마 라마 해변 작다 동네 해변 어르신 해변 표지판 해변 쿠지 길이 시작 로벨 사이 작다 에메랄드 바다색 힘차다 조깅 지인 자부심 훌륭하다 해변 산책 표지판 해변 대체 어딘가 혼란 산책로 주거지역 아름답다 해변 멀리 개인 호주 좋아하다 해변 쿠지 아름답다 근처 아침 일찍 해변 일출 바닷가 쿠지 눈가 촉촉하다 바다 하늘 혼란 스럽다 아름답다 일출 온종일 행복하다 해변 주변 여전하다 우주 쿠지 앞서 사랑 연인 사랑 자연 단어 흰색 파란색 지붕 건물 유명하다 파빌리온 맛집 유명하다 애매하다 가볍다 디저트 맥주 한잔 루프 식당 유명 산책로 다리 루프 쿠지 전경 정보 주소 169 2034 운영 오전 7시 자정 오전 11시 자정 오전 11시 새벽 3시 오전 7시 새벽 3시 홈페이지 예약 전화번호 02 9114 7321 입장료 마냥 아름답다 풍경 호강 나니 새삼 자연 인간 과분 선물 어지럽다 어느새다 평화 편안하다 산책 효과 빡빡 차분하다 힐링 필요하다 해변 산책로 쉼표 즐겁다
호주,호주 캠핑카 주의 캠핑카 호주 렌터카 종종 사고 운전 반대 이기 교통 체계 반대 운전 주의 필요하다 보통 캠핑카 렌터카 그러하다 마주 풍경 평범하다 운전 지루하다 수도 캐나다 로키산맥 입구 로키 구나 탄성 시작 산이 감흥 가기 호주 유명 관광지 호주 로드 트립 경우 풍경 계속 반대편 가뭄 차갑다 운전 승자 대화 즐겁다 대화 로드트립 더하다 나위 파트너 한참 운전 목적지 가끔 캥거루 왈라비 낙타 야생동물 기쁘다 수가 호주 캠핑카 풍경 80 이상일 목적지 마감 뻔하다 즐겁다 최종 목적 궁금증 가득 호주 기대하다 매일 새롭다 장소 캠핑카 주차 텐트 노을 절벽 바오밥나무 캠핑 여행자 호주 운전 지루하다 다행하다 우린 사고 위험 호주 캠핑카 사항 참고 호주 캠핑카 주의 주의 사항 포장 도로 중앙 구분 운전 거리 운전 반대 먹기 차선 일도 종종 가드레일 도로 캥거루 왈라비 차선 반대 중앙 선의 기도 멍하니 운전 반대쪽 차갑다 지레 보조 반대쪽 차갑다 주의 사항 오버 사이즈 트럭 오버 사이즈 캠핑카 도로 공간 차지 도로 곳곳 멀리 차갑다 이동식 주택 특대 오버 사이즈 트럭 좌측통행 익숙하다 좌측 운전자 우측 우측 인지 접촉 사고 수도 미러 좌측 우측 미러 접촉 사고 일어난다 운전 서툴다 속도 우측 정차 반대 차선 차갑다 운전 주의 사항 도로공사 구간 자연 발화 호주 넓다 도로 중간 중간 공사 구간 사막 뜨겁다 열기 자연 발화 사진 뜨겁다 보이지 공사 구간 표지판 안전 운행 주의 사항 속도 표지판 도로 곳곳 제한 속도 호주 흔하다 과속 카메라 도로 운전자 규정 속도 운전 10분 사고 10년 먼저 간다 안전 운전 선진 의식 방심하다 과속 카메라 벌금 통지서 카드 명세서 동물 출몰 지역 표지판 주의 안전 운행 즐겁다 주의 사항 휴식 캠핑카 항상 북적 목적지 거리 캠핑카 좌석 고정 운전 휴식 취해 편하다 호주 로드 트립 작다 캠핑카 휴식 취하 즐겁다 추억 내비게이션 작동 경우 내비게이션 지도 시작 든든하다 파트너 이자 동반 유일하다 친구 지도 흔적 멀다 훗날 기대 안고 추억 필요하다 식탁 옛날이야기 소환 행복하다 도로 표지판 유일하다 좌표 반갑다 수가 직진 직진 계속 똑같다 풍경 도로 사이 시야 호주 캠핑카 요요하다 서울 부산 500 거리 500 운전 마감 새벽녘 오후 운전대 보통 호주 도시 도시 사이 거리 시드니 멜버른 기준 000 서호주 다르다 호주 울룰루 다윈 퍼스 브룸 여행지 서호주 차로 그날 호주 캠핑카 약시 참고 8월 호주 계절 겨울 이기 캠핑카 예약 9월 프로모션 날짜 저렴하다
호주,친절하다 시드니 차이나타운 호주 차이나타운 뉴요커 뉴욕 차이나타운 세상 뉴욕 차이나타운 항구 동네 미국 이민 중국인 뉴욕 개월 지역 새롭다 뉴욕 중국인 빈자리 뉴욕 차이나타운 인상 진짜 중국 중국 스럽다 실제 중국 바쁘다 치열하다 시드니 차이나타운 시드니 차이나타운 느낌 다르다 여유 느긋하다 느낌 호주 인정 호주 차이나타운 시드니 시내 주요 관광지 10분 거리 365일 새롭다 차이나타운 시드니 차이나타운 방법 차이나타운 방법 여러 여행자 보편 방법 센트럴 센트럴 도보 10 15분 소요 라이트 레일 트램 유명하다 멜버른 달리 시드니 대표 트램 노선 대신 트램 라이트 레일 운영 현재 센트럴 차이나타운 달링하버 힐라 나머지 2019년 완공 예정 시드니 트램 승차 기분 센트럴 라이트 레일 차이나타운 차이나타운 구석구석 마켓 시티 차이나타운 대표 쇼핑몰 마켓 시티 중식 일식 레스토랑 비롯 고급 홍콩 레스토랑 비롯 호주 브랜드 패션 아웃렛 입점해 국전 막판 쇼핑 안성맞춤 마켓 시티 디스 마켓 입구 두번째 사진 디스 마켓 운영 에스컬레이터 운영 월요일 일요일 오전 10 오후 7시 목요일 오후 8시 오픈 홈페이지 디스 마켓 마켓 시티 건물 벼룩시장 가방 신발 과자류 기념품 휴대폰 액세서리 대부분 중국인 장님 간혹 한국인 사장 만날 코알라 쇠고리 냉장고 자석 기념품 사기 편리 기념품 색다르다 선물 사고 호주 천연 비누 추천 150년 전통 자랑 비누 캔들 브랜드 색깔 다양하다 디스 마켓 틸리 가게 운영 오전 10시 오후 6시 휴무 차이나타운 거리 차이나타운 메인 스트리트 입구 대문 대양 가족 문구 인상 입구 홍콩 얌차 포함 중국 레스토랑 밀크 대만 디저트 가게 거리 중국 훠궈 마라샹궈 입구 왼쪽 염차 레스토랑 달리 호주 은행 환전 비싸다 주로 사설 환전소 차이나타운 환전소 소개 수중 환전 국적 장님 환전소 주소 405 411 2000 운영 오전 9시 저녁 7시 오전 10시 오후 5시 웹사이트 차이나타운 근처 볼거리 차이나타운 근처 호주 명문 대학 캠퍼스 엔지니어링 간호학 유명하다 국제 유학생 젊다 현대 대학교 빌딩 바오 구겐하임 미술관 디즈니 콘서트홀 지은 건축가 프랭크 게리 디자인 건축물 호주 프랭크 게리 작품 건물 유일하다 반듯하다 직선 형태 웨이브 댄스 건물 외형 인상 건물 생명 불어 순간 건축 예술 주소 14 28 2007 시드니 차이나타운 감상 오감 만족 차이나타운 시기
호주,본다이비치 명소 아이스 버그 시드니 유명하다 이유 유명하다 본다이비치 가깝다 시드니 집값 비치 가깝다 크게 해변 동네 집값 비싸다 아이스 버그 비치 클럽 하우스 수영장 레스토랑 결혼식 행사 광고 화보 촬영 셀럽 파티 무대 유명하다 홈페이지 풍경 수영 수영장 유명하다 수영장 물이 바닷물 바다 수영 똑같다 효과 멋지다 입장료 호주달러 5달러 저렴하다 수심 깊다 초보자 그다지 추천 남반구 호주 계절 반대 여름 겨울 가게 수영 포기 대신 아이스 버그 레스토랑 전망 추천 식당 입구 검사 여권 필히 로컬 친구 듣기 본다이비치 런가 본다이비치 비치 양보 입장 주문 테이블 가면 바다 파도 소리 새우 파스타 워낙 유명하다 유명하다 가격 평균 쪼오끔 비싸다 메뉴 25 40 사이 호주 맥주 와인 비싸다 한참 바다 배부르다 풍경 시드니 본다이비치 예정 라면
호주,수영장 호주 시드니 클럽 아이비 수영장 호주 시드니 클럽 아이비 1960년 스크 링스 리조트 스타일 컨셉 호주 시드니 최고 인기 클럽 아이비 클럽 좋아하다 클럽 관심 매력 시드니 유명하다 나이트 라이프 명소 이자 스팟 베스트 이유 수영장 클럽 아이비 건물 거대하다 클럽 워낙 유명하다 10시 즈음 아이비 클럽 입구 이전 음악 소리 인하다 초행길 방문 아이비 즈음 금방 가늠 클럽 일요일 입장 각오 무료 입장 일로 목요일 경우 피크 서서 입장 각오 단단하다 방문 든든하다 채운 골목길 신분증 필수 파도처럼 참고 입장 입구 화려하다 열기 조명 웅장 음악 소리 인하다 벌써 흥분 시작 아름답다 방문 수많다 호주인 음악 수영장 방문 주변 가득 맥주 음료 리듬 여름 시즌 여름 열기 취한 놀이 기도 주변 물장구 치기 기도 수영장 주변 카바 형태 테이블 프라이 클럽 인기 수영장 클럽 아이비 각기 세션 음악 클러버 환영 음악 느낌 분위기 전혀 다르다 엘리베이터 이동해 취향 클럽 재미 쏠쏠하다 수많다 인파 엘리베이터 기도 아이비 방법 11시 클럽 분위기 무르 여기저기 취했 흥겹다 리듬 취하 사이 색다르다 신세계 체험 거나 새롭다 여행지 매력 이또 호주 시드니 행복 아닐런 고백 필자 방문 시드니 관광지 클럽 아이비 재미있다 장소 필자 평소 클럽 자주 좋아하다 부끄럼 평범하다 한국인 흥겹다 음악 영혼 기억 소중하다 추억 시드니 특별하다 여행지 방문 아이비 시드니 180 확실하다 방법 정보 주소 330 2000 61 9254 8100 홈페이지 오픈 일요일 휴무 월요일 오후 12 00 오전 00 화요일 오후 12 00 오전 00 수요일 오후 12 00 오전 00 목요일 오후 12 00 오전 00 금요일 오후 12 00 오전 00 토요일 오후 06 30 오전 00
호주,멜버른 카페 베스트 멜버른 카페 베스트 점심 김밥 해결 비싸다 커피 주목 지구 커피 발달 커피 성지 멜버른 직접 선정 베스트 카페 소개 선정 기준 저자 주관 관점 나름 기준 커피 고소하다 풍부하다 자랑 커피 선정 두번째 분위기 카페 분위기 좌지우지 풍경 느낌 중요하다 두번째 기준 기분 카페 세번 친절하다 주관 방문 담당 서버 기분 서비스 이러하다 기준 멜버른 매일 여러 카페 방문 결과 소개 멋지다 카페 멜버른 방문 카페 개인 커피 미국 포틀랜드 스텀 타운 진하다 상당하다 매력 커피 아메리카노 맛있다 추천 아이스 라떼 우유 싫어하다 반하다 성의 라떼 작다 여느 카페 우드 기본 장식 특이하다 타일 장식 바닥 고전 현대 어우리 느낌 추천 자리다 입구 유리 멜버른 햇살 운치 중심 찾기 멜버른 시내 듀크 커피 로스 초록색 예쁘다 로고 발견 참고 가치 충분하다 매력 주소 247 3000 61 9417 5578 오픈 07 00 오후 16 30 워낙 유명하다 기대 장소 시내 중심 멜버른 대학교 근처 결심 필요하다 유일하다 단점 나무 벽돌 천장 유리 세련되다 따뜻하다 느낌 유리 통해 커피 직원 이색 시내 여러 원두 로스팅 멜버른 커피 원두 브랜드 나쁘다 넘치다 묵직하다 깊다 커피 자랑 주소 106 114 3053 61 9347 8664 오픈 07 00 17 00 홈피 멜버른 인기 카페 브라더 바바 부단 커피 이슈 독특하다 매장 인테리어 매장 시선 먼저 카페 천장 어쩜 천장 가득 의자 공중 손님 맞이 풍경 직원 단골 고객 익숙하다 특별하다 라면 환호성 사진 재미있다 카페 좁다 천장 워낙 유명하다 매장 딱하다 특별하다 여느 카페 원두 판매 선반 장식 작다 테이블 손님 자연 합석 커피 천장 행위예술 의자 감상 바쁘다 좁다 공간 불구 곳곳 여러 식물 사랑스럽다 느낌 호주 유명 커피 로스팅 회사 세븐 원두 사용 주소 359 3000 61 9606 0449 오픈 07 00 17 00 호주 커피 주문 아메리카노 대신 블랙 아메리카노 사용 호주 아메리카노 블랙 이름 기억 주문 편리하다 플랫 화이트 도전 라떼 싫어하다 플랫 화이트 플랫 화이트 평평하다 하얗다 거품 기존 카페 라떼 우유 커피 깊다 호주 스타일 인기 커피 테이크 아웃 대신 테이크 웨이 미국 표현 테이크 아웃 싫어하다 호주 호주 커피 주문 테이크 웨이
호주,멜번 사랑 시티 서클 트램 멜번 사랑 시티 서클 트램 남반구 마주 유럽 이름 도시 뽀얗다 빛깔 석조 건축물 고전 양식 웅대 의회 의사당 증기 기관차 클래식 기차역 아기자기하다 공원 도시 곳곳 잡고 여전하다 여왕 이름 뒷골목 시장 화려하다 백화점 사랑 소박하다 도시 멜번 도시 남반구 유럽 이유 리라 읊기 술술 이유 멜번 분명 그러하다 예스럽다 멜번 오후 중후 매력 트램 유럽 거창하다 소리 예스럽다 기차역 멜번 트램 멜번 계획 풍경 낯설다 그레이 오션 로드 울루물루 남태평양 푸른 바다 오페라 하우스 머릿속 호주 점철 남반구 마주 예스럽다 상치 이기 여행자 기대 감흥 교통 단일 트램 거창하다 소리 여행자 고개 카메라 렌즈 트램 지루하다 멜번 중심 플린더스 스트리트 멜번 상징 트램 시티 서클 트램 여행자 감흥 멜번 트램 100년 시민 소중하다 역할 대중교통 수단 다운타운 거리 거리 멀리 세인트 킬다 해변 오늘날 멜번 중요하다 교통 수단 역할 톡톡하다 스물 노선 멜번 구석구석 누비 트램 여행자 주목 노선 35 시티 서클 서클 노선 멜번 다운타운 순환 노선 다운타운 대부분 명소 노선 멜번 남쪽 멜번 기점 플린더스 스트리트 동쪽 북쪽 의회 의사당 칼튼 가든 빅토리아 마켓 서쪽 도크랜드 지역 엮어 시티 서클 다운타운 남쪽 시티 서클 트램 순환 멀다 노선 편리하다 웬만하다 여행지 편리하다 유용하다 매력 녀석 공짜 호주 교통비 저렴하다 황금 노선 공짜 무시무시하다 호주 물가 가뜩이나 지갑 얇다 여행자 시티 서클 트램 사랑 타도 질리 타도 땡전 멜번 트램 분명 진리 예스럽다 매력 노선 지남 최신 트램 도입 시티 서클 트램 차량 사용 매력 여름 덥다 겨울 잔소리 예스럽다 매력 대개 일흔 훌쩍 멜번 시티 서클 트램 차량 고풍 멜번 노장 자그마하다 경의 여행자 사랑 독차지 시티 서클 트램 시티 서클 트램 다운타운 남쪽 플린더스 스트리트 동쪽 스프링 스트리트 북쪽 트로브 스트리트 서쪽 하버 에스 이드 차례 멜번 도심 순환 노면 전차 편리하다 노선 공짜 요금 시민 여행자 사랑 독차지 멜번 아이템 여행자 추천 멜번 도심 계획 여행자 클래식 멜번 트램 매력 궁금하다 여행자 목적지 매력 여행자 목적지 아름답다 호선 무작정 바퀴 여행자 한강 도림천 달리 지하 여행자 바퀴 짧다 지하철 시작 일상 잉여 스럽다 여유 스럽다 호선 스케일 시티 서클 트램 멜번 다운타운 일종 순환선 목적지 고민 시티 서클 트램 도시 풍경 느릿느릿 조바심 내지 매력 여행자 라면 시티 서클 트램 절대 멀리 35 트램 주저 트램 실어 목적지 아름답다 특별하다 멀리 35 트램 주저 트램 실어 트램 달린다 스럽다 마디 말로 도시 정의 미안하다 관용구 멜번 유럽 스럽다 굳이 도시 별다르다 정체 반증 도시 스럽다 결코 도시 생김새 무언가 도시 고수 찬사 트램 달린다 백년 일흔 살의 시티 서클 트램 달린다 소리 나이 심하다 예스럽다 소리
호주,멜번 만끽 싱그럽다 푸르다 로얄 보태 가든 멜번 만끽 싱그럽다 푸르다 로얄 보태 가든 도심 걸음 호주 남부 빅토리아 주의 대표 도시 멜번 하늘 높다 마천루 북적 거리 거리 수백 시민 도시 여느 대도시 다르다 도로 반복 트램 바쁘다 다르다 북적 거리 멜번 다운타운 일상 매일 다운타운 남쪽 이름 매력 마주 도시 포근하다 남쪽 바다로 멜번 젖줄 복잡하다 다운타운 일상 북적 거림 여유 일상 남아 그다지 넓다 여유 일상 심드렁하다 눈길 어느새다 짧다 다리 발견 여전하다 트램 소리 북적 거리 도시 소음 다운타운 지척 건너 멜번 거대하다 정원 로얄 보태 가든 마주 행복 일지 상상 빽빽하다 도심 38 헥타르 숫자 380 000 평방 미터 무미건조하다 숫자 표현 거대하다 정원 삼십팔만이 숫자 결코 표현 멜번 보태 가든 정원 연못 우림 광장 공원 산책로 공연장 메모 리얼 넓다 넓다 공간 시민 개방 인공 자연 멜번 보태 가든 시작 1846년 거슬러 습지 로얄 보태 가든 만들기 결정 즈음 170 전의 170년 나무 식물 분명 어딘가 잡고 터전 고목 여전하다 기록 300 살이 유칼립투스 분명 열대 우림 상상 멜번 로얄 보태 가든 정원 연못 우림 광장 공원 산책로 공연장 메모 리얼 선택 어차피 인공 깊다 오래되다 양치식물 무성 웬만하다 나무 가늠 하늘 하늘 나무 초록 장막 하늘 이름 양치식물 조그마하다 파충류 마리 풍경 습하다 기운 반갑다 으레 래야 공간 오래되다 깊다 깊다 이름 이름 로얄 보태 가든 깊다 깊다 보태 가든 공간 왁자지껄하다 웃음소리 가족 송글송글 땀방울 운동 매경 홀로 청년 자전거 주행 결코 꼬마 아가씨 흐뭇하다 아빠 풍경 사랑 여행자 휴일 아침 로얄 보태 가든 따뜻하다 일상 풍경 보태 가든 로얄 보태 가든 매일 마주 무시무시하다 도시 마주 온갖 종류 기피 혐오 자세하다 예쁘다 사랑스럽다 귀엽다 앙증맞다 마주 순간 예쁘다 사랑스럽다 분명 거짓말 보태 가든 주인 라면 자세하다 결코 사랑스럽다 무시무시하다 벌집 수백 수천 멜번 로얄 보태 가든 주인 리라 자칫 위험하다 벌집 굳이 일부 주인 인정 이해 멜번 플린더스 스트리트 방향 프린시즈 브릿지 건너 도보 10분 여행자 추천 도시 자연 좋아하다 여행자 사이 소중하다 여행자 여행자 싱그럽다 푸르다 선물 멜번 로얄 보태 가든 푸르렀다 8월 남반구 기운 아들 겨울 자락 짙다 푸른 녹음 새롭다 신록 싱그럽다 푸르다 자리다 싱그럽다 푸르다 멜번 북적 거리 도심 간다 도로 반복 트램 바쁘다 다르다 북적 거리 멜번 다운타운 일상 새삼스럽다 깊다 싱그럽다 푸르다 멜번 북적 거리 일상 따뜻하다 반갑다 기도 극적 다르다 반복 경험 옳다
